test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-9 9.5.0,binaryTrees_2.c 21,19.382183,1631,1692784296.903704,-,-,476,13.06,3649,1896,2.50,12699,0,1098,908,398,166,608,2,3445,34,4460,0.00,0.19,0.09,0.02,0.24,0.00,5.92,0.13,80.27,13.71,0.03,0.25,72.96,64,64,98.51,300,300,103.96,99.51,1.34,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288.96,239.38,0.25,14.23,0.00,0.00
2,g++-9 9.5.0,binaryTrees_2.c 21,19.402305,1621,1692784316.348910,-,-,466,12.75,3657,1896,2.53,16634,0,34,317,273,146,447,2,2900,591,8112,0.00,0.12,0.06,0.02,0.18,0.00,4.75,1.72,80.31,13.53,0.03,0.29,73.40,64,65,98.31,300,300,101.91,99.41,1.40,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.21,241.15,0.27,14.18,0.00,0.00
3,g++-9 9.5.0,binaryTrees_2.c 21,19.529972,1603,1692784335.913385,-,-,465,12.77,3640,1896,2.52,30448,0,41,658,637,401,1160,2,4502,1983,15460,0.00,0.13,0.07,0.05,0.46,0.00,6.40,5.83,74.16,13.96,0.05,0.68,72.54,66,67,98.32,300,300,102.24,98.97,1.43,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.62,239.85,0.28,14.30,0.00,0.00
4,g++-9 9.5.0,binaryTrees_2.c 21,19.796320,1629,1692784355.750468,-,-,459,12.70,3616,1896,2.52,34438,0,9,342,593,910,859,2,4789,2523,18643,0.00,0.15,0.09,0.05,0.37,0.00,6.75,6.16,73.58,14.18,0.04,0.58,72.50,68,68,98.43,300,300,101.85,98.80,1.40,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,292.00,240.45,0.28,14.48,0.00,0.00
5,g++-9 9.5.0,binaryTrees_2.c 21,19.472186,1596,1692784375.263497,-,-,464,12.72,3646,1896,2.53,22659,0,42,195,255,214,604,0,3753,1118,11604,0.00,0.09,0.06,0.01,0.26,0.00,5.45,3.81,77.50,13.61,0.01,0.40,73.25,67,67,98.27,300,300,101.92,99.26,1.47,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,294.08,243.41,0.28,14.26,0.00,0.00
6,g++-9 9.5.0,binaryTrees_2.c 21,19.610724,1556,1692784394.918815,-,-,462,12.74,3626,1896,2.53,21188,0,30,363,165,157,584,0,3682,816,10948,0.00,0.15,0.03,0.02,0.29,0.00,5.69,3.28,77.70,13.34,0.02,0.36,73.54,71,71,98.38,300,300,101.27,99.22,1.40,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,289.67,238.56,0.27,14.33,0.00,0.00
7,g++-9 9.5.0,binaryTrees_2.c 21,19.738970,1627,1692784414.699035,-,-,460,12.73,3611,1896,2.52,21943,0,15,324,174,122,578,0,3794,923,11360,0.00,0.09,0.03,0.02,0.28,0.00,5.81,4.12,76.83,13.28,0.02,0.40,73.57,71,71,98.36,300,300,101.19,99.18,1.42,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,289.76,238.44,0.28,14.35,0.00,0.00
8,g++-9 9.5.0,binaryTrees_2.c 21,20.079884,1559,1692784434.816858,-,-,451,12.67,3556,1896,2.53,36773,0,26,298,273,150,1044,3,4497,2598,20536,0.00,0.15,0.04,0.02,0.46,0.00,6.03,5.89,74.60,14.13,0.02,0.72,72.47,70,70,98.72,300,300,101.65,98.79,1.21,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.17,235.18,0.25,14.45,0.00,0.00
9,g++-9 9.5.0,binaryTrees_2.c 21,20.065399,1642,1692784454.921918,-,-,453,12.71,3564,1896,2.52,37595,0,12,295,238,186,1330,0,5511,2622,20457,0.00,0.09,0.02,0.02,0.54,0.00,7.12,5.85,73.49,14.01,0.03,0.70,72.55,70,70,98.45,300,300,101.72,98.73,1.44,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286.60,234.45,0.29,14.57,0.00,0.00
10,g++-9 9.5.0,binaryTrees_2.c 21,20.163658,1631,1692784475.124126,-,-,449,12.72,3526,1896,2.53,20660,0,22,181,236,246,772,0,3059,726,10697,0.00,0.03,0.03,0.03,0.30,0.00,4.27,2.76,79.77,13.45,0.03,0.48,73.31,69,69,98.30,300,300,101.96,99.30,1.42,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.55,229.31,0.28,14.61,0.00,0.00
