test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.9 4.9.3,binaryTrees_2.c 21,17.778858,1562,1690280573.235464,-,-,462,12.81,3611,1896,2.66,10532,0,16,195,95,76,318,1,2529,21,4253,0.00,0.10,0.04,0.01,0.15,0.00,5.27,0.07,81.49,13.40,0.02,0.22,73.55,61,61,98.52,300,300,102.36,99.51,1.49,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,257.15,211.58,0.25,14.32,0.00,0.00
2,g++-4.9 4.9.3,binaryTrees_2.c 21,17.756023,1596,1690280591.040691,-,-,462,12.83,3602,1896,2.67,10716,0,166,461,204,142,407,7,2504,25,4156,0.00,0.11,0.03,0.02,0.19,0.01,4.92,0.07,81.74,13.40,0.02,0.27,73.48,65,65,98.33,300,300,102.52,99.51,1.52,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,261.82,215.64,0.27,14.34,0.00,0.00
3,g++-4.9 4.9.3,binaryTrees_2.c 21,18.290333,1649,1690280609.390334,-,-,451,12.70,3549,1896,2.65,30301,0,32,166,194,173,1230,3,4843,2025,16023,0.00,0.07,0.03,0.02,0.55,0.00,6.94,5.79,73.74,13.84,0.03,0.77,72.66,65,66,98.65,300,300,101.70,98.79,1.33,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,260.35,212.47,0.25,14.63,0.00,0.00
4,g++-4.9 4.9.3,binaryTrees_2.c 21,17.986655,1612,1690280627.419326,-,-,459,12.73,3604,1896,2.65,20433,0,48,178,159,176,683,5,3722,758,10498,0.00,0.10,0.06,0.03,0.28,0.00,6.20,2.57,77.93,13.57,0.04,0.44,73.23,68,68,98.28,300,300,101.74,99.22,1.47,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,269.73,222.56,0.26,14.44,0.00,0.00
5,g++-4.9 4.9.3,binaryTrees_2.c 21,17.800759,1608,1690280645.262258,-,-,461,12.78,3606,1896,2.67,23701,0,96,175,245,688,650,2,4238,1193,12567,0.00,0.06,0.05,0.04,0.35,0.00,6.96,3.25,76.41,13.63,0.02,0.58,72.99,66,66,98.23,300,300,102.00,99.21,1.55,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262.16,215.45,0.27,14.35,0.00,0.00
6,g++-4.9 4.9.3,binaryTrees_2.c 21,18.022548,1747,1690280663.325888,-,-,456,12.71,3586,1896,2.66,19990,0,21,132,223,136,558,4,3375,859,10123,0.00,0.04,0.05,0.01,0.29,0.00,5.62,2.82,78.36,13.44,0.02,0.43,73.40,68,69,98.28,300,300,101.52,99.22,1.46,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,265.90,218.69,0.27,14.46,0.00,0.00
7,g++-4.9 4.9.3,binaryTrees_2.c 21,18.042068,1607,1690280681.412877,-,-,454,12.73,3567,1896,2.67,19587,0,37,145,100,137,686,0,3858,792,9644,0.00,0.07,0.02,0.02,0.35,0.00,6.25,3.24,77.22,13.50,0.02,0.57,73.18,70,70,98.31,300,300,101.75,99.19,1.46,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264.08,216.75,0.26,14.45,0.00,0.00
8,g++-4.9 4.9.3,binaryTrees_2.c 21,18.033091,1591,1690280699.486701,-,-,455,12.77,3564,1896,2.66,19392,0,32,184,123,143,761,3,3573,813,9930,0.00,0.06,0.02,0.01,0.39,0.00,6.05,4.00,76.58,13.54,0.02,0.58,73.09,68,68,98.26,300,300,102.14,99.20,1.47,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,265.58,218.33,0.27,14.45,0.00,0.00
9,g++-4.9 4.9.3,binaryTrees_2.c 21,18.150033,1701,1690280717.684858,-,-,454,12.93,3515,1896,2.65,21011,0,88,616,272,178,900,6,4100,851,10531,0.00,0.10,0.06,0.02,0.43,0.00,6.83,4.04,75.47,13.67,0.02,0.65,72.73,68,68,98.21,300,300,102.81,99.14,1.51,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,265.14,217.65,0.27,14.57,0.00,0.00
10,g++-4.9 4.9.3,binaryTrees_2.c 21,18.060841,1655,1690280735.790164,-,-,453,12.78,3545,1896,2.68,20347,0,8,111,130,138,854,4,4103,786,10279,0.00,0.04,0.06,0.02,0.38,0.00,6.62,3.81,76.18,13.61,0.02,0.62,72.98,68,68,98.21,300,300,102.28,99.13,1.52,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262.95,215.41,0.28,14.50,0.00,0.00
