test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,g++-6 6.5.0,binaryTrees_6.c 21,1.00,0.58,0.51,0.15,0.02,0.31,5.71,1.72,0.02,1.16,2.15,27730556069 ns,112667977351,4.063 GHz,193165705593,1.71,27728.22 msec,1.000,112705109463,4.065 GHz,5,52363002326,662930231,27728.20 msec,1.000,16 C,38366681717,31342424,0.08%,0,53846591217,621747,621747,0,752307458,230915250,30.694,75770434642,501673956,0.66%,12081324,4383539,36.28%,15355908,76041307649,2253195,0.00%,181163,1142774,630.80%,0,0
2,g++-6 6.5.0,binaryTrees_6.c 21,1.00,0.58,0.51,0.15,0.02,0.31,5.71,1.72,0.02,1.15,2.15,27746412943 ns,112819197696,4.067 GHz,193103679682,1.71,27742.02 msec,1.000,112857525903,4.068 GHz,5,52419596124,663622831,27742.07 msec,1.000,14 C,38444847139,31665733,0.08%,0,53867744024,621741,621741,0,743910432,232495943,31.253,75867880726,502722440,0.66%,13533189,4411552,32.60%,16434961,75737121530,2173624,0.00%,186429,1133481,608.00%,0,0
3,g++-6 6.5.0,binaryTrees_6.c 21,1.00,0.58,0.51,0.16,0.02,0.31,5.72,1.71,0.02,1.15,2.16,27694581900 ns,112802927514,4.073 GHz,193142087813,1.71,27692.19 msec,1.000,112845308157,4.075 GHz,10,52332618304,662437870,27692.19 msec,1.000,10 C,38440464955,31886637,0.08%,0,53837033167,621743,621743,0,771067738,248731997,32.258,76004631840,515910801,0.68%,12592642,4327206,34.36%,15417344,75977434465,2057733,0.00%,188437,1152622,611.67%,0,0
4,g++-6 6.5.0,binaryTrees_6.c 21,1.00,0.58,0.51,0.16,0.02,0.31,5.70,1.71,0.02,1.16,2.15,27701833736 ns,112742526889,4.070 GHz,192993513170,1.71,27699.52 msec,1.000,112789247386,4.072 GHz,3,52352603621,662670052,27699.54 msec,1.000,13 C,38367617379,31748378,0.08%,0,53866265132,621741,621741,0,749751720,240348449,32.057,75930567766,509565300,0.67%,13002749,4938293,37.98%,15032792,76083742581,2288352,0.00%,183290,1178866,643.17%,0,0
5,g++-6 6.5.0,binaryTrees_6.c 21,1.00,0.58,0.51,0.15,0.02,0.31,5.71,1.71,0.02,1.16,2.16,27689848565 ns,112831135869,4.075 GHz,193108520175,1.71,27687.73 msec,1.000,112859893067,4.076 GHz,9,52324633925,662305421,27687.73 msec,1.000,9 C,38426677358,31574185,0.08%,0,53831370507,621742,621742,0,762701662,248999161,32.647,75944051384,515046278,0.68%,11941815,4195507,35.13%,14957020,75934701986,2135881,0.00%,264558,1146996,433.55%,0,0
6,g++-6 6.5.0,binaryTrees_6.c 21,1.00,0.59,0.51,0.16,0.02,0.31,5.71,1.69,0.03,1.18,2.16,27794073776 ns,113342860478,4.078 GHz,193692114763,1.71,27790.66 msec,1.000,113350038347,4.079 GHz,2,52545837980,665150421,27790.70 msec,1.000,10 C,38513620934,31450925,0.08%,0,53923200273,621746,621746,0,768561673,253670454,33.006,76077239791,504956444,0.66%,11233940,3856703,34.33%,16379963,75823512400,2152880,0.00%,175407,1120602,638.86%,0,0
7,g++-6 6.5.0,binaryTrees_6.c 21,1.00,0.59,0.51,0.16,0.02,0.31,5.71,1.70,0.02,1.18,2.15,27778348670 ns,113051522553,4.070 GHz,193288845486,1.71,27774.36 msec,1.000,113102714619,4.072 GHz,5,52504479160,664587117,27774.39 msec,1.000,10 C,38441288006,31445326,0.08%,0,53881725302,621743,621743,0,748602089,241718843,32.289,75918732721,513415472,0.68%,12126298,4331163,35.72%,15666175,75953715506,2052328,0.00%,142737,1178186,825.42%,0,0
8,g++-6 6.5.0,binaryTrees_6.c 21,0.99,0.58,0.51,0.15,0.02,0.31,5.70,1.71,0.02,1.17,2.15,27851045236 ns,112936526402,4.055 GHz,193058106447,1.71,27848.40 msec,1.000,112984929018,4.057 GHz,16,52445109876,663873772,27848.45 msec,1.000,9 C,38411281714,33972467,0.09%,0,53908158132,621746,621746,0,726469162,243261946,33.486,75841469579,509063182,0.67%,11654833,4111557,35.28%,16185945,75885740446,2156270,0.00%,265887,1351794,508.41%,0,0
9,g++-6 6.5.0,binaryTrees_6.c 21,1.00,0.59,0.51,0.16,0.02,0.31,5.72,1.71,0.03,1.19,2.16,27764052944 ns,113164642383,4.076 GHz,194048562629,1.72,27760.36 msec,1.000,113193220432,4.078 GHz,13,52484845390,664347560,27760.38 msec,1.000,10 C,38530748577,32117551,0.08%,0,54008530708,621743,621743,0,763871035,248983987,32.595,75862227829,505606779,0.67%,12156156,3983547,32.77%,17196221,75484259152,2070551,0.00%,179027,1481448,827.50%,0,0
10,g++-6 6.5.0,binaryTrees_6.c 21,1.00,0.59,0.51,0.16,0.02,0.31,5.72,1.71,0.03,1.18,2.15,27798664868 ns,113201965703,4.073 GHz,193017259913,1.71,27795.50 msec,1.000,113269955178,4.075 GHz,1,52551869590,665201030,27795.51 msec,1.000,9 C,38441105798,31391400,0.08%,0,53933393422,621742,621742,0,755033792,251979089,33.373,75986785774,509900783,0.67%,12636381,4111204,32.53%,16536541,75936048166,2167043,0.00%,182994,1400074,765.09%,0,0
