test,release_date,path,version,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 44,minutes,seconds_hundredths
1,2012-03-13,binaryTrees_v6_21_original,g++-4.4,binaryTrees_6.c 21,0,1699540993,340478,binaryTrees_6_g,0.19,140750848,137412608,2977792,94.1,0.8,1.0,6.0,0:00,0,0,134672384,0,32768,0.0,137412608,374,2,278,94,0,13.9,2.1,0.0,84.0,0.0,0.0,0.0,0.0,15794.9 MiB,7304.7 MiB,4238.4 MiB,4251.8 MiB,4096.0 MiB,2503.4 MiB,1592.6 MiB,10922.3 MiB,,0,00.19
1,2012-03-13,binaryTrees_v6_21_original,g++-4.4,binaryTrees_6.c 21,1,1699540995,340478,binaryTrees_6_g,1.36,140783616,137580544,3166208,100.0,0.8,1.0,2.0,0:01,0,0,134705152,0,98304,0.0,137580544,374,2,278,94,0,12.1,1.5,0.0,86.4,0.0,0.0,0.0,0.0,15794.9 MiB,7311.9 MiB,4231.1 MiB,4251.9 MiB,4096.0 MiB,2503.4 MiB,1592.6 MiB,10929.5 MiB,,0,01.36
1,2012-03-13,binaryTrees_v6_21_original,g++-4.4,binaryTrees_6.c 21,2,1699540996,340478,binaryTrees_6_g,2.54,140783616,137580544,3166208,100.0,0.8,1.0,2.0,0:02,0,0,134705152,0,98304,0.0,137580544,374,2,278,94,0,13.7,0.8,0.0,85.5,0.0,0.0,0.0,0.0,15794.9 MiB,7311.9 MiB,4238.1 MiB,4244.9 MiB,4096.0 MiB,2503.4 MiB,1592.6 MiB,10929.5 MiB,,0,02.54
1,2012-03-13,binaryTrees_v6_21_original,g++-4.4,binaryTrees_6.c 21,3,1699540997,340478,binaryTrees_6_g,3.71,140783616,137580544,3166208,100.0,0.8,1.0,2.0,0:03,0,0,134705152,0,98304,0.0,137580544,374,2,278,94,0,12.9,0.8,0.0,86.4,0.0,0.0,0.0,0.0,15794.9 MiB,7311.9 MiB,4238.1 MiB,4244.9 MiB,4096.0 MiB,2503.4 MiB,1592.6 MiB,10929.5 MiB,,0,03.71
1,2012-03-13,binaryTrees_v6_21_original,g++-4.4,binaryTrees_6.c 21,4,1699540998,340478,binaryTrees_6_g,4.88,140783616,137580544,3166208,93.8,0.8,1.0,2.0,0:04,0,0,134705152,0,98304,0.0,137580544,374,2,278,94,0,12.8,1.5,0.0,85.7,0.0,0.0,0.0,0.0,15794.9 MiB,7310.9 MiB,4239.0 MiB,4244.9 MiB,4096.0 MiB,2503.4 MiB,1592.6 MiB,10928.5 MiB,,0,04.88
1,2012-03-13,binaryTrees_v6_21_original,g++-4.4,binaryTrees_6.c 21,5,1699540999,340478,binaryTrees_6_g,6.05,140783616,137580544,3166208,100.0,0.8,1.0,2.0,0:06,0,0,134705152,0,98304,0.0,137580544,374,2,278,94,0,12.8,1.5,0.0,85.7,0.0,0.0,0.0,0.0,15794.9 MiB,7310.7 MiB,4239.3 MiB,4244.9 MiB,4096.0 MiB,2503.4 MiB,1592.6 MiB,10928.3 MiB,,0,06.05
1,2012-03-13,binaryTrees_v6_21_original,g++-4.4,binaryTrees_6.c 21,6,1699541000,340478,binaryTrees_6_g,7.23,140783616,137580544,3166208,100.0,0.8,1.0,2.0,0:07,0,0,134705152,0,98304,0.0,137580544,374,2,278,94,0,13.5,0.8,0.0,85.7,0.0,0.0,0.0,0.0,15794.9 MiB,7310.4 MiB,4239.5 MiB,4244.9 MiB,4096.0 MiB,2503.4 MiB,1592.6 MiB,10928.0 MiB,,0,07.23
1,2012-03-13,binaryTrees_v6_21_original,g++-4.4,binaryTrees_6.c 21,7,1699541002,340478,binaryTrees_6_g,8.4,140783616,137580544,3166208,100.0,0.8,1.0,2.0,0:08,0,0,134705152,0,98304,0.0,137580544,374,2,278,94,0,12.9,0.8,0.0,86.4,0.0,0.0,0.0,0.0,15794.9 MiB,7309.9 MiB,4240.0 MiB,4244.9 MiB,4096.0 MiB,2503.4 MiB,1592.6 MiB,10927.5 MiB,,0,08.40
1,2012-03-13,binaryTrees_v6_21_original,g++-4.4,binaryTrees_6.c 21,8,1699541003,340478,binaryTrees_6_g,9.57,140783616,137580544,3166208,100.0,0.8,1.0,2.0,0:09,0,0,134705152,0,98304,0.0,137580544,374,2,278,94,0,13.0,1.5,0.0,85.5,0.0,0.0,0.0,0.0,15794.9 MiB,7308.9 MiB,4241.0 MiB,4244.9 MiB,4096.0 MiB,2503.4 MiB,1592.6 MiB,10926.6 MiB,,0,09.57
1,2012-03-13,binaryTrees_v6_21_original,g++-4.4,binaryTrees_6.c 21,9,1699541004,340478,binaryTrees_6_g,10.75,140783616,137580544,3166208,100.0,0.8,1.0,2.0,0:10,0,0,134705152,0,98304,0.0,137580544,374,2,278,94,0,12.9,1.5,0.0,84.8,0.8,0.0,0.0,0.0,15794.9 MiB,7308.9 MiB,4241.0 MiB,4244.9 MiB,4096.0 MiB,2503.4 MiB,1592.6 MiB,10926.6 MiB,,0,10.75
