test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.7 4.7.4,binaryTrees_6.c 21,27.624872,988,1699542631.726874,-,-,519,12.67,4097,1896,1.65,12658,0,28,98,211,155,426,3,2273,26,4302,0.00,0.05,0.01,0.01,0.14,0.00,2.88,0.05,84.12,13.16,0.10,0.24,73.83,84,85,99.14,400,300,101.51,99.58,0.81,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,411.59,354.90,0.16,9.96,0.00,0.00
2,g++-4.7 4.7.4,binaryTrees_6.c 21,27.647447,1050,1699542659.405573,-,-,518,12.64,4098,1896,1.65,12118,0,18,56,169,120,405,2,1920,13,3849,0.00,0.01,0.01,0.01,0.11,0.00,2.45,0.01,84.71,12.83,0.01,0.16,74.36,85,85,99.26,400,300,100.76,99.65,0.69,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,423.38,365.31,0.15,9.92,0.00,0.00
3,g++-4.7 4.7.4,binaryTrees_6.c 21,27.648210,1107,1699542687.089191,-,-,518,12.65,4096,1896,1.65,12727,0,9,327,368,183,407,4,2260,13,3684,0.00,0.13,0.03,0.01,0.11,0.00,3.02,0.04,83.95,13.27,0.02,0.17,73.88,88,90,98.96,300,300,101.36,99.59,0.85,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,429.88,371.50,0.16,10.00,0.00,0.00
4,g++-4.7 4.7.4,binaryTrees_6.c 21,27.608713,998,1699542714.726872,-,-,518,12.63,4098,1896,1.65,12149,0,7,381,345,141,303,4,1881,9,3473,0.00,0.13,0.02,0.01,0.08,0.00,2.54,0.01,84.51,13.22,0.02,0.13,73.99,90,90,99.10,300,300,101.21,99.61,0.73,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,431.34,373.21,0.15,9.92,0.00,0.00
5,g++-4.7 4.7.4,binaryTrees_6.c 21,27.647919,1139,1699542742.403851,-,-,518,12.65,4098,1896,1.65,12915,0,8,258,361,178,410,0,2328,24,3899,0.00,0.08,0.03,0.01,0.11,0.00,3.20,0.02,83.83,13.20,0.02,0.19,73.94,89,89,99.06,300,300,101.35,99.59,0.87,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,432.84,374.27,0.17,10.03,0.00,0.00
6,g++-4.7 4.7.4,binaryTrees_6.c 21,27.662531,1001,1699542770.096499,-,-,517,12.63,4098,1896,1.65,12100,0,10,85,228,238,434,0,2079,45,3684,0.00,0.03,0.02,0.02,0.13,0.00,2.67,0.07,84.39,13.03,0.02,0.22,74.10,88,88,99.17,300,300,101.16,99.61,0.74,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,431.72,373.52,0.15,9.95,0.00,0.00
7,g++-4.7 4.7.4,binaryTrees_6.c 21,27.616010,1104,1699542797.746908,-,-,518,12.64,4098,1896,1.65,12577,0,8,85,267,249,490,1,2363,31,3832,0.00,0.03,0.03,0.02,0.14,0.00,3.06,0.04,83.98,13.04,0.02,0.24,74.06,90,90,99.06,300,300,101.24,99.59,0.81,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,433.24,374.82,0.16,9.98,0.00,0.00
8,g++-4.7 4.7.4,binaryTrees_6.c 21,27.638522,1081,1699542825.414425,-,-,517,12.62,4099,1896,1.65,11976,0,9,48,206,208,383,3,2135,37,3476,0.00,0.00,0.02,0.01,0.11,0.00,2.75,0.06,84.37,12.97,0.01,0.20,74.20,90,90,99.15,300,300,101.08,99.61,0.73,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,433.44,375.20,0.15,9.93,0.00,0.00
9,g++-4.7 4.7.4,binaryTrees_6.c 21,27.724598,1015,1699542853.168397,-,-,518,12.65,4098,1896,1.65,13166,0,20,79,345,238,483,2,2467,20,3965,0.00,0.01,0.04,0.02,0.14,0.00,3.12,0.03,83.94,12.96,0.02,0.20,74.17,91,91,99.02,300,300,100.99,99.63,0.83,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,436.62,377.79,0.17,10.04,0.00,0.00
10,g++-4.7 4.7.4,binaryTrees_6.c 21,27.709645,1019,1699542880.907278,-,-,517,12.61,4099,1896,1.65,12516,0,9,57,240,165,414,0,2031,16,3858,0.00,0.01,0.01,0.01,0.11,0.00,2.58,0.02,84.60,12.88,0.02,0.18,74.31,90,90,99.15,300,300,100.78,99.65,0.69,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,435.79,377.33,0.14,9.93,0.00,0.00
