test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-6 6.5.0,binaryTrees_6.c 21,27.623846,985,1699547412.911300,-,-,521,12.70,4098,1896,1.69,13976,0,36,528,416,228,474,4,2402,21,4780,0.00,0.05,0.03,0.02,0.13,0.00,3.23,0.03,83.73,13.24,0.04,0.23,73.78,85,86,99.12,300,300,101.78,99.54,0.83,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,428.16,371.26,0.15,10.00,0.00,0.00
2,g++-6 6.5.0,binaryTrees_6.c 21,27.756084,969,1699547440.707424,-,-,516,12.60,4097,1896,1.69,13227,0,20,195,208,208,373,0,2257,23,4644,0.00,0.05,0.02,0.02,0.10,0.00,2.94,0.06,84.16,12.99,0.02,0.14,74.25,85,85,99.28,300,300,100.83,99.60,0.68,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,441.85,383.09,0.13,9.98,0.00,0.00
3,g++-6 6.5.0,binaryTrees_6.c 21,27.661269,1024,1699547468.408271,-,-,518,12.64,4096,1896,1.69,13262,0,11,59,218,184,395,0,2556,14,4498,0.00,0.00,0.02,0.01,0.11,0.00,3.35,0.04,83.76,13.02,0.02,0.20,74.12,90,90,98.97,300,300,101.19,99.61,0.86,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,446.70,388.17,0.17,10.02,0.00,0.00
4,g++-6 6.5.0,binaryTrees_6.c 21,27.657872,1036,1699547496.095346,-,-,518,12.63,4098,1896,1.69,12590,0,7,63,202,147,438,0,2025,21,4246,0.00,0.01,0.01,0.01,0.11,0.00,2.50,0.03,84.64,12.87,0.01,0.16,74.32,87,87,99.15,300,300,100.78,99.63,0.69,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.28,389.02,0.14,9.96,0.00,0.00
5,g++-6 6.5.0,binaryTrees_6.c 21,27.666663,1023,1699547523.791340,-,-,518,12.64,4099,1896,1.69,12969,0,10,71,203,191,370,0,2084,16,4432,0.00,0.02,0.01,0.02,0.09,0.00,2.60,0.09,84.47,12.91,0.02,0.15,74.28,88,89,98.99,300,300,100.89,99.62,0.84,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,448.59,390.05,0.17,10.01,0.00,0.00
6,g++-6 6.5.0,binaryTrees_6.c 21,27.611715,989,1699547551.429844,-,-,519,12.65,4098,1896,1.70,13113,0,21,172,332,166,454,6,2374,37,4317,0.00,0.04,0.03,0.01,0.13,0.00,2.92,0.06,84.09,13.11,0.02,0.22,74.00,90,90,99.08,300,300,101.31,99.59,0.72,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,450.20,391.99,0.15,9.94,0.00,0.00
7,g++-6 6.5.0,binaryTrees_6.c 21,27.644334,1067,1699547579.102857,-,-,518,12.63,4097,1896,1.69,15961,0,12,104,211,223,502,0,2647,151,6799,0.00,0.04,0.01,0.02,0.14,0.00,3.27,0.35,83.47,13.17,0.02,0.24,73.93,91,92,98.93,300,300,101.25,99.52,0.84,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,451.12,392.73,0.17,9.99,0.00,0.00
8,g++-6 6.5.0,binaryTrees_6.c 21,27.717768,987,1699547606.849467,-,-,517,12.62,4098,1896,1.69,12954,0,13,63,221,144,404,2,2279,20,4450,0.00,0.02,0.02,0.01,0.10,0.00,2.97,0.03,84.17,12.93,0.02,0.15,74.29,90,90,99.16,300,300,100.83,99.62,0.70,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,449.83,391.25,0.14,9.97,0.00,0.00
9,g++-6 6.5.0,binaryTrees_6.c 21,27.817120,972,1699547634.694647,-,-,517,12.64,4094,1896,1.69,38438,0,13,84,413,484,984,7,4958,2438,21427,0.00,0.01,0.02,0.02,0.29,0.00,5.29,5.67,75.94,13.65,0.02,0.50,73.18,91,91,98.92,300,300,101.33,99.12,0.86,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,456.64,397.87,0.17,10.06,0.00,0.00
10,g++-6 6.5.0,binaryTrees_6.c 21,27.626760,1068,1699547662.349668,-,-,519,12.66,4098,1896,1.69,12914,0,4,175,259,168,431,4,2367,35,4394,0.00,0.05,0.03,0.01,0.11,0.00,3.05,0.09,83.94,13.13,0.01,0.15,74.05,89,89,99.14,300,300,101.37,99.61,0.73,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,451.72,393.40,0.15,9.96,0.00,0.00
