test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-10 10.5.0,binaryTrees_2.c 21,14.001693,1082,1695046553.955621,-,-,521,12.72,4098,1896,2.56,7472,0,2,234,118,73,163,3,1173,4,2591,0.00,0.07,0.03,0.01,0.10,0.00,3.16,0.01,83.83,13.19,0.02,0.15,73.92,84,87,98.67,450,300,101.73,99.58,1.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,245.30,209.38,0.17,11.49,0.00,0.00
2,g++-10 10.5.0,binaryTrees_2.c 21,14.372932,1126,1695046568.365796,-,-,511,12.66,4039,1896,2.55,26332,0,43,393,255,104,915,4,3737,2004,13820,0.00,0.17,0.07,0.01,0.55,0.00,6.96,7.07,72.34,14.14,0.01,0.79,72.40,88,91,98.68,450,300,101.47,98.78,1.07,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.83,213.66,0.18,11.70,0.00,0.00
3,g++-10 10.5.0,binaryTrees_2.c 21,14.063598,1071,1695046582.460833,-,-,519,12.68,4096,1896,2.56,11682,0,3,107,129,96,420,0,2098,351,5725,0.00,0.06,0.04,0.01,0.24,0.00,4.87,1.78,80.23,13.32,0.01,0.40,73.58,87,87,98.63,450,300,101.55,99.41,1.03,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253.38,216.61,0.17,11.50,0.00,0.00
4,g++-10 10.5.0,binaryTrees_2.c 21,14.179628,1185,1695046596.671785,-,-,518,12.68,4081,1896,2.55,17238,0,85,288,222,148,634,2,2783,836,9070,0.00,0.07,0.03,0.03,0.38,0.00,5.76,4.22,76.72,13.47,0.03,0.64,73.17,88,88,98.56,450,300,101.28,99.21,1.08,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.15,217.82,0.19,11.64,0.00,0.00
5,g++-10 10.5.0,binaryTrees_2.c 21,14.200199,1064,1695046610.903693,-,-,518,12.73,4068,1896,2.55,17523,0,4,117,120,318,489,0,2694,676,9596,0.00,0.05,0.01,0.04,0.29,0.00,5.59,3.54,77.65,13.42,0.03,0.47,73.35,90,90,98.54,450,300,101.45,99.24,1.10,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.43,218.13,0.19,11.63,0.00,0.00
6,g++-10 10.5.0,binaryTrees_2.c 21,14.345014,1078,1695046625.279306,-,-,517,12.75,4056,1896,2.52,16681,0,42,606,239,191,445,0,2865,700,8588,0.00,0.12,0.05,0.02,0.30,0.00,5.95,3.72,76.99,13.46,0.02,0.48,73.29,92,92,98.52,450,300,101.25,99.28,1.13,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256.25,218.44,0.19,11.72,0.00,0.00
7,g++-10 10.5.0,binaryTrees_2.c 21,14.934689,1109,1695046640.245832,-,-,493,12.74,3871,1896,2.54,30345,0,158,243,182,179,639,8,4309,2178,16366,0.00,0.08,0.02,0.02,0.42,0.01,7.57,7.90,71.14,13.95,0.02,0.65,72.64,93,95,98.76,450,300,101.90,99.07,1.04,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.57,200.44,0.18,12.07,0.00,0.00
8,g++-10 10.5.0,binaryTrees_2.c 21,14.584912,1180,1695046654.862365,-,-,513,12.69,4041,1896,2.50,16038,0,17,230,207,80,469,1,2642,533,8153,0.00,0.14,0.05,0.01,0.29,0.00,5.24,2.99,78.50,13.66,0.02,0.45,73.18,90,90,98.53,450,300,101.65,99.29,1.06,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,257.30,218.93,0.18,11.87,0.00,0.00
9,g++-10 10.5.0,binaryTrees_2.c 21,14.514389,1165,1695046669.408041,-,-,503,12.68,3969,1896,2.56,12680,0,11,65,98,129,467,0,2078,306,6358,0.00,0.02,0.04,0.02,0.29,0.00,4.39,1.65,80.83,13.23,0.02,0.46,73.62,83,85,98.59,450,300,101.24,99.44,1.07,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249.04,210.92,0.19,11.82,0.00,0.00
10,g++-10 10.5.0,binaryTrees_2.c 21,16.529144,1211,1695046685.970277,-,-,434,12.73,3408,1896,2.61,8852,0,26,108,126,87,305,1,1858,28,3606,0.00,0.05,0.04,0.01,0.15,0.00,3.90,0.08,83.00,13.22,0.02,0.27,73.77,81,81,98.52,450,300,102.01,99.79,1.03,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195.95,153.01,0.20,13.08,0.00,0.00
