test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-7 7.5.0,binaryTrees_2.c 21,15.140008,1628,1692793957.361297,-,-,459,12.78,3591,1896,2.65,8477,0,1,109,112,66,281,1,1805,12,3285,0.00,0.04,0.03,0.01,0.17,0.00,4.16,0.06,82.69,13.30,0.03,0.23,73.66,60,60,98.45,300,300,102.37,99.54,1.59,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,211.75,173.03,0.23,11.70,0.00,0.00
2,g++-7 7.5.0,binaryTrees_2.c 21,15.223772,1712,1692793972.628264,-,-,459,12.79,3592,1896,2.63,8679,0,8,290,213,70,254,0,1777,14,3016,0.00,0.13,0.04,0.01,0.14,0.00,4.28,0.08,82.45,13.36,0.03,0.14,73.66,64,64,98.22,300,300,102.01,99.51,1.59,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,218.00,178.81,0.24,11.78,0.00,0.00
3,g++-7 7.5.0,binaryTrees_2.c 21,15.212246,1706,1692793987.883967,-,-,459,12.80,3587,1896,2.64,8631,0,33,557,223,71,275,2,1768,16,3091,0.00,0.22,0.03,0.01,0.14,0.00,4.15,0.07,82.51,13.51,0.01,0.22,73.45,64,64,98.18,300,300,102.40,99.56,1.69,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219.69,180.19,0.26,11.82,0.00,0.00
4,g++-7 7.5.0,binaryTrees_2.c 21,15.286604,1745,1692794003.208929,-,-,457,12.74,3587,1896,2.63,9978,0,21,209,225,168,419,0,1873,99,4218,0.00,0.08,0.07,0.03,0.18,0.00,4.34,0.59,81.89,13.34,0.03,0.24,73.66,67,67,98.18,300,300,101.80,99.50,1.62,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.12,181.06,0.24,11.80,0.00,0.00
5,g++-7 7.5.0,binaryTrees_2.c 21,15.397950,1548,1692794018.645916,-,-,456,12.75,3572,1896,2.62,26782,0,10,130,425,455,663,2,3970,1744,14806,0.00,0.08,0.04,0.03,0.41,0.00,6.91,5.06,74.58,13.85,0.01,0.49,72.90,67,67,98.19,300,300,101.77,98.92,1.59,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222.34,182.03,0.24,11.87,0.00,0.00
6,g++-7 7.5.0,binaryTrees_2.c 21,15.165813,1656,1692794033.849524,-,-,461,12.78,3610,1896,2.63,9205,0,37,218,258,124,264,1,1895,60,3646,0.00,0.15,0.06,0.02,0.15,0.00,4.33,0.23,82.22,13.37,0.02,0.15,73.67,67,67,98.11,300,300,101.79,99.53,1.70,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.92,181.99,0.26,11.77,0.00,0.00
7,g++-7 7.5.0,binaryTrees_2.c 21,15.268751,1656,1692794049.158271,-,-,458,12.75,3588,1896,2.63,14016,0,17,197,198,68,273,0,2410,557,6763,0.00,0.10,0.02,0.01,0.20,0.00,5.17,2.00,79.67,13.51,0.01,0.30,73.44,66,66,98.22,300,300,102.20,99.37,1.59,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222.18,181.98,0.25,11.77,0.00,0.00
8,g++-7 7.5.0,binaryTrees_2.c 21,15.293568,1683,1692794064.491281,-,-,459,12.77,3594,1896,2.62,20577,0,7,279,226,116,481,1,3204,1057,11100,0.00,0.15,0.05,0.02,0.31,0.00,5.95,2.87,77.78,13.92,0.02,0.52,72.76,68,68,98.13,300,300,102.38,99.18,1.65,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.52,185.34,0.25,11.87,0.00,0.00
9,g++-7 7.5.0,binaryTrees_2.c 21,15.305746,1685,1692794079.847293,-,-,461,12.80,3600,1896,2.61,24175,0,16,362,461,344,1040,0,3850,1177,13392,0.00,0.06,0.06,0.05,0.62,0.00,7.13,2.69,76.46,13.93,0.07,0.90,72.30,68,68,98.11,300,300,102.56,99.06,1.66,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.38,185.04,0.25,11.87,0.00,0.00
10,g++-7 7.5.0,binaryTrees_2.c 21,15.347271,1628,1692794095.233127,-,-,456,12.76,3575,1896,2.63,16828,0,20,64,161,138,649,1,3105,631,8694,0.00,0.03,0.03,0.02,0.37,0.00,5.88,2.28,78.53,13.47,0.02,0.57,73.17,67,67,98.15,300,300,101.88,99.24,1.62,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.38,184.01,0.25,11.87,0.00,0.00
