test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-6 6.5.0,binaryTrees_2.c 21,13.256603,1084,1690819223.654545,-,-,524,12.78,4097,1896,2.65,7482,0,1,259,126,64,230,0,1675,15,2420,0.00,0.09,0.09,0.01,0.14,0.00,4.48,0.04,82.29,13.43,0.02,0.19,73.58,77,77,98.24,400,300,102.17,99.56,1.61,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.60,195.23,0.25,11.15,0.00,0.00
2,g++-6 6.5.0,binaryTrees_2.c 21,13.208156,1226,1690819236.898498,-,-,523,12.77,4096,1896,2.66,7730,0,22,179,153,72,259,1,1873,18,2744,0.00,0.10,0.15,0.02,0.16,0.00,5.00,0.04,81.67,13.65,0.02,0.26,73.30,84,84,98.03,400,300,102.31,99.51,1.63,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.86,204.21,0.26,11.18,0.00,0.00
3,g++-6 6.5.0,binaryTrees_2.c 21,13.370226,1139,1690819250.298880,-,-,521,12.72,4092,1896,2.64,17983,0,5,164,410,211,524,0,2898,869,9570,0.00,0.05,0.06,0.02,0.35,0.00,6.42,2.85,77.41,13.60,0.02,0.53,73.13,86,86,97.96,400,300,101.77,99.21,1.62,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,243.38,207.86,0.26,11.27,0.00,0.00
4,g++-6 6.5.0,binaryTrees_2.c 21,13.529675,1065,1690819263.862260,-,-,514,12.70,4051,1896,2.64,14208,0,24,73,89,86,371,0,2504,477,6976,0.00,0.02,0.03,0.02,0.27,0.00,5.52,2.97,78.36,13.29,0.02,0.43,73.57,87,89,98.01,400,300,101.27,99.32,1.60,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.49,204.56,0.27,11.37,0.00,0.00
5,g++-6 6.5.0,binaryTrees_2.c 21,13.417286,1110,1690819277.310753,-,-,516,12.75,4052,1896,2.66,13615,0,1,114,120,89,543,0,2403,477,6500,0.00,0.04,0.03,0.02,0.35,0.00,5.27,3.37,78.07,13.34,0.03,0.56,73.33,86,86,97.94,400,300,101.72,99.32,1.61,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.73,203.20,0.27,11.29,0.00,0.00
6,g++-6 6.5.0,binaryTrees_2.c 21,13.616014,1158,1690819290.957357,-,-,512,12.74,4019,1896,2.64,13400,0,29,111,141,99,440,2,2151,414,6713,0.00,0.06,0.04,0.02,0.27,0.00,4.51,2.78,79.48,13.41,0.02,0.42,73.41,87,89,97.99,400,300,101.75,99.33,1.61,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.04,202.93,0.27,11.46,0.00,0.00
7,g++-6 6.5.0,binaryTrees_2.c 21,13.508265,1175,1690819304.495081,-,-,513,12.73,4033,1896,2.65,15252,0,11,101,167,187,638,0,2332,598,7805,0.00,0.01,0.05,0.03,0.37,0.00,4.93,4.33,77.44,13.47,0.03,0.55,73.21,87,87,97.94,400,300,101.89,99.25,1.59,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.43,202.79,0.27,11.31,0.00,0.00
8,g++-6 6.5.0,binaryTrees_2.c 21,13.583658,1140,1690819318.106442,-,-,513,12.78,4014,1896,2.64,15399,0,52,284,362,281,775,1,2449,535,7652,0.00,0.03,0.06,0.05,0.44,0.00,5.06,3.66,77.80,13.51,0.05,0.62,73.04,88,88,97.96,400,300,102.17,99.28,1.55,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.81,202.94,0.26,11.40,0.00,0.00
9,g++-6 6.5.0,binaryTrees_2.c 21,13.858317,1055,1690819331.995617,-,-,503,12.74,3948,1896,2.64,28048,0,6,287,210,173,1074,0,4173,1907,15570,0.00,0.06,0.02,0.03,0.63,0.00,7.75,6.74,71.89,14.01,0.03,0.86,72.35,88,91,98.27,400,300,101.93,98.87,1.50,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.02,198.56,0.25,11.57,0.00,0.00
10,g++-6 6.5.0,binaryTrees_2.c 21,13.668649,1105,1690819345.695688,-,-,508,12.73,3995,1896,2.65,13665,0,25,109,109,163,395,3,2251,321,6635,0.00,0.10,0.02,0.03,0.24,0.00,4.84,2.18,79.76,13.52,0.04,0.41,73.31,89,89,97.90,400,300,101.95,99.28,1.62,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,237.87,201.73,0.27,11.44,0.00,0.00
