test,release_date,path,version,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 44,minutes,seconds_hundredths
1,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,0,1699625473,424467,binaryTrees_6_g,0.17,73670656,64610304,3182592,88.2,0.4,1.0,1.0,0:00,0,0,67592192,0,80896,0.0,64610304,373,2,277,94,0,7.9,9.3,0.0,82.9,0.0,0.0,0.0,0.0,15794.9 MiB,6209.9 MiB,4064.8 MiB,5520.1 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,11058.4 MiB,,0,00.17
1,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,1,1699625475,424467,binaryTrees_6_g,1.35,140783616,137601024,3182592,100.0,0.8,1.0,1.0,0:01,0,0,134705152,0,98304,0.0,137601024,373,2,277,94,0,13.5,0.8,0.0,85.7,0.0,0.0,0.0,0.0,15794.9 MiB,6113.4 MiB,4161.0 MiB,5520.4 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10962.0 MiB,,0,01.35
1,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,2,1699625476,424467,binaryTrees_6_g,2.52,144977920,141840384,3379200,93.8,0.9,1.0,5.0,0:02,0,0,138899456,0,99328,0.0,141840384,373,2,277,94,0,12.9,1.5,0.0,85.6,0.0,0.0,0.0,0.0,15794.9 MiB,6116.4 MiB,4164.9 MiB,5513.6 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10964.9 MiB,,0,02.52
1,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,3,1699625477,424467,binaryTrees_6_g,3.69,207896576,203898880,3379200,93.8,1.2,1.0,1.0,0:03,0,0,201818112,0,344064,0.0,203898880,373,2,277,94,0,8.3,6.0,0.0,85.7,0.0,0.0,0.0,0.0,15794.9 MiB,6085.3 MiB,4196.1 MiB,5513.4 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10933.8 MiB,,0,03.69
2,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,0,1699625478,424492,binaryTrees_6_g,0.17,73670656,64090112,3203072,88.2,0.4,1.0,3.0,0:00,0,0,67592192,0,80896,0.0,64090112,373,2,277,94,0,9.2,7.8,0.0,83.0,0.0,0.0,0.0,0.0,15794.9 MiB,6216.0 MiB,4058.4 MiB,5520.4 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,11064.5 MiB,,0,00.17
2,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,1,1699625479,424492,binaryTrees_6_g,1.34,140783616,137621504,3203072,100.0,0.8,1.0,3.0,0:01,0,0,134705152,0,98304,0.0,137621504,373,2,277,94,0,12.1,1.5,0.0,86.4,0.0,0.0,0.0,0.0,15794.9 MiB,6119.8 MiB,4154.6 MiB,5520.4 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10968.3 MiB,,0,01.34
2,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,2,1699625481,424492,binaryTrees_6_g,2.52,144977920,141819904,3358720,100.0,0.9,1.0,3.0,0:02,0,0,138899456,0,99328,0.0,141819904,373,2,277,94,0,12.9,0.8,0.0,86.4,0.0,0.0,0.0,0.0,15794.9 MiB,6118.8 MiB,4162.6 MiB,5513.4 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10967.4 MiB,,0,02.52
2,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,3,1699625482,424492,binaryTrees_6_g,3.69,207896576,187658240,3358720,93.8,1.1,1.0,3.0,0:03,0,0,201818112,0,339968,0.0,187658240,373,2,277,94,0,6.8,7.5,0.0,85.7,0.0,0.0,0.0,0.0,15794.9 MiB,6090.5 MiB,4191.0 MiB,5513.4 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10939.0 MiB,,0,03.69
3,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,0,1699625483,424517,binaryTrees_6_g,0.17,73670656,70373376,3272704,94.1,0.4,1.0,0.0,0:00,0,0,67592192,0,81920,0.0,70373376,373,2,277,94,0,9.9,7.1,0.0,83.0,0.0,0.0,0.0,0.0,15794.9 MiB,6212.3 MiB,4062.1 MiB,5520.5 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,11060.8 MiB,,0,00.17
3,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,1,1699625484,424517,binaryTrees_6_g,1.34,140783616,137687040,3272704,93.8,0.8,1.0,0.0,0:01,0,0,134705152,0,98304,0.0,137687040,373,2,277,94,0,12.9,0.8,0.0,86.4,0.0,0.0,0.0,0.0,15794.9 MiB,6115.8 MiB,4158.5 MiB,5520.5 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10964.4 MiB,,0,01.34
3,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,2,1699625485,424517,binaryTrees_6_g,2.52,144977920,141864960,3403776,100.0,0.9,1.0,0.0,0:02,0,0,138899456,0,99328,0.0,141864960,373,2,277,94,0,12.9,0.8,0.0,86.4,0.0,0.0,0.0,0.0,15794.9 MiB,6111.6 MiB,4162.7 MiB,5520.5 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10960.2 MiB,,0,02.52
3,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,3,1699625486,424517,binaryTrees_6_g,3.69,174338048,171208704,3403776,100.0,1.0,1.0,4.0,0:03,0,0,168259584,0,335872,0.0,171208704,373,2,277,94,0,8.3,6.0,0.0,85.7,0.0,0.0,0.0,0.0,15794.9 MiB,6110.4 MiB,4171.0 MiB,5513.5 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10958.9 MiB,,0,03.69
4,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,0,1699625488,424542,binaryTrees_6_g,0.17,73670656,49524736,3239936,88.2,0.3,1.0,6.0,0:00,0,0,67592192,0,76800,0.0,49524736,373,3,276,94,0,8.5,9.9,0.0,81.6,0.0,0.0,0.0,0.0,15794.9 MiB,6214.3 MiB,4060.1 MiB,5520.5 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,11062.8 MiB,,0,00.17
4,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,1,1699625489,424542,binaryTrees_6_g,1.34,140783616,137654272,3239936,100.0,0.8,1.0,6.0,0:01,0,0,134705152,0,98304,0.0,137654272,373,2,277,94,0,12.9,1.5,0.0,85.6,0.0,0.0,0.0,0.0,15794.9 MiB,6115.6 MiB,4158.8 MiB,5520.5 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10964.1 MiB,,0,01.34
4,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,2,1699625490,424542,binaryTrees_6_g,2.51,144977920,141893632,3436544,100.0,0.9,1.0,6.0,0:02,0,0,138899456,0,99328,0.0,141893632,373,2,277,94,0,13.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,15794.9 MiB,6111.4 MiB,4169.9 MiB,5513.5 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10960.0 MiB,,0,02.51
4,2012-03-13,binaryTrees_v6_21_original_O3flag,g++-4.4,binaryTrees_6.c 21,3,1699625491,424542,binaryTrees_6_g,3.69,207896576,204763136,3436544,100.0,1.2,1.0,6.0,0:03,0,0,201818112,0,344064,0.0,204763136,373,2,277,94,0,6.9,6.1,0.0,87.0,0.0,0.0,0.0,0.0,15794.9 MiB,6078.3 MiB,4203.0 MiB,5513.5 MiB,4096.0 MiB,2265.6 MiB,1830.4 MiB,10926.9 MiB,,0,03.69
