test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.7 4.7.4,binaryTrees_6.c 21,3.562922,1108,1699626139.357338,-,-,517,12.71,4066,1896,1.91,1864,0,6,46,47,31,83,3,474,1,519,0.00,0.16,0.05,0.02,0.20,0.01,5.26,0.02,81.51,13.13,0.02,0.24,73.91,61,64,99.10,300,300,101.41,99.64,1.04,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.17,43.26,0.03,2.57,0.00,0.00
2,g++-4.7 4.7.4,binaryTrees_6.c 21,3.573397,1139,1699626142.966878,-,-,519,12.72,4078,1896,1.90,1825,0,4,25,44,30,59,0,402,3,504,0.00,0.02,0.02,0.02,0.17,0.00,4.69,0.03,82.28,13.11,0.04,0.29,73.85,62,65,98.87,300,300,101.80,99.61,1.23,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.08,44.04,0.03,2.59,0.00,0.00
3,g++-4.7 4.7.4,binaryTrees_6.c 21,3.566635,1444,1699626146.565772,-,-,520,12.75,4076,1896,1.90,1858,0,9,30,36,23,63,0,424,0,515,0.00,0.02,0.02,0.03,0.18,0.00,4.88,0.00,82.07,13.05,0.05,0.24,73.92,62,62,98.86,300,300,101.93,99.63,1.27,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.14,44.08,0.04,2.60,0.00,0.00
4,g++-4.7 4.7.4,binaryTrees_6.c 21,3.567956,1090,1699626150.165564,-,-,518,12.72,4073,1896,1.90,1820,0,2,21,38,32,54,0,390,5,533,0.00,0.02,0.07,0.02,0.14,0.00,4.37,0.06,82.56,12.95,0.03,0.15,74.14,65,67,98.88,300,300,101.08,99.65,1.21,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.31,44.23,0.04,2.60,0.00,0.00
5,g++-4.7 4.7.4,binaryTrees_6.c 21,3.570423,1755,1699626153.768612,-,-,520,12.78,4070,1896,1.90,1985,0,25,45,48,35,72,0,431,6,593,0.00,0.13,0.12,0.03,0.21,0.00,4.48,0.07,82.12,13.53,0.05,0.28,73.35,65,65,98.87,300,300,102.23,99.59,1.22,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.05,44.91,0.04,2.60,0.00,0.00
6,g++-4.7 4.7.4,binaryTrees_6.c 21,3.586858,1111,1699626157.389808,-,-,519,12.73,4072,1896,1.89,1798,0,5,10,39,28,61,0,429,6,532,0.00,0.00,0.07,0.02,0.20,0.00,4.32,0.06,82.53,13.15,0.04,0.29,73.79,67,67,98.86,300,300,101.91,99.60,1.21,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.46,45.29,0.04,2.61,0.00,0.00
7,g++-4.7 4.7.4,binaryTrees_6.c 21,3.559690,1758,1699626160.980331,-,-,519,12.75,4068,1896,1.91,1823,0,5,36,35,23,51,0,448,1,496,0.00,0.04,0.02,0.03,0.15,0.00,5.04,0.01,81.90,13.17,0.04,0.22,73.82,68,70,98.69,300,300,102.03,99.60,1.28,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.69,45.66,0.04,2.60,0.00,0.00
8,g++-4.7 4.7.4,binaryTrees_6.c 21,3.554855,1140,1699626164.566362,-,-,517,12.71,4069,1896,1.91,1894,0,5,13,26,13,64,1,505,3,526,0.00,0.00,0.02,0.01,0.19,0.00,5.80,0.04,81.17,13.05,0.02,0.20,74.03,68,68,98.74,300,300,101.70,99.60,1.26,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.04,45.00,0.04,2.59,0.00,0.00
9,g++-4.7 4.7.4,binaryTrees_6.c 21,3.563389,1197,1699626168.162847,-,-,518,12.73,4068,1896,1.91,1835,0,4,18,38,14,76,0,445,1,560,0.00,0.05,0.07,0.01,0.19,0.00,5.04,0.03,81.82,13.21,0.01,0.23,73.81,73,73,98.87,300,300,101.48,99.57,1.14,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.50,45.46,0.04,2.60,0.00,0.00
10,g++-4.7 4.7.4,binaryTrees_6.c 21,3.570707,1130,1699626171.765009,-,-,518,12.74,4063,1896,1.91,2032,0,34,36,37,19,66,0,477,0,588,0.00,0.10,0.04,0.02,0.21,0.00,5.09,0.00,81.75,13.27,0.02,0.26,73.72,69,71,98.58,300,300,101.90,99.59,1.39,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.88,45.80,0.04,2.60,0.00,0.00
