test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.6 4.6.4,nbody_2_original.c 50000000,0.006940,6298,1692364752.288838,-,-,662,44.52,3829,736,0.72,133,0,0,25,25,14,15,0,2,0,0,0.00,8.13,2.93,4.12,5.91,0.00,0.36,0.00,0.00,49.64,0.76,5.08,0.00,53,55,0.00,300,300,112.89,60.51,60.21,58.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.00,0.00,0.00
2,g++-4.6 4.6.4,nbody_2_original.c 50000000,0.001564,1041,1692364752.326648,-,-,1128,28.96,3800,1944,0.71,150,0,2,41,33,6,5,0,4,0,0,0.32,41.18,26.66,1.85,2.75,0.00,0.83,0.00,0.00,70.12,0.00,0.92,0.00,58,58,0.00,300,300,197.85,99.50,98.35,98.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.00,0.00,0.00,0.00
3,g++-4.6 4.6.4,nbody_2_original.c 50000000,0.001901,1148,1692364752.361711,-,-,1588,18.53,3823,4249,0.79,179,0,0,20,18,9,29,0,26,0,0,0.00,9.63,50.71,19.62,48.55,0.00,51.24,0.00,0.00,45.85,14.62,18.01,2.99,64,64,105.21,300,300,164.44,102.50,59.23,55.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.09,0.00,0.01,0.00,0.00
4,g++-4.6 4.6.4,nbody_2_original.c 50000000,0.001866,1083,1692364752.393969,-,-,1069,26.94,3845,1956,0.68,148,0,1,25,35,25,21,0,0,0,0,0.16,14.52,18.11,18.60,22.62,0.00,0.00,0.00,0.00,54.01,9.22,9.84,0.00,60,60,53.59,300,300,169.99,93.05,92.19,85.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,0.00,0.00
5,g++-4.6 4.6.4,nbody_2_original.c 50000000,0.001941,1182,1692364752.428728,-,-,2114,50.86,3800,2074,0.75,165,0,1,71,42,1,2,0,4,0,0,0.15,25.09,16.38,2.01,5.72,0.00,4.89,0.00,0.00,42.68,0.72,5.74,0.00,65,65,51.52,300,300,360.13,106.30,84.61,84.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.00,0.01,0.00,0.00
6,g++-4.6 4.6.4,nbody_2_original.c 50000000,0.001494,996,1692364752.462157,-,-,1150,29.18,3800,1966,0.73,152,0,1,46,20,18,6,0,0,0,0,0.20,42.17,16.67,13.72,1.34,0.00,0.00,0.00,0.00,70.82,0.00,0.00,0.00,63,63,0.00,300,300,192.03,99.25,98.73,98.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00
7,g++-4.6 4.6.4,nbody_2_original.c 50000000,0.001854,1173,1692364752.497909,-,-,1270,32.66,3844,1918,0.93,175,0,1,9,10,17,29,0,0,0,0,0.11,8.74,9.60,16.67,32.15,0.00,0.00,0.00,0.00,43.60,7.95,15.78,0.00,69,69,53.94,300,300,195.60,91.53,40.67,39.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.00,0.00,0.00,0.00
8,g++-4.6 4.6.4,nbody_2_original.c 50000000,0.005611,4886,1692364752.534097,-,-,780,27.21,3801,1430,0.98,157,0,0,10,17,23,15,0,3,0,0,0.00,3.46,18.64,4.46,17.55,0.00,10.57,0.00,0.00,48.65,0.96,10.64,12.54,64,64,0.00,300,300,100.93,43.30,42.18,40.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.00,0.00,0.00,0.00
9,g++-4.6 4.6.4,nbody_2_original.c 50000000,0.001915,1168,1692364752.569853,-,-,1134,27.69,3822,2031,0.57,151,0,0,17,14,10,29,0,13,0,0,0.00,11.07,19.58,12.53,16.34,0.00,16.76,0.00,0.00,52.73,14.84,0.57,4.17,62,63,0.00,300,300,188.33,115.73,120.53,115.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.00,0.01,0.00,0.00
10,g++-4.6 4.6.4,nbody_2_original.c 50000000,0.001627,1072,1692364752.604694,-,-,1221,30.47,3800,2000,0.66,151,0,0,27,47,5,4,0,7,0,0,0.00,27.66,37.62,1.48,0.68,0.00,6.21,0.00,0.00,69.05,0.00,0.00,0.48,64,64,0.00,300,300,199.21,99.06,92.40,90.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.00,0.00,0.00,0.00
