test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.7 4.7.4,nbody_2.c 50000000,75.080004,1149,1695311664.896411,-,-,515,12.60,4089,1896,2.36,70329,0,60,797,745,384,1412,8,7611,2682,36409,0.00,0.10,0.02,0.01,0.16,0.00,3.05,2.69,81.29,13.37,0.02,0.28,73.74,97,97,99.19,450,300,100.94,99.43,0.47,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1325.05,1137.33,0.25,44.75,0.00,0.00
2,g++-4.7 4.7.4,nbody_2.c 50000000,85.392063,1244,1695311750.330296,-,-,538,14.90,3608,1896,2.20,89890,0,2049,29553,13816,6207,9551,90,13978,2600,32855,0.00,0.43,0.26,0.16,0.59,0.01,4.64,2.78,76.16,15.27,0.10,0.45,69.27,80,82,99.22,450,300,116.46,99.56,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1280.90,1062.31,0.27,54.61,0.00,0.00
3,g++-4.7 4.7.4,nbody_2.c 50000000,88.784466,1262,1695311839.151397,-,-,467,13.63,3426,1896,2.21,51946,264,245513,1852,1462,883,2353,15,11105,278,20128,0.78,0.05,0.04,0.02,0.21,0.00,3.98,0.20,81.87,13.10,0.03,0.27,72.97,85,85,98.40,450,300,105.14,99.78,1.21,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1060.32,851.96,0.83,41.72,0.00,0.00
4,g++-4.7 4.7.4,nbody_2.c 50000000,87.049708,1282,1695311926.234640,-,-,444,12.61,3520,1896,2.36,39362,0,37,314,686,453,1256,4,5556,165,16278,0.00,0.01,0.03,0.01,0.11,0.00,2.08,0.12,85.00,12.95,0.01,0.17,74.26,84,86,99.70,450,300,101.01,99.79,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1039.87,861.71,0.07,24.41,0.00,0.00
5,g++-4.7 4.7.4,nbody_2.c 50000000,88.309017,1254,1695312014.598419,-,-,445,12.65,3522,1896,2.32,42594,0,45,666,1148,675,1432,0,6785,128,15918,0.00,0.02,0.03,0.01,0.12,0.00,2.50,0.09,84.56,13.04,0.02,0.21,74.09,80,80,99.35,450,300,101.31,99.79,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1054.83,872.69,0.24,25.11,0.00,0.00
6,g++-4.7 4.7.4,nbody_2.c 50000000,87.228882,1228,1695312101.863405,-,-,444,12.59,3522,1896,2.36,41961,0,21,272,540,418,1123,4,6069,84,15776,0.00,0.01,0.02,0.01,0.10,0.00,2.49,0.07,84.68,12.91,0.01,0.14,74.35,80,82,99.38,450,300,100.82,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1041.77,861.82,0.24,24.80,0.00,0.00
7,g++-4.7 4.7.4,nbody_2.c 50000000,86.917083,1237,1695312188.820504,-,-,445,12.64,3517,1896,2.36,41523,0,31,873,963,498,843,8,5856,145,17001,0.00,0.10,0.02,0.01,0.07,0.00,2.34,0.13,84.65,13.19,0.02,0.13,74.02,79,79,99.34,450,300,101.32,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1038.07,858.86,0.25,24.71,0.00,0.00
8,g++-4.7 4.7.4,nbody_2.c 50000000,86.969130,1224,1695312275.820566,-,-,445,12.67,3517,1896,2.36,42587,0,1006,426,992,752,1612,5,6475,100,16485,0.00,0.01,0.03,0.02,0.13,0.00,2.50,0.08,84.53,13.03,0.02,0.21,74.08,81,81,99.35,450,300,101.38,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1038.90,860.28,0.24,24.78,0.00,0.00
9,g++-4.7 4.7.4,nbody_2.c 50000000,86.967767,1276,1695312362.854029,-,-,445,12.64,3517,1896,2.36,41968,0,92,904,822,570,1229,3,6170,110,14466,0.00,0.04,0.02,0.01,0.11,0.00,2.39,0.12,84.64,13.01,0.01,0.15,74.18,84,85,99.37,450,300,101.23,99.79,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1038.72,860.05,0.23,24.75,0.00,0.00
10,g++-4.7 4.7.4,nbody_2.c 50000000,87.779161,1253,1695312450.668868,-,-,445,12.63,3525,1896,2.34,41635,0,16,922,1005,480,944,1,4873,65,14479,0.00,0.10,0.01,0.01,0.08,0.00,1.99,0.06,85.09,13.14,0.01,0.13,74.09,83,83,99.38,450,300,101.25,99.79,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1048.36,868.43,0.23,24.95,0.00,0.00
