test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-7 7.5.0,nbody_2.c 50000000,76.647668,1132,1695326156.805850,-,-,613,15.18,4036,1896,2.08,90316,0,1738,46420,14045,4502,7186,46,14041,1750,31471,0.00,0.52,0.25,0.12,0.50,0.00,5.19,1.36,76.76,15.40,0.08,0.50,68.83,97,97,99.42,450,300,117.66,99.35,0.48,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1454.78,1288.95,0.26,26.65,0.00,0.00
2,g++-7 7.5.0,nbody_2.c 50000000,79.404705,1363,1695326236.248801,-,-,489,12.59,3887,1896,2.26,97248,0,22,250,809,773,2506,2,11266,4882,52813,0.00,0.01,0.02,0.02,0.27,0.00,4.10,5.23,77.67,13.49,0.02,0.44,73.46,95,98,99.51,450,300,100.95,99.23,0.46,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1230.40,1062.55,0.26,22.63,0.00,0.00
3,g++-7 7.5.0,nbody_2.c 50000000,82.606401,1248,1695326318.891836,-,-,467,12.62,3704,1896,2.27,57335,0,60,329,946,745,1582,6,7617,1237,26975,0.00,0.01,0.03,0.02,0.16,0.00,2.86,1.31,82.94,13.12,0.02,0.27,73.97,82,82,99.48,450,300,101.09,99.59,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1144.70,970.18,0.25,23.52,0.00,0.00
4,g++-7 7.5.0,nbody_2.c 50000000,87.153543,1253,1695326406.081610,-,-,443,12.58,3521,1896,2.27,39760,0,20,197,645,511,1202,2,5270,53,13590,0.00,0.01,0.02,0.01,0.10,0.00,2.23,0.04,84.98,12.90,0.01,0.17,74.33,79,79,99.47,450,300,100.78,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1040.94,860.10,0.24,24.77,0.00,0.00
5,g++-7 7.5.0,nbody_2.c 50000000,86.090118,1197,1695326492.231132,-,-,447,12.62,3546,1896,2.28,39541,0,44,238,617,441,987,7,4925,122,12993,0.00,0.01,0.01,0.01,0.09,0.00,2.00,0.09,85.12,12.93,0.01,0.16,74.28,86,86,99.47,450,300,101.09,99.77,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1048.56,871.65,0.23,24.47,0.00,0.00
6,g++-7 7.5.0,nbody_2.c 50000000,81.660456,1227,1695326573.929133,-,-,472,12.62,3741,1896,2.27,46135,0,23,785,991,611,867,1,5998,847,18565,0.00,0.10,0.02,0.02,0.09,0.00,2.54,0.56,84.02,13.18,0.02,0.13,74.05,82,82,99.47,450,300,101.12,99.70,0.44,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1149.26,977.22,0.25,23.24,0.00,0.00
7,g++-7 7.5.0,nbody_2.c 50000000,87.401556,1245,1695326661.367750,-,-,445,12.58,3536,1896,2.26,39905,0,17,188,573,439,852,7,5359,69,14179,0.00,0.02,0.01,0.01,0.08,0.00,2.27,0.05,84.95,12.90,0.01,0.13,74.37,79,79,99.48,450,300,100.79,99.78,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1053.84,872.42,0.24,24.84,0.00,0.00
8,g++-7 7.5.0,nbody_2.c 50000000,85.183228,1205,1695326746.584394,-,-,455,12.62,3608,1896,2.26,39551,0,46,1340,856,627,1055,2,5239,73,13760,0.00,0.06,0.03,0.01,0.09,0.00,2.28,0.05,84.82,12.87,0.02,0.13,74.37,85,85,99.45,450,300,100.76,99.77,0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1088.25,911.61,0.25,24.26,0.00,0.00
9,g++-7 7.5.0,nbody_2.c 50000000,84.449183,1246,1695326831.097589,-,-,457,12.64,3617,1896,2.27,39357,0,33,728,1086,556,1076,5,5805,126,14110,0.00,0.07,0.03,0.01,0.09,0.00,2.42,0.10,84.60,13.12,0.02,0.14,74.08,82,82,99.47,450,300,101.26,99.77,0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1089.28,912.02,0.24,24.05,0.00,0.00
10,g++-7 7.5.0,nbody_2.c 50000000,86.999116,1221,1695326918.130001,-,-,449,12.63,3551,1896,2.25,41798,0,37,1125,1135,636,1107,0,5142,133,13455,0.00,0.09,0.02,0.02,0.09,0.00,2.12,0.14,84.85,13.08,0.02,0.13,74.14,84,84,99.48,450,300,101.14,99.77,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1064.62,885.95,0.23,24.74,0.00,0.00
