test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.8 4.8.5,nbody_2.c 50000000,75.369267,1166,1692801135.535703,-,-,517,12.61,4098,1896,2.21,38112,0,42,540,564,198,717,8,6126,215,15627,0.00,0.04,0.04,0.01,0.08,0.00,2.83,0.19,84.15,13.11,0.01,0.13,74.14,96,96,99.29,300,300,101.02,99.61,0.48,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1304.38,1116.05,0.23,39.55,0.00,0.00
2,g++-4.8 4.8.5,nbody_2.c 50000000,77.836181,1048,1692801213.408173,-,-,502,12.60,3986,1896,2.21,125831,0,34,1058,912,469,2949,0,15483,7247,71054,0.00,0.11,0.02,0.01,0.38,0.00,4.93,4.23,77.63,13.74,0.01,0.64,73.02,96,96,99.11,300,300,101.01,99.18,0.48,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1302.98,1107.45,0.26,40.77,0.00,0.00
3,g++-4.8 4.8.5,nbody_2.c 50000000,87.016187,1232,1692801300.463145,-,-,442,12.61,3504,1896,2.24,39511,0,25,340,395,183,731,3,5440,75,14378,0.00,0.03,0.01,0.00,0.06,0.00,2.31,0.06,84.87,12.94,0.01,0.10,74.34,81,81,99.11,300,300,101.00,99.78,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1048.39,830.85,0.22,45.45,0.00,0.00
4,g++-4.8 4.8.5,nbody_2.c 50000000,87.932967,1187,1692801388.436631,-,-,441,12.58,3503,1896,2.23,41330,0,114,889,462,292,922,9,6411,66,14181,0.00,0.03,0.02,0.01,0.08,0.00,2.75,0.05,84.45,12.90,0.01,0.13,74.38,80,80,99.09,300,300,100.75,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1050.18,831.65,0.23,45.93,0.00,0.00
5,g++-4.8 4.8.5,nbody_2.c 50000000,87.415857,1216,1692801475.904228,-,-,440,12.57,3504,1896,2.24,40344,0,21,106,301,203,797,3,5969,82,14062,0.00,0.01,0.01,0.01,0.07,0.00,2.54,0.07,84.71,12.87,0.01,0.12,74.43,81,81,99.08,300,300,100.70,99.79,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1043.83,826.89,0.22,45.63,0.00,0.00
6,g++-4.8 4.8.5,nbody_2.c 50000000,87.214364,1209,1692801563.160229,-,-,442,12.61,3501,1896,2.24,39676,0,15,216,465,234,975,0,6671,157,13661,0.00,0.02,0.02,0.01,0.08,0.00,2.54,0.10,84.59,12.95,0.01,0.15,74.28,79,79,99.16,300,300,101.07,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1041.57,825.80,0.22,45.54,0.00,0.00
7,g++-4.8 4.8.5,nbody_2.c 50000000,87.099445,1187,1692801650.297589,-,-,442,12.62,3501,1896,2.24,39586,0,21,270,504,301,1022,1,6645,132,13314,0.00,0.03,0.02,0.01,0.09,0.00,2.53,0.08,84.60,12.97,0.01,0.16,74.24,79,79,99.16,300,300,101.09,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1040.23,824.93,0.22,45.47,0.00,0.00
8,g++-4.8 4.8.5,nbody_2.c 50000000,87.252810,1187,1692801737.586781,-,-,442,12.62,3499,1896,2.24,39731,0,28,326,539,227,1120,0,6422,153,14741,0.00,0.03,0.02,0.00,0.10,0.00,2.44,0.10,84.65,12.99,0.01,0.19,74.19,78,78,99.16,300,300,101.15,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1042.13,825.58,0.23,45.58,0.00,0.00
9,g++-4.8 4.8.5,nbody_2.c 50000000,87.336394,1150,1692801824.982340,-,-,442,12.61,3502,1896,2.24,39569,0,53,342,455,226,931,1,6035,74,13562,0.00,0.04,0.02,0.01,0.08,0.00,2.35,0.03,84.84,12.95,0.01,0.13,74.30,81,81,99.03,300,300,101.01,99.79,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1042.98,827.60,0.21,45.61,0.00,0.00
10,g++-4.8 4.8.5,nbody_2.c 50000000,87.073199,1199,1692801912.088740,-,-,442,12.62,3501,1896,2.24,40216,0,34,630,465,273,917,2,6720,141,14543,0.00,0.02,0.02,0.01,0.08,0.00,2.71,0.07,84.44,12.97,0.01,0.14,74.26,80,80,99.14,300,300,101.13,99.79,0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1039.98,825.07,0.23,45.51,0.00,0.00
