test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-7 7.5.0,nbody_2.c 50000000,74.649693,1242,1692805060.870320,-,-,516,12.58,4098,1896,2.28,56726,0,15,514,537,248,1031,0,5688,2155,28455,0.00,0.05,0.02,0.01,0.10,0.00,2.30,1.69,83.19,13.16,0.01,0.14,74.10,98,98,99.93,300,300,100.76,99.56,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1297.81,1136.67,0.01,20.84,0.00,0.00
2,g++-7 7.5.0,nbody_2.c 50000000,80.770586,1252,1692805141.679272,-,-,478,12.54,3811,1896,2.27,60575,0,44,287,422,267,763,0,5781,1244,31254,0.00,0.02,0.01,0.01,0.08,0.00,2.34,1.50,83.44,12.94,0.00,0.08,74.43,83,85,99.91,300,300,100.10,99.53,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1199.69,1024.01,0.02,22.58,0.00,0.00
3,g++-7 7.5.0,nbody_2.c 50000000,87.047520,1288,1692805228.764124,-,-,442,12.60,3505,1896,2.28,35968,0,23,146,342,135,666,2,4512,169,13077,0.00,0.01,0.01,0.00,0.06,0.00,1.73,0.14,85.43,12.88,0.00,0.06,74.46,81,81,99.82,300,300,100.90,99.79,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1039.59,850.95,0.01,24.31,0.00,0.00
4,g++-7 7.5.0,nbody_2.c 50000000,87.333968,1253,1692805316.136686,-,-,442,12.59,3508,1896,2.27,36514,0,26,261,317,137,715,2,4495,42,13510,0.00,0.02,0.01,0.00,0.07,0.00,1.69,0.04,85.55,12.76,0.00,0.09,74.55,83,83,99.82,300,300,100.47,99.79,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1043.08,853.52,0.01,24.40,0.00,0.00
5,g++-7 7.5.0,nbody_2.c 50000000,87.037714,1187,1692805403.241124,-,-,441,12.59,3506,1896,2.28,36208,0,11,230,433,242,966,2,4697,83,12328,0.00,0.02,0.01,0.01,0.08,0.00,1.82,0.04,85.40,12.91,0.01,0.14,74.35,82,82,99.81,300,300,100.89,99.79,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1039.46,850.87,0.01,24.32,0.00,0.00
6,g++-7 7.5.0,nbody_2.c 50000000,87.907458,1251,1692805491.184117,-,-,442,12.59,3507,1896,2.26,35864,0,19,218,447,169,740,4,4696,52,9785,0.00,0.01,0.01,0.00,0.06,0.00,1.77,0.02,85.48,12.86,0.00,0.11,74.43,81,83,99.81,300,300,100.81,99.79,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1049.90,859.87,0.01,24.55,0.00,0.00
7,g++-7 7.5.0,nbody_2.c 50000000,87.020488,1244,1692805578.237992,-,-,442,12.60,3507,1896,2.28,36067,0,85,749,429,156,725,5,4600,88,12871,0.00,0.02,0.02,0.01,0.07,0.00,1.81,0.03,85.42,12.91,0.01,0.11,74.37,83,83,99.80,300,300,100.93,99.79,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1039.33,850.79,0.02,24.34,0.00,0.00
8,g++-7 7.5.0,nbody_2.c 50000000,87.183922,1252,1692805665.453010,-,-,443,12.65,3500,1896,2.28,37120,0,163,1457,1151,577,1290,13,5121,173,12464,0.00,0.06,0.05,0.02,0.10,0.00,1.95,0.12,85.02,13.02,0.02,0.12,74.18,81,81,99.82,300,300,101.19,99.79,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1041.42,851.93,0.02,24.44,0.00,0.00
9,g++-7 7.5.0,nbody_2.c 50000000,91.243078,1222,1692805756.758581,-,-,501,15.65,3201,1896,2.14,62112,0,1059,32263,15364,5387,8515,36,10401,105,12277,0.00,0.39,0.27,0.13,0.46,0.00,3.69,0.06,79.33,15.36,0.09,0.30,68.60,81,83,99.82,300,300,120.99,99.78,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1089.96,888.08,0.01,30.20,0.00,0.00
10,g++-7 7.5.0,nbody_2.c 50000000,87.024253,1192,1692805843.821896,-,-,442,12.59,3507,1896,2.28,35217,0,19,504,539,223,841,0,3948,42,11576,0.00,0.06,0.01,0.01,0.08,0.00,1.65,0.03,85.54,12.96,0.01,0.14,74.30,81,81,99.82,300,300,100.85,99.79,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1039.43,851.44,0.01,24.30,0.00,0.00
