test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-9 9.5.0,nbody_2_original.c 50000000,2.775424,1095,1695026697.572628,-,-,521,12.72,4097,1896,2.94,1760,0,4,120,94,21,57,1,428,4,629,0.00,0.22,0.13,0.02,0.28,0.01,5.49,0.08,80.99,13.50,0.02,0.30,73.46,75,75,99.19,450,300,101.82,99.61,0.80,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.68,37.68,0.02,1.67,0.00,0.00
2,g++-9 9.5.0,nbody_2_original.c 50000000,2.779390,1125,1695026700.388396,-,-,522,12.74,4096,1896,2.93,1798,0,1,156,75,13,35,0,415,8,756,0.00,0.23,0.04,0.03,0.20,0.00,5.30,0.40,81.00,13.53,0.02,0.29,73.43,77,77,98.80,450,300,102.00,99.53,1.04,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.04,38.07,0.03,1.67,0.00,0.00
3,g++-9 9.5.0,nbody_2_original.c 50000000,2.812527,1162,1695026703.236866,-,-,525,12.83,4089,1896,2.89,2185,0,20,544,129,64,52,0,682,4,771,0.00,0.33,0.15,0.09,0.24,0.00,9.22,0.08,76.98,13.61,0.08,0.23,73.25,79,79,98.91,450,300,101.88,99.53,0.98,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.38,39.29,0.03,1.71,0.00,0.00
4,g++-9 9.5.0,nbody_2_original.c 50000000,2.780971,1085,1695026706.053551,-,-,519,12.66,4097,1896,2.94,1591,0,2,59,30,31,59,0,354,1,639,0.00,0.08,0.04,0.03,0.23,0.00,4.57,0.03,82.31,12.98,0.02,0.26,74.09,81,81,99.03,450,300,100.70,99.61,0.80,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.66,38.72,0.02,1.67,0.00,0.00
5,g++-9 9.5.0,nbody_2_original.c 50000000,2.782162,1123,1695026708.872317,-,-,521,12.74,4094,1896,2.93,1737,0,0,113,43,63,88,0,471,6,610,0.00,0.31,0.02,0.05,0.24,0.00,5.75,0.13,80.69,13.57,0.05,0.17,73.47,90,93,98.66,450,300,101.91,99.50,0.96,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.05,40.07,0.03,1.68,0.00,0.00
6,g++-9 9.5.0,nbody_2_original.c 50000000,2.853495,1082,1695026711.760339,-,-,520,12.70,4094,1896,2.86,1990,0,68,149,71,17,65,4,447,3,835,0.01,0.40,0.15,0.02,0.18,0.00,5.57,0.06,80.84,13.89,0.03,0.19,73.19,92,95,98.65,450,300,101.54,99.48,0.94,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.91,41.74,0.03,1.72,0.00,0.00
7,g++-9 9.5.0,nbody_2_original.c 50000000,2.802636,1113,1695026714.597949,-,-,516,12.60,4096,1896,2.93,1701,0,12,58,34,30,54,0,411,9,694,0.00,0.17,0.07,0.03,0.15,0.00,5.22,0.28,81.42,13.27,0.05,0.21,73.87,86,86,98.98,450,300,100.88,99.61,0.85,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.92,39.89,0.02,1.69,0.00,0.00
8,g++-9 9.5.0,nbody_2_original.c 50000000,2.776422,1113,1695026717.409135,-,-,520,12.69,4096,1896,2.94,1602,0,1,67,65,31,44,0,364,4,675,0.00,0.12,0.15,0.05,0.18,0.00,4.38,0.12,82.24,13.46,0.05,0.22,73.58,87,87,98.94,450,300,101.56,99.60,0.88,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.63,39.72,0.02,1.67,0.00,0.00
9,g++-9 9.5.0,nbody_2_original.c 50000000,2.794279,1141,1695026720.239664,-,-,517,12.63,4096,1896,2.94,1797,0,19,71,46,21,57,0,439,2,659,0.00,0.10,0.03,0.03,0.22,0.00,6.18,0.02,80.72,13.17,0.03,0.27,73.91,86,86,98.63,450,300,100.95,99.57,1.08,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.93,39.88,0.03,1.68,0.00,0.00
10,g++-9 9.5.0,nbody_2_original.c 50000000,2.807862,1116,1695026723.082616,-,-,516,12.67,4077,1896,2.93,4255,0,0,95,44,95,102,0,620,212,2323,0.00,0.18,0.08,0.05,0.27,0.00,7.12,5.06,74.46,13.82,0.03,0.33,73.15,95,97,98.72,450,300,101.38,99.09,0.89,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.88,40.89,0.02,1.69,0.00,0.00
