test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.9 4.9.3,nbody_2_original.c 50000000,0.002925,1827,1692869481.649929,-,-,652,30.49,2200,1844,0.73,25,0,1,6,20,11,39,0,0,0,0,0.03,11.42,29.71,7.66,19.18,0.00,0.00,0.00,0.00,61.32,2.99,5.19,0.00,46,46,34.19,300,300,182.48,99.82,64.11,64.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00
2,g++-4.9 4.9.3,nbody_2_original.c 50000000,0.002201,1600,1692869481.696204,-,-,723,24.23,3115,1816,0.79,12,0,0,12,12,14,10,0,2,0,0,0.00,13.04,14.18,21.35,15.90,0.00,8.09,0.00,0.00,58.38,3.73,13.67,0.00,48,48,0.00,300,300,166.53,88.37,86.31,85.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00
3,g++-4.9 4.9.3,nbody_2_original.c 50000000,0.001894,1186,1692869481.729495,-,-,682,20.50,3301,1911,0.87,26,0,0,6,3,9,30,0,0,0,0,0.00,9.13,2.80,13.36,55.07,0.00,0.00,0.00,0.00,41.76,15.81,21.94,0.00,49,50,0.00,300,300,177.03,98.00,90.48,89.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00
4,g++-4.9 4.9.3,nbody_2_original.c 50000000,0.001824,1138,1692869481.759707,-,-,704,20.61,3395,1907,0.86,22,0,3,6,21,16,6,0,1,0,0,0.49,11.62,31.52,22.20,11.90,0.00,2.69,0.00,0.00,73.70,5.69,0.00,0.00,51,52,54.82,300,300,159.91,99.13,38.56,37.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00
5,g++-4.9 4.9.3,nbody_2_original.c 50000000,0.001880,1168,1692869481.792346,-,-,690,20.62,3300,1922,0.87,22,0,1,15,30,3,5,0,2,0,0,0.11,22.07,24.84,2.29,20.74,0.00,10.74,0.00,0.00,64.71,0.07,14.59,0.00,52,52,53.19,300,300,166.57,98.59,11.63,11.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00
6,g++-4.9 4.9.3,nbody_2_original.c 50000000,0.001721,1181,1692869481.823166,-,-,702,20.30,3500,1872,0.90,18,0,0,12,19,9,7,0,0,0,0,0.00,22.60,18.42,18.54,19.35,0.00,0.00,0.00,0.00,65.97,13.72,0.00,0.00,52,52,0.00,300,300,165.59,99.81,98.20,96.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00
7,g++-4.9 4.9.3,nbody_2_original.c 50000000,0.001842,1174,1692869481.852145,-,-,698,19.99,3500,1890,0.87,22,0,0,11,22,11,5,0,2,0,0,0.00,20.52,18.35,17.75,15.20,0.00,8.14,0.00,0.00,59.88,11.09,9.04,0.00,54,54,108.58,300,300,155.60,97.96,15.40,15.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00
8,g++-4.9 4.9.3,nbody_2_original.c 50000000,0.001597,1085,1692869481.881954,-,-,756,21.13,3500,1939,0.90,35,0,1,20,8,13,5,0,1,0,0,0.06,31.87,11.21,18.85,13.27,0.00,5.57,0.00,0.00,69.93,8.94,0.00,0.00,53,53,0.00,300,300,172.64,99.61,99.62,99.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,0.00,0.00
9,g++-4.9 4.9.3,nbody_2_original.c 50000000,0.001648,1117,1692869481.911961,-,-,518,14.29,3500,1963,1.08,18,0,0,2,5,9,6,0,3,0,0,0.00,10.19,8.68,42.23,17.54,0.00,10.19,0.00,0.00,44.15,33.09,8.47,0.00,52,52,0.00,300,300,129.19,97.36,98.60,96.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00
10,g++-4.9 4.9.3,nbody_2_original.c 50000000,0.001724,1111,1692869481.941019,-,-,501,13.77,3500,1971,1.03,22,0,0,4,3,2,8,0,4,0,0,0.00,6.15,4.41,15.20,28.83,0.00,35.03,0.00,0.00,33.96,12.22,24.82,15.23,51,51,58.00,300,300,135.48,96.78,56.91,54.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00
