test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-8 ,nbody_2_original.c 50000000,2.965934,1137,1692622825.712721,-,-,517,12.62,4096,1896,2.84,1541,0,4,97,54,13,26,0,318,2,533,0.00,0.20,0.04,0.01,0.11,0.00,4.37,0.02,82.56,13.25,0.02,0.12,73.99,70,73,99.19,300,300,101.05,99.61,0.82,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.31,42.02,0.02,1.59,0.00,0.00
2,g++-8 ,nbody_2_original.c 50000000,2.817886,1185,1692622828.567112,-,-,529,12.96,4085,1896,2.95,1901,0,23,447,520,227,183,0,434,7,550,0.00,0.17,0.29,0.17,0.43,0.00,5.56,0.22,80.14,13.53,0.10,0.35,73.06,76,78,98.94,300,300,102.42,99.54,1.02,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.47,41.38,0.03,1.54,0.00,0.00
3,g++-8 ,nbody_2_original.c 50000000,2.807479,1187,1692622831.405672,-,-,522,12.75,4092,1896,2.99,1748,0,11,319,181,120,122,0,436,4,573,0.00,0.27,0.10,0.10,0.42,0.00,6.12,0.07,80.10,13.44,0.07,0.28,73.46,77,81,98.49,300,300,101.62,99.55,1.30,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.46,41.46,0.03,1.55,0.00,0.00
4,g++-8 ,nbody_2_original.c 50000000,2.799251,1096,1692622834.239580,-,-,515,12.56,4097,1896,3.02,1419,0,0,62,24,39,38,1,277,0,556,0.00,0.10,0.02,0.04,0.15,0.02,4.09,0.00,82.96,13.03,0.00,0.15,74.25,81,81,98.74,300,300,100.53,99.66,1.09,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.12,41.03,0.03,1.52,0.00,0.00
5,g++-8 ,nbody_2_original.c 50000000,2.803947,1074,1692622837.079464,-,-,516,12.60,4097,1896,3.01,1486,0,1,75,34,25,59,0,344,6,513,0.00,0.24,0.08,0.03,0.32,0.00,4.63,0.10,81.95,13.24,0.04,0.42,73.70,84,84,98.97,300,300,100.56,99.62,0.85,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.77,41.83,0.02,1.51,0.00,0.00
6,g++-8 ,nbody_2_original.c 50000000,2.846615,1065,1692622839.958285,-,-,526,12.86,4088,1896,2.93,2099,0,159,629,255,230,194,1,357,5,554,0.01,0.27,0.17,0.21,0.53,0.01,4.45,0.02,81.41,13.65,0.22,0.33,72.94,82,82,98.82,300,300,102.13,99.58,1.08,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.84,42.70,0.03,1.55,0.00,0.00
7,g++-8 ,nbody_2_original.c 50000000,2.841891,1169,1692622842.840418,-,-,515,12.56,4098,1896,2.98,1437,0,2,61,59,41,43,0,325,1,516,0.00,0.11,0.03,0.04,0.22,0.00,4.52,0.02,82.45,12.94,0.04,0.20,74.25,84,84,98.81,300,300,100.28,99.67,1.03,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.52,42.36,0.02,1.55,0.00,0.00
8,g++-8 ,nbody_2_original.c 50000000,2.846937,1090,1692622845.723462,-,-,520,12.70,4094,1896,2.95,1703,0,18,145,139,75,157,0,420,0,572,0.00,0.11,0.29,0.07,0.42,0.00,5.34,0.00,81.00,13.53,0.08,0.44,73.24,86,86,98.60,300,300,101.14,99.57,1.17,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.26,43.17,0.03,1.55,0.00,0.00
9,g++-8 ,nbody_2_original.c 50000000,2.847388,1061,1692622848.606940,-,-,515,12.56,4097,1898,2.97,1514,0,2,53,43,25,76,0,361,0,481,0.00,0.21,0.18,0.06,0.21,0.00,4.77,0.00,82.06,13.45,0.09,0.23,73.66,88,88,98.65,300,300,100.69,99.65,1.20,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.94,42.84,0.03,1.56,0.00,0.00
10,g++-8 ,nbody_2_original.c 50000000,2.813284,1058,1692622851.455501,-,-,521,12.73,4092,1896,2.98,1732,0,16,405,195,135,164,1,408,2,548,0.00,0.19,0.15,0.18,0.46,0.00,5.41,0.06,80.76,13.32,0.11,0.46,73.38,87,87,98.96,300,300,101.35,99.61,0.80,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.05,43.01,0.02,1.52,0.00,0.00
