test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-11 11.4.0,nbody_2.c 50000000,8.211830,1093,1695036297.533389,-,-,518,12.64,4097,1896,3.16,4642,0,4,110,99,67,115,0,777,23,1926,0.00,0.06,0.06,0.03,0.12,0.00,3.12,0.12,83.79,13.18,0.03,0.18,73.97,92,92,99.15,300,300,101.34,99.62,0.70,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.17,136.84,0.04,4.91,0.00,0.00
2,g++-11 11.4.0,nbody_2.c 50000000,8.667033,1169,1695036306.238687,-,-,502,12.74,3941,1896,3.10,19816,0,86,873,179,107,679,0,3494,1480,10408,0.00,0.22,0.06,0.03,0.81,0.00,9.57,9.06,67.32,14.24,0.03,1.03,71.96,94,98,99.19,300,300,101.42,98.54,0.86,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.72,133.05,0.06,5.21,0.00,0.00
3,g++-11 11.4.0,nbody_2.c 50000000,8.895144,1194,1695036315.168138,-,-,486,12.71,3826,1896,3.12,23210,0,8,283,353,197,649,1,3650,1825,13074,0.00,0.15,0.06,0.05,0.72,0.01,9.24,9.20,67.72,14.48,0.05,0.92,71.84,95,95,99.28,300,300,101.81,98.79,0.77,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.44,127.13,0.05,5.33,0.00,0.00
4,g++-11 11.4.0,nbody_2.c 50000000,8.429776,1227,1695036323.632666,-,-,508,12.58,4041,1896,3.14,19833,0,4,168,114,77,575,0,2999,1732,10766,0.00,0.14,0.02,0.02,0.66,0.00,8.96,10.90,66.54,14.11,0.03,1.10,72.19,93,97,99.03,300,300,100.97,98.55,0.83,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163.04,141.49,0.05,5.04,0.00,0.00
5,g++-11 11.4.0,nbody_2.c 50000000,9.113895,1144,1695036332.779952,-,-,474,12.79,3706,1896,3.12,19051,0,8,324,424,309,990,1,3014,1567,10267,0.00,0.09,0.08,0.08,0.88,0.00,8.56,9.72,67.72,14.08,0.10,1.15,71.88,95,98,99.24,300,300,102.31,99.38,0.77,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.96,120.90,0.05,5.46,0.00,0.00
6,g++-11 11.4.0,nbody_2.c 50000000,9.100070,1155,1695036341.915443,-,-,474,12.73,3722,1896,3.12,22939,0,41,222,133,138,785,1,3255,1873,12648,0.00,0.23,0.03,0.03,0.74,0.00,9.01,9.74,67.41,14.45,0.03,1.10,71.69,97,97,99.39,300,300,101.98,99.18,0.63,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.11,121.94,0.04,5.44,0.00,0.00
7,g++-11 11.4.0,nbody_2.c 50000000,8.480201,1080,1695036350.431136,-,-,503,12.60,3989,1896,3.16,10495,0,4,67,89,68,334,0,1672,506,6011,0.00,0.06,0.04,0.02,0.34,0.00,5.57,4.79,76.47,13.44,0.03,0.50,73.42,97,97,98.74,300,300,101.02,99.19,0.82,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.87,136.34,0.05,5.07,0.00,0.00
8,g++-11 11.4.0,nbody_2.c 50000000,8.793773,1094,1695036359.262241,-,-,497,12.59,3949,1896,3.08,16451,0,35,161,126,90,564,0,2362,1648,8739,0.00,0.06,0.03,0.03,0.49,0.00,7.10,13.92,65.63,13.75,0.04,0.70,72.91,98,98,98.77,300,300,100.98,98.81,0.74,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.16,137.74,0.05,5.26,0.00,0.00
9,g++-11 11.4.0,nbody_2.c 50000000,8.617222,1149,1695036367.914837,-,-,499,12.59,3960,1896,3.13,13507,0,2,66,83,92,445,0,1962,991,7702,0.00,0.03,0.03,0.04,0.41,0.00,6.41,9.92,70.44,13.47,0.03,0.55,73.35,97,97,98.85,300,300,100.52,98.98,0.88,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.00,136.03,0.05,5.16,0.00,0.00
10,g++-11 11.4.0,nbody_2.c 50000000,9.302250,1169,1695036377.252751,-,-,465,12.75,3645,1896,3.12,30067,0,41,83,88,211,1225,0,4018,2183,17574,0.00,0.08,0.03,0.06,0.91,0.00,9.72,8.26,68.12,14.43,0.07,1.14,71.61,96,96,99.22,300,300,102.14,99.13,0.72,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.56,118.97,0.05,5.56,0.00,0.00
