test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.4 4.4.7,nbody_2.c 50000000,8.894544,1099,1690882791.373800,-,-,520,12.69,4099,1896,3.16,4790,0,7,261,109,67,113,1,875,5,1509,0.00,0.08,0.03,0.02,0.13,0.00,3.81,0.06,83.13,12.78,0.01,0.13,74.38,85,85,99.09,400,300,100.38,99.64,0.77,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.65,130.63,0.05,5.34,0.00,0.00
2,g++-4.4 4.4.7,nbody_2.c 50000000,8.728552,1203,1690882800.184537,-,-,519,12.65,4098,1896,3.23,4775,0,17,259,99,38,72,0,904,12,1435,0.00,0.18,0.03,0.02,0.08,0.00,3.83,0.16,83.00,13.25,0.02,0.12,73.95,90,90,99.03,400,300,101.33,99.65,0.80,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.65,130.94,0.05,5.23,0.00,0.00
3,g++-4.4 4.4.7,nbody_2.c 50000000,8.714058,1071,1690882808.979232,-,-,518,12.66,4097,1896,3.23,4546,0,20,131,86,40,144,1,721,2,1429,0.00,0.11,0.09,0.01,0.12,0.00,3.03,0.00,83.92,13.30,0.03,0.17,73.85,92,96,98.83,400,300,101.30,99.64,0.74,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.29,134.50,0.05,5.22,0.00,0.00
4,g++-4.4 4.4.7,nbody_2.c 50000000,8.719415,1124,1690882817.788515,-,-,518,12.64,4097,1896,3.24,4746,0,54,147,71,48,150,1,911,17,1522,0.00,0.14,0.04,0.01,0.12,0.00,3.61,0.11,83.28,13.23,0.01,0.20,73.92,96,96,98.91,400,300,101.19,99.61,0.74,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.98,135.62,0.05,5.23,0.00,0.00
5,g++-4.4 4.4.7,nbody_2.c 50000000,8.805545,1043,1690882826.671391,-,-,515,12.57,4096,1896,3.22,11617,0,19,208,154,84,213,0,1482,717,6190,0.00,0.05,0.03,0.02,0.21,0.00,5.41,4.88,76.73,13.42,0.02,0.32,73.67,95,97,98.81,400,300,100.74,99.31,0.78,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.56,137.12,0.06,5.28,0.00,0.00
6,g++-4.4 4.4.7,nbody_2.c 50000000,8.722836,1085,1690882835.490352,-,-,516,12.59,4098,1896,3.25,5775,0,44,65,103,67,142,0,785,92,2696,0.00,0.06,0.11,0.02,0.13,0.00,2.99,0.86,83.18,13.28,0.03,0.18,73.92,96,96,99.05,400,300,100.85,99.57,0.57,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.40,136.10,0.04,5.22,0.00,0.00
7,g++-4.4 4.4.7,nbody_2.c 50000000,8.770314,1097,1690882844.349170,-,-,517,12.62,4095,1896,3.22,14319,0,2,154,141,366,336,0,1802,1187,7936,0.00,0.10,0.07,0.05,0.35,0.00,6.14,9.26,71.31,13.64,0.05,0.49,73.20,97,97,98.86,300,300,101.14,99.19,0.76,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.08,137.77,0.05,5.26,0.00,0.00
8,g++-4.4 4.4.7,nbody_2.c 50000000,8.880549,1096,1690882853.296205,-,-,513,12.77,4015,1896,3.21,11375,0,72,229,242,296,452,2,1634,395,6051,0.00,0.11,0.05,0.07,0.36,0.00,5.61,4.50,76.43,13.53,0.07,0.45,73.18,99,99,98.69,300,300,101.41,99.19,0.91,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.85,136.19,0.06,5.34,0.00,0.00
9,g++-4.4 4.4.7,nbody_2.c 50000000,8.901556,1013,1690882862.282715,-,-,510,12.69,4015,1896,3.22,12043,0,13,180,149,192,374,0,1601,507,6742,0.00,0.05,0.09,0.05,0.31,0.00,5.26,6.23,75.20,13.49,0.04,0.46,73.32,97,97,98.77,300,300,100.91,99.15,0.84,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.79,135.10,0.06,5.34,0.00,0.00
10,g++-4.4 4.4.7,nbody_2.c 50000000,8.998351,1130,1690882871.371085,-,-,504,12.57,4012,1896,3.22,16573,0,53,156,110,96,512,3,2373,1424,8705,0.00,0.07,0.07,0.03,0.48,0.00,6.86,10.94,68.83,13.86,0.03,0.67,72.86,94,98,99.00,300,300,100.80,98.79,0.77,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.31,133.51,0.05,5.40,0.00,0.00
