test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-10 10.5.0,binaryTrees_2.c 21,18.585175,1603,1690284072.324344,-,-,467,12.87,3632,1896,2.62,11419,0,112,579,280,129,435,10,2254,26,4418,0.00,0.12,0.05,0.03,0.22,0.00,4.45,0.09,82.10,13.50,0.04,0.35,73.24,61,61,98.68,450,300,102.87,99.49,1.33,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,268.50,220.68,0.28,14.87,0.00,0.00
2,g++-10 10.5.0,binaryTrees_2.c 21,18.998720,1607,1690284091.363921,-,-,459,12.87,3564,1896,2.61,33064,0,90,569,822,401,1101,2,5324,1970,17361,0.00,0.12,0.07,0.05,0.51,0.00,7.57,4.39,74.27,13.98,0.05,0.67,72.44,66,66,98.60,450,300,102.60,98.84,1.27,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279.79,230.54,0.28,15.14,0.00,0.00
3,g++-10 10.5.0,binaryTrees_2.c 21,18.779511,1596,1690284110.226798,-,-,461,12.73,3622,1896,2.62,25589,0,88,301,158,145,736,7,4579,1274,13238,0.00,0.09,0.02,0.02,0.35,0.00,6.93,4.57,75.18,13.50,0.02,0.54,73.22,68,68,98.53,450,300,101.65,99.13,1.22,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,289.94,240.48,0.27,14.94,0.00,0.00
4,g++-10 10.5.0,binaryTrees_2.c 21,19.069897,1623,1690284129.336812,-,-,454,12.72,3568,1896,2.63,34518,0,27,152,187,112,1147,0,5725,2500,18748,0.00,0.05,0.02,0.01,0.57,0.00,7.74,6.03,72.67,13.98,0.02,0.93,72.36,67,68,98.55,450,300,101.86,98.67,1.35,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.82,220.83,0.30,15.14,0.00,0.00
5,g++-10 10.5.0,binaryTrees_2.c 21,18.777984,1593,1690284148.155887,-,-,460,12.74,3606,1896,2.63,20089,0,27,87,170,163,840,6,3697,860,10042,0.00,0.05,0.03,0.03,0.38,0.00,5.87,3.11,77.70,13.49,0.04,0.58,73.14,67,67,98.38,450,300,102.12,99.26,1.37,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,283.91,234.68,0.30,14.96,0.00,0.00
6,g++-10 10.5.0,binaryTrees_2.c 21,19.086851,1639,1690284167.284087,-,-,457,12.73,3592,1896,2.60,22323,0,93,274,129,104,717,1,3587,1111,11760,0.00,0.10,0.02,0.01,0.31,0.00,5.26,4.58,76.88,13.51,0.01,0.48,73.27,70,70,98.49,450,300,101.63,99.17,1.26,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,283.47,233.46,0.28,15.15,0.00,0.00
7,g++-10 10.5.0,binaryTrees_2.c 21,18.951326,1608,1690284186.280209,-,-,456,12.73,3578,1896,2.63,21207,0,91,188,146,184,829,5,3677,859,10945,0.00,0.06,0.05,0.01,0.37,0.00,5.63,3.90,77.13,13.57,0.01,0.55,73.14,70,70,98.38,450,300,101.85,99.15,1.37,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279.10,229.38,0.30,15.07,0.00,0.00
8,g++-10 10.5.0,binaryTrees_2.c 21,19.078679,1608,1690284205.399699,-,-,453,12.73,3556,1896,2.63,17985,0,89,132,96,104,629,4,3189,634,8878,0.00,0.05,0.02,0.02,0.26,0.00,5.11,2.86,78.84,13.41,0.02,0.40,73.43,70,71,98.46,450,300,101.80,99.29,1.30,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.95,227.79,0.29,15.13,0.00,0.00
9,g++-10 10.5.0,binaryTrees_2.c 21,19.030578,1601,1690284224.471372,-,-,455,12.87,3533,1896,2.63,20834,0,12,125,400,589,866,1,4236,836,10615,0.00,0.04,0.08,0.05,0.35,0.00,6.60,3.51,76.39,13.62,0.04,0.50,72.95,69,69,98.43,450,300,102.56,99.18,1.29,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,278.97,229.02,0.29,15.15,0.00,0.00
10,g++-10 10.5.0,binaryTrees_2.c 21,19.593533,1630,1690284244.106612,-,-,442,12.77,3461,1896,2.62,40307,0,73,353,546,174,1123,0,6096,2700,22253,0.00,0.07,0.04,0.02,0.58,0.00,8.01,5.57,72.81,14.10,0.02,0.86,72.24,70,70,98.59,450,300,102.33,98.95,1.26,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,266.82,215.76,0.29,15.45,0.00,0.00
