test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.6 4.6.4,binaryTrees_2.c 21,18.455982,1716,1690256103.592402,-,-,460,12.91,3562,1896,2.58,11301,0,50,718,334,226,493,1,3084,23,4047,0.00,0.13,0.05,0.04,0.22,0.00,5.79,0.03,80.75,13.45,0.05,0.31,73.29,58,58,98.62,450,300,102.90,99.48,1.32,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254.99,214.53,0.26,9.24,0.00,0.00
2,g++-4.6 4.6.4,binaryTrees_2.c 21,18.636664,1705,1690256122.278225,-,-,455,12.82,3552,1896,2.58,19870,0,101,385,311,218,759,9,3843,874,9541,0.00,0.09,0.06,0.03,0.39,0.01,6.16,3.35,76.97,13.56,0.06,0.49,73.07,64,64,98.52,450,300,101.91,99.19,1.28,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,263.62,222.73,0.25,9.23,0.00,0.00
3,g++-4.6 4.6.4,binaryTrees_2.c 21,18.631565,1670,1690256140.955119,-,-,457,12.84,3556,1896,2.58,16827,0,5,383,240,151,702,3,3415,529,7514,0.00,0.08,0.06,0.02,0.31,0.00,5.82,1.75,79.05,13.52,0.02,0.44,73.18,68,68,98.55,450,300,102.59,99.35,1.28,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,269.93,228.39,0.26,9.22,0.00,0.00
4,g++-4.6 4.6.4,binaryTrees_2.c 21,18.515407,1595,1690256159.514968,-,-,454,12.82,3540,1896,2.61,19552,0,568,422,265,255,882,3,3730,615,9205,0.00,0.06,0.06,0.02,0.38,0.00,6.06,2.25,78.23,13.68,0.04,0.59,72.87,65,65,98.50,450,300,102.66,99.23,1.34,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,263.10,221.40,0.27,9.24,0.00,0.00
5,g++-4.6 4.6.4,binaryTrees_2.c 21,19.043984,1718,1690256178.607232,-,-,444,12.76,3475,1896,2.59,21761,0,1,149,320,344,936,7,4388,1082,10764,0.00,0.04,0.04,0.03,0.39,0.00,6.65,4.49,75.46,13.72,0.04,0.61,72.87,65,66,98.69,450,300,102.21,99.03,1.27,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.24,212.67,0.26,9.37,0.00,0.00
6,g++-4.6 4.6.4,binaryTrees_2.c 21,19.072826,1702,1690256197.720485,-,-,557,15.85,3516,1896,2.25,27615,0,1220,20313,11391,4508,6946,83,3980,328,6810,0.01,1.08,0.90,0.55,1.59,0.02,5.68,1.53,72.71,15.56,0.24,0.93,67.42,68,68,98.60,450,300,117.40,99.29,1.30,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,292.89,248.57,0.27,10.85,0.00,0.00
7,g++-4.6 4.6.4,binaryTrees_2.c 21,19.384922,1720,1690256217.151238,-,-,444,12.82,3467,1896,2.54,23714,0,31,435,429,339,1023,6,4693,1319,11536,0.00,0.10,0.07,0.04,0.45,0.01,7.06,5.07,74.26,13.87,0.05,0.63,72.63,67,67,98.67,450,300,102.51,99.06,1.31,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,259.59,216.02,0.28,9.52,0.00,0.00
8,g++-4.6 4.6.4,binaryTrees_2.c 21,19.045539,1682,1690256236.234571,-,-,445,12.82,3472,1896,2.58,24013,0,164,784,752,456,893,1,3966,1628,11372,0.00,0.13,0.08,0.05,0.38,0.00,6.34,6.06,74.01,13.96,0.06,0.53,72.63,66,67,98.69,450,300,102.33,99.04,1.28,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.32,212.50,0.26,9.41,0.00,0.00
9,g++-4.6 4.6.4,binaryTrees_2.c 21,18.594595,1719,1690256254.875161,-,-,452,12.79,3538,1896,2.60,18004,0,4,93,255,207,731,0,3602,548,8869,0.00,0.03,0.04,0.02,0.33,0.00,5.90,1.67,79.14,13.44,0.02,0.53,73.21,67,67,98.52,450,300,101.97,99.29,1.35,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,263.25,221.57,0.27,9.28,0.00,0.00
10,g++-4.6 4.6.4,binaryTrees_2.c 21,18.651452,1715,1690256273.564980,-,-,457,12.91,3538,1896,2.58,18879,0,107,477,523,364,1004,5,4125,522,8687,0.00,0.09,0.06,0.04,0.44,0.00,6.58,1.75,78.03,13.66,0.05,0.54,72.85,66,66,98.52,450,300,103.08,99.27,1.34,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264.17,222.30,0.27,9.32,0.00,0.00
