test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.7,binaryTrees_2.c 21,19.949422,1599,1688299791.194859,-,-,429,13.04,3289,1896,2.57,14838,0,193,622,457,332,1260,13,4885,53,5608,0.00,0.10,0.05,0.05,0.49,0.01,7.72,0.08,78.39,13.75,0.06,0.74,72.40,65,65,97.84,300,300,104.22,99.51,1.96,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.83,187.22,0.40,10.11,0.00,0.00
2,g++-4.7 4.7.4,binaryTrees_2.c 21,19.784878,1649,1688299811.027028,-,-,430,12.98,3310,1896,2.58,14158,0,15,433,420,290,980,5,4719,27,5358,0.00,0.12,0.08,0.03,0.40,0.00,7.93,0.05,78.33,13.79,0.05,0.60,72.58,64,64,98.17,400,300,103.81,99.51,1.64,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.91,186.06,0.34,9.86,0.00,0.00
3,g++-4.7 4.7.4,binaryTrees_2.c 21,19.802577,1654,1688299830.868726,-,-,425,12.88,3304,1896,2.60,12965,0,69,247,330,344,942,1,3792,44,4814,0.00,0.06,0.04,0.05,0.35,0.00,6.43,0.06,80.08,13.45,0.06,0.55,73.06,64,64,98.54,400,300,102.98,99.56,1.28,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.40,187.66,0.26,9.74,0.00,0.00
4,g++-4.7 4.7.4,binaryTrees_2.c 21,19.880668,1631,1688299850.790278,-,-,427,12.96,3296,1896,2.59,18052,0,33,607,463,264,1066,4,4601,502,7620,0.00,0.21,0.03,0.03,0.43,0.00,7.44,1.82,76.98,13.95,0.04,0.66,72.39,65,66,98.62,400,300,103.65,99.38,1.24,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.26,187.66,0.25,9.79,0.00,0.00
5,g++-4.7 4.7.4,binaryTrees_2.c 21,19.857085,1633,1688299870.691136,-,-,425,12.89,3294,1896,2.60,13191,0,51,241,341,251,807,8,3785,38,5164,0.00,0.06,0.05,0.03,0.30,0.01,6.29,0.08,80.23,13.56,0.04,0.50,73.01,64,64,98.47,400,300,103.24,99.56,1.35,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.56,187.55,0.26,9.82,0.00,0.00
6,g++-4.7 4.7.4,binaryTrees_2.c 21,19.751079,1621,1688299890.482531,-,-,425,12.86,3307,1896,2.61,12674,0,10,137,281,249,779,2,3796,30,4936,0.00,0.04,0.04,0.03,0.32,0.00,6.40,0.03,80.22,13.49,0.04,0.53,73.09,64,64,98.55,400,300,102.93,99.54,1.27,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.11,186.51,0.26,9.72,0.00,0.00
7,g++-4.7 4.7.4,binaryTrees_2.c 21,19.739518,1663,1688299910.260068,-,-,426,12.88,3308,1896,2.60,12724,0,120,298,404,345,795,0,3439,34,5309,0.00,0.05,0.05,0.04,0.32,0.00,5.98,0.10,80.52,13.36,0.05,0.48,73.24,67,68,98.59,400,300,102.63,99.55,1.26,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.52,186.78,0.26,9.72,0.00,0.00
8,g++-4.7 4.7.4,binaryTrees_2.c 21,19.828519,1561,1688299930.135711,-,-,429,12.96,3308,1896,2.58,13723,0,142,660,542,312,938,13,4014,22,5159,0.00,0.17,0.11,0.06,0.36,0.01,6.93,0.05,79.31,13.85,0.09,0.55,72.55,64,64,98.49,400,300,103.50,99.55,1.33,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.64,187.60,0.26,9.90,0.00,0.00
9,g++-4.7 4.7.4,binaryTrees_2.c 21,19.638560,1626,1688299949.814219,-,-,427,12.87,3317,1896,2.61,12673,0,7,233,351,291,796,0,3522,20,5017,0.00,0.06,0.04,0.03,0.32,0.00,6.25,0.08,80.29,13.53,0.05,0.51,73.03,65,65,98.51,400,300,103.07,99.53,1.30,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227.61,184.15,0.26,9.63,0.00,0.00
10,g++-4.7 4.7.4,binaryTrees_2.c 21,19.858897,1568,1688299969.712548,-,-,430,13.04,3301,1896,2.58,14257,0,190,692,571,334,1088,11,3944,32,5148,0.00,0.17,0.08,0.04,0.41,0.00,6.60,0.05,79.55,13.84,0.05,0.62,72.46,65,65,98.48,400,300,104.32,99.54,1.34,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.76,187.68,0.27,9.86,0.00,0.00
