version,release_date,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 33
g++-4.4,2012-03-13,binaryTrees_2.c 21,0,1690816479,200624,binaryTrees_2_g,0:00.15,226640.0,223192.0,2936.0,93.8,1.4,351,2,277,71,1,13.3,2.3,0.0,84.4,0.0,0.0,0.0,0.0,15795.0 MiB,5181.8 MiB,3670.7 MiB,6942.5 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11442.3 MiB,
g++-4.4,2012-03-13,binaryTrees_2.c 21,1,1690816480,200624,binaryTrees_2_g,0:01.32,268484.0,265168.0,2936.0,100.0,1.6,351,2,277,71,1,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5134.0 MiB,3718.2 MiB,6942.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11394.6 MiB,
g++-4.4,2012-03-13,binaryTrees_2.c 21,2,1690816482,200624,binaryTrees_2_g,0:02.49,268484.0,265168.0,2936.0,100.0,1.6,351,2,277,71,1,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5132.5 MiB,3719.7 MiB,6942.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11393.2 MiB,
g++-4.4,2012-03-13,binaryTrees_2.c 21,3,1690816483,200624,binaryTrees_2_g,0:03.65,268484.0,265168.0,2936.0,93.8,1.6,351,2,277,71,1,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5132.3 MiB,3719.9 MiB,6942.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11392.9 MiB,
g++-4.4,2012-03-13,binaryTrees_2.c 21,4,1690816484,200624,binaryTrees_2_g,0:04.82,268484.0,265168.0,2936.0,100.0,1.6,351,2,277,71,1,12.7,0.8,0.0,85.7,0.8,0.0,0.0,0.0,15795.0 MiB,5131.8 MiB,3720.5 MiB,6942.7 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11392.4 MiB,
g++-4.4,2012-03-13,binaryTrees_2.c 21,5,1690816485,200624,binaryTrees_2_g,0:05.98,268484.0,265168.0,2936.0,93.8,1.6,351,2,277,71,1,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,5131.6 MiB,3720.7 MiB,6942.7 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11392.1 MiB,
g++-4.4,2012-03-13,binaryTrees_2.c 21,6,1690816486,200624,binaryTrees_2_g,0:07.15,268484.0,265168.0,2936.0,100.0,1.6,351,2,277,71,1,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,5131.8 MiB,3720.5 MiB,6942.7 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11392.4 MiB,
g++-4.4,2012-03-13,binaryTrees_2.c 21,7,1690816487,200624,binaryTrees_2_g,0:08.32,268484.0,265168.0,2936.0,100.0,1.6,351,2,277,71,1,12.7,0.0,0.0,87.3,0.0,0.0,0.0,0.0,15795.0 MiB,5131.3 MiB,3721.0 MiB,6942.7 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11391.9 MiB,
g++-4.4,2012-03-13,binaryTrees_2.c 21,8,1690816489,200624,binaryTrees_2_g,0:09.48,268484.0,265168.0,2936.0,93.8,1.6,351,2,277,71,1,13.1,1.5,0.0,85.4,0.0,0.0,0.0,0.0,15795.0 MiB,5130.1 MiB,3722.2 MiB,6942.7 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11390.6 MiB,
g++-4.4,2012-03-13,binaryTrees_2.c 21,9,1690816490,200624,binaryTrees_2_g,0:10.65,268484.0,265168.0,2936.0,100.0,1.6,351,2,277,71,1,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,5130.1 MiB,3722.2 MiB,6942.7 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11390.7 MiB,
