test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-7 7.5.0,binaryTrees_2.c 21,18.922215,1612,1692783668.401748,-,-,469,12.78,3670,1896,2.53,10958,0,38,288,260,99,348,1,2600,31,3997,0.00,0.08,0.15,0.01,0.14,0.00,4.87,0.10,81.79,13.57,0.02,0.21,73.43,62,62,98.54,300,300,102.31,99.48,1.45,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279.77,231.33,0.26,13.97,0.00,0.00
2,g++-7 7.5.0,binaryTrees_2.c 21,18.977600,1689,1692783687.428620,-,-,466,12.68,3675,1896,2.53,10159,0,10,78,97,84,346,0,1988,19,3586,0.00,0.04,0.01,0.01,0.14,0.00,3.84,0.07,83.14,12.97,0.01,0.23,74.11,67,67,98.38,300,300,101.02,99.55,1.42,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.13,231.09,0.26,13.92,0.00,0.00
3,g++-7 7.5.0,binaryTrees_2.c 21,19.019648,1651,1692783706.488570,-,-,466,12.73,3661,1896,2.53,19786,0,22,220,219,156,697,3,3476,761,9805,0.00,0.06,0.04,0.02,0.34,0.00,5.54,2.16,79.02,13.44,0.02,0.53,73.28,66,66,98.41,300,300,101.84,99.29,1.38,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.17,241.81,0.26,13.94,0.00,0.00
4,g++-7 7.5.0,binaryTrees_2.c 21,19.012149,1606,1692783725.540965,-,-,464,12.72,3648,1896,2.54,21665,0,28,100,160,117,579,0,3546,992,11318,0.00,0.08,0.04,0.01,0.27,0.00,5.74,2.48,78.57,13.61,0.02,0.44,73.21,66,66,98.28,300,300,102.00,99.27,1.50,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286.18,236.70,0.28,14.02,0.00,0.00
5,g++-7 7.5.0,binaryTrees_2.c 21,19.031726,1519,1692783744.613068,-,-,465,12.72,3653,1896,2.54,28394,0,33,113,182,174,1169,0,4272,1538,15276,0.00,0.03,0.03,0.02,0.57,0.00,5.99,3.86,76.67,13.69,0.02,0.88,72.69,68,68,98.27,300,300,101.99,99.08,1.49,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288.02,238.45,0.28,13.99,0.00,0.00
6,g++-7 7.5.0,binaryTrees_2.c 21,19.524324,1580,1692783764.171642,-,-,456,12.71,3590,1896,2.52,33227,0,35,395,483,409,1344,0,5169,2311,17412,0.00,0.05,0.05,0.05,0.57,0.00,7.25,6.06,73.10,13.92,0.04,0.81,72.52,69,69,98.43,300,300,101.78,98.73,1.42,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.75,230.95,0.28,14.28,0.00,0.00
7,g++-7 7.5.0,binaryTrees_2.c 21,19.767512,1643,1692783783.973805,-,-,453,12.73,3559,1896,2.51,38150,0,31,391,513,327,1583,0,5618,2580,20807,0.00,0.03,0.06,0.06,0.64,0.00,7.40,5.52,73.39,13.92,0.08,0.84,72.44,68,69,98.39,300,300,101.68,98.72,1.45,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284.35,233.07,0.28,14.41,0.00,0.00
8,g++-7 7.5.0,binaryTrees_2.c 21,19.200118,1631,1692783803.214727,-,-,461,12.72,3625,1896,2.53,23423,0,24,167,270,183,837,0,3738,1121,12094,0.00,0.07,0.06,0.02,0.36,0.00,5.65,4.30,76.70,13.68,0.04,0.59,72.97,68,68,98.24,300,300,102.01,99.15,1.49,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.38,237.24,0.29,14.11,0.00,0.00
9,g++-7 7.5.0,binaryTrees_2.c 21,19.777524,1633,1692783823.030582,-,-,452,12.69,3562,1896,2.51,36082,0,8,311,603,962,803,0,5007,2552,19813,0.00,0.15,0.05,0.05,0.43,0.00,6.70,5.85,73.92,14.14,0.02,0.62,72.53,69,70,98.47,300,300,101.69,98.74,1.37,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.87,230.48,0.27,14.35,0.00,0.00
10,g++-7 7.5.0,binaryTrees_2.c 21,19.652129,1617,1692783842.730246,-,-,452,12.68,3565,1896,2.52,35991,0,37,363,318,136,670,0,5131,2502,19484,0.00,0.11,0.03,0.01,0.40,0.00,6.65,6.09,73.87,13.97,0.01,0.53,72.81,69,69,98.37,300,300,101.56,98.71,1.46,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,278.25,227.15,0.28,14.35,0.00,0.00
