test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-13 13.1.0,binaryTrees_2.c 21,19.228001,1729,1692785570.435758,-,-,468,12.76,3672,1896,2.53,10911,0,17,336,233,125,286,0,2372,32,4031,0.00,0.12,0.07,0.02,0.11,0.00,4.41,0.11,82.33,13.49,0.04,0.18,73.53,62,62,98.61,300,300,102.22,99.50,1.38,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.68,232.76,0.26,14.18,0.00,0.00
2,g++-13 13.1.0,binaryTrees_2.c 21,19.285689,1570,1692785589.764768,-,-,469,12.74,3682,1896,2.52,13877,0,43,187,159,142,389,5,2593,404,6140,0.00,0.07,0.02,0.02,0.17,0.00,4.23,1.03,81.65,13.07,0.01,0.23,73.95,67,67,98.30,300,300,101.46,99.49,1.46,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,295.24,245.45,0.28,14.21,0.00,0.00
3,g++-13 13.1.0,binaryTrees_2.c 21,19.812221,1600,1692785609.620955,-,-,460,12.67,3631,1896,2.50,34973,0,39,225,250,142,977,0,5288,2602,18543,0.00,0.06,0.02,0.01,0.50,0.00,6.83,6.25,73.51,13.83,0.01,0.73,72.76,67,67,98.53,300,300,101.56,98.75,1.35,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,298.20,246.72,0.26,14.48,0.00,0.00
4,g++-13 13.1.0,binaryTrees_2.c 21,19.745607,1649,1692785629.406478,-,-,460,12.69,3625,1896,2.51,35472,0,26,174,186,192,1157,0,5137,2710,19310,0.00,0.06,0.02,0.02,0.58,0.00,6.50,6.63,73.35,13.85,0.02,0.83,72.61,68,68,98.37,300,300,101.55,98.72,1.46,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,292.67,241.35,0.29,14.51,0.00,0.00
5,g++-13 13.1.0,binaryTrees_2.c 21,19.578513,1717,1692785649.025037,-,-,463,12.69,3651,1896,2.51,21130,0,29,121,177,96,779,7,3173,866,10501,0.00,0.03,0.03,0.01,0.38,0.01,4.77,3.17,78.80,13.38,0.01,0.60,73.32,69,69,98.24,300,300,101.47,99.21,1.49,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,296.15,245.05,0.29,14.48,0.00,0.00
6,g++-13 13.1.0,binaryTrees_2.c 21,20.287041,1659,1692785669.351107,-,-,464,12.71,3653,1896,2.42,21974,0,26,94,161,122,805,5,3398,973,11412,0.00,0.04,0.03,0.01,0.35,0.00,4.62,3.18,78.94,13.47,0.01,0.51,73.29,68,68,98.31,300,300,101.83,99.24,1.41,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,309.72,256.90,0.28,14.76,0.00,0.00
7,g++-13 13.1.0,binaryTrees_2.c 21,19.587371,1647,1692785688.977246,-,-,463,12.72,3641,1896,2.51,22227,0,26,129,170,149,781,0,3528,1129,11447,0.00,0.08,0.03,0.02,0.31,0.00,5.41,4.67,76.66,13.52,0.03,0.49,73.24,68,68,98.24,300,300,101.81,99.15,1.48,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,296.12,245.20,0.29,14.47,0.00,0.00
8,g++-13 13.1.0,binaryTrees_2.c 21,20.397967,1678,1692785709.415409,-,-,455,12.73,3576,1896,2.46,37536,0,39,629,278,492,1159,1,5490,2856,20487,0.00,0.07,0.05,0.05,0.46,0.00,7.15,6.46,72.88,13.96,0.06,0.66,72.58,70,70,98.48,300,300,101.87,98.84,1.36,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,293.94,240.95,0.28,14.87,0.00,0.00
9,g++-13 13.1.0,binaryTrees_2.c 21,19.797566,1581,1692785729.250352,-,-,458,12.69,3610,1896,2.52,21685,0,40,166,463,321,662,1,3809,931,10574,0.00,0.06,0.08,0.03,0.28,0.00,6.16,3.20,77.39,13.56,0.03,0.36,73.36,71,72,98.35,300,300,101.63,99.19,1.40,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.21,239.59,0.28,14.61,0.00,0.00
10,g++-13 13.1.0,binaryTrees_2.c 21,20.948406,1589,1692785750.233295,-,-,432,12.72,3398,1896,2.52,15165,0,48,358,453,328,557,1,3269,214,6121,0.00,0.04,0.06,0.04,0.21,0.00,5.28,0.89,80.70,13.28,0.03,0.25,73.71,71,71,98.31,300,300,101.77,99.49,1.37,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264.71,210.28,0.28,15.17,0.00,0.00
