test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-13 13.1.0,binaryTrees_2.c 21,18.781171,1651,1690285845.712218,-,-,470,12.88,3648,1896,2.58,11860,0,879,653,232,154,393,3,2107,27,4163,0.00,0.13,0.04,0.02,0.15,0.00,4.03,0.07,82.60,13.05,0.03,0.19,73.85,65,65,98.67,450,300,101.76,99.53,1.26,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.00,231.54,0.27,15.05,0.00,0.00
2,g++-13 13.1.0,binaryTrees_2.c 21,18.918250,1659,1690285864.680107,-,-,464,12.69,3653,1896,2.60,16620,0,13,71,120,228,442,0,2735,613,7907,0.00,0.04,0.02,0.02,0.19,0.00,4.74,1.94,80.28,13.32,0.01,0.32,73.65,67,67,98.43,450,300,101.74,99.41,1.34,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.96,238.53,0.30,15.13,0.00,0.00
3,g++-13 13.1.0,binaryTrees_2.c 21,18.863162,1695,1690285883.584449,-,-,471,12.98,3626,1896,2.59,19949,0,118,531,331,173,793,1,3600,604,10168,0.00,0.08,0.06,0.03,0.37,0.00,5.70,1.39,79.31,13.60,0.03,0.55,72.84,66,66,98.57,450,300,103.36,99.30,1.22,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.21,240.58,0.28,15.20,0.00,0.00
4,g++-13 13.1.0,binaryTrees_2.c 21,18.933905,1587,1690285902.566557,-,-,463,12.80,3615,1896,2.60,20469,0,15,172,148,176,722,1,3966,996,10138,0.00,0.13,0.01,0.02,0.33,0.00,6.21,3.91,76.49,13.64,0.02,0.51,73.02,67,67,98.46,450,300,102.38,99.24,1.31,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,289.07,239.35,0.29,15.12,0.00,0.00
5,g++-13 13.1.0,binaryTrees_2.c 21,18.925741,1584,1690285921.528230,-,-,466,12.93,3602,1896,2.59,36466,0,60,429,439,383,1817,6,5691,1751,20522,0.00,0.14,0.05,0.07,0.85,0.00,7.35,3.29,75.18,14.12,0.11,1.25,71.59,68,68,98.41,450,300,102.94,98.94,1.34,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284.57,234.98,0.29,15.17,0.00,0.00
6,g++-13 13.1.0,binaryTrees_2.c 21,18.928865,1548,1690285940.497428,-,-,462,12.80,3606,1896,2.61,24088,0,31,279,346,145,1058,3,3928,937,12674,0.00,0.15,0.08,0.02,0.47,0.00,5.88,2.97,77.51,13.93,0.02,0.70,72.53,69,69,98.47,450,300,102.47,99.17,1.28,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285.51,235.95,0.29,15.13,0.00,0.00
7,g++-13 13.1.0,binaryTrees_2.c 21,19.232671,1654,1690285959.770586,-,-,454,12.72,3571,1896,2.61,19833,0,18,119,129,227,763,0,3711,730,9770,0.00,0.03,0.02,0.02,0.30,0.00,5.87,2.88,78.06,13.38,0.03,0.46,73.42,70,72,98.49,450,300,101.72,99.21,1.30,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.62,231.23,0.29,15.34,0.00,0.00
8,g++-13 13.1.0,binaryTrees_2.c 21,19.131896,1568,1690285978.948370,-,-,457,12.74,3592,1896,2.60,22975,0,24,141,307,307,890,0,4668,1138,11540,0.00,0.04,0.05,0.02,0.36,0.00,7.08,4.83,74.75,13.64,0.03,0.52,73.08,70,70,98.39,450,300,101.98,99.10,1.35,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284.01,233.91,0.30,15.33,0.00,0.00
9,g++-13 13.1.0,binaryTrees_2.c 21,19.630648,1659,1690285998.624545,-,-,449,12.80,3505,1896,2.59,38431,0,68,294,191,335,1518,2,6409,2714,20332,0.00,0.09,0.04,0.05,0.64,0.00,8.27,5.96,72.02,14.10,0.06,0.92,72.12,70,70,98.57,450,300,102.31,98.89,1.29,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.03,219.79,0.30,15.59,0.00,0.00
10,g++-13 13.1.0,binaryTrees_2.c 21,20.765308,1650,1690286019.432009,-,-,421,12.78,3295,1896,2.61,22584,0,8,188,237,763,641,2,4159,1042,11307,0.00,0.05,0.03,0.03,0.30,0.00,5.73,2.09,78.92,13.52,0.03,0.42,73.25,69,69,98.50,450,300,102.29,99.40,1.23,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,248.17,193.79,0.29,16.33,0.00,0.00
