version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
g++-4.4 4.4.7,binaryTrees_2.c 21,0.99,0.39,0.60,0.20,0.02,0.18,6.63,2.60,0.01,2.69,2.09,14412751926.30,56581267790.90,3.93,146834976277.10,2.59,14410.60,1.00,56574447388.00,3.93,6.60,27145757663.80,343661364.90,14410.62,1.00,9.40,33204012795.00,38914307.80,0.12,0.00,22729990427.20,65664.00,65664.00,0.00,799753636.80,297586563.60,37.26,41340311968.70,609601728.90,1.47,106482632.80,44554556.00,41.87,3284613.50,41259680523.20,3404149.30,0.01,2943933.80,495000.80,21.42,0.00,0.00
g++-4.6 4.6.4,binaryTrees_2.c 21,0.99,0.39,0.60,0.20,0.02,0.18,6.67,2.60,0.01,2.74,2.09,14085997252.00,55340399516.10,3.94,143827214639.80,2.60,14084.33,1.00,55335567538.60,3.94,5.70,26519124802.10,335725351.40,14084.35,1.00,11.50,32661771159.80,48961588.60,0.15,0.00,21989778620.60,65664.60,65664.60,0.00,809175841.10,298769234.00,36.97,40396807074.60,611692398.30,1.51,111030267.70,45723200.00,41.21,3144490.90,40275328063.20,4151444.60,0.01,707123.20,252638.50,75.26,0.00,0.00
g++-4.7 4.7.4,binaryTrees_2.c 21,0.99,0.39,0.61,0.20,0.02,0.17,6.65,2.60,0.01,2.77,2.11,14066499984.20,55645617826.60,3.96,145103147203.60,2.61,14064.21,1.00,55636117543.20,3.96,3.70,26428348372.80,334557607.70,14064.24,1.00,10.00,32999152663.30,48332852.20,0.15,0.00,22405710460.20,65664.90,65664.90,0.00,788524906.40,294525432.20,37.39,40780911061.90,610675756.50,1.50,104893791.30,44678074.00,42.61,3319612.20,40697509325.90,3932089.30,0.01,928774.00,388089.50,47.80,0.00,0.00
g++-4.8 4.8.5,binaryTrees_2.c 21,0.99,0.40,0.59,0.21,0.02,0.17,6.57,2.55,0.01,2.72,2.10,14291563451.70,56339273994.10,3.95,143390084437.40,2.54,14288.79,1.00,56334648418.50,3.95,7.10,26830616588.50,339672401.70,14288.82,1.00,8.00,32850835894.90,69585741.90,0.21,0.00,21713803551.40,65663.80,65663.80,0.00,787817976.40,291891294.80,37.06,40278912741.60,610866535.50,1.52,108412784.90,45442217.90,41.93,3522780.50,40239051990.00,3288806.10,0.01,440063.90,483829.30,131.32,0.00,0.00
g++-4.9 4.9.3,binaryTrees_2.c 21,0.99,0.39,0.60,0.21,0.02,0.17,6.64,2.57,0.01,2.74,2.10,14041320384.00,55429158575.60,3.95,143723603643.70,2.59,14039.37,1.00,55418934317.10,3.95,7.20,26432263827.70,334628914.50,14039.39,1.00,10.10,32815299255.90,62228761.00,0.19,0.00,21909229637.90,65664.20,65664.20,0.00,800174947.10,293761892.40,36.74,40313368390.00,610500081.60,1.51,106969508.60,43168284.70,40.38,3406733.10,40270432875.10,3478218.20,0.01,307312.20,584393.70,338.13,0.00,0.00
g++-5 5.5.0,binaryTrees_2.c 21,0.99,0.39,0.60,0.21,0.02,0.17,6.65,2.60,0.00,2.75,2.10,14014861614.20,55285550367.50,3.95,143619719998.20,2.60,14013.13,1.00,55284046056.80,3.95,7.10,26402043492.10,334215826.90,14013.14,1.00,10.20,32717867265.90,53672443.70,0.16,0.00,22070618724.10,65663.90,65663.90,0.00,796805737.30,297273285.50,37.32,40250124624.00,616099772.20,1.53,109043435.90,45820351.10,41.99,3186148.90,40308370721.00,3405440.20,0.01,114241.50,12979837.70,15168.85,0.00,0.00
g++-6 6.5.0,binaryTrees_2.c 21,0.99,0.39,0.60,0.21,0.02,0.17,6.56,2.56,0.01,2.67,2.09,14535272445.90,57128405617.70,3.94,146836703586.10,2.57,14532.53,1.00,57122188639.70,3.94,4.70,27338554518.00,346070774.70,14532.57,1.00,8.90,33972825905.20,68998900.70,0.20,0.00,22010148884.50,65664.10,65664.10,0.00,787091614.70,287171988.50,36.49,40996164923.20,607694328.80,1.48,107083996.50,43615768.50,40.74,3634895.60,40983414525.60,3568113.00,0.01,3174735.00,15787524.70,11809.69,0.00,0.00
g++-7 7.5.0,binaryTrees_2.c 21,0.99,0.39,0.61,0.21,0.01,0.17,6.54,2.60,0.01,2.70,2.09,14322337857.70,56218929702.00,3.93,146914293478.60,2.61,14319.52,1.00,56219716329.30,3.93,8.20,26858776040.30,340008033.40,14319.55,1.00,8.80,34287480692.70,34564136.30,0.10,0.00,21847219171.60,65663.70,65663.70,0.00,794590242.60,291985282.80,36.74,40557998086.90,609518458.30,1.50,108522705.30,44713899.40,41.20,4121456.40,40635023977.70,3309572.50,0.01,203792.20,6721727.10,4030.61,0.00,0.00
g++-8 ,binaryTrees_2.c 21,0.99,0.39,0.62,0.26,0.01,0.11,6.59,2.61,0.00,2.53,2.05,15389143419.00,58958944437.30,3.85,153683406468.70,2.61,15386.65,1.00,58962505219.90,3.85,11.50,28962792281.40,366654570.40,15386.67,1.00,10.00,35888640231.30,33387874.10,0.09,0.00,22688636613.70,65664.10,65664.10,0.00,798938171.80,297777967.70,37.27,42586400771.30,607536103.40,1.43,111112705.50,45917049.40,41.27,3891271.50,42534673943.80,3273114.30,0.01,539993.10,605707.70,190.40,0.00,0.00
g++-9 9.5.0,binaryTrees_2.c 21,0.99,0.39,0.62,0.26,0.01,0.11,6.49,2.60,0.00,2.56,2.08,15202211665.40,59391074502.40,3.92,154561818475.70,2.60,15200.09,1.00,59392262536.40,3.92,5.60,28610751599.50,362167122.30,15200.10,1.00,11.00,35872237718.60,35568833.20,0.10,0.00,22070198209.30,65663.50,65663.50,0.00,797959008.80,290486533.20,36.43,41987399124.00,608358949.10,1.45,112197969.60,46548864.50,41.50,3293845.50,41758700167.50,3248351.90,0.01,163322.00,417172.00,1446.63,0.00,0.00
