test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,g++-11 11.4.0,binaryTrees_2.c 21,1.00,0.38,0.61,0.19,0.02,0.17,6.59,2.61,0.00,2.70,2.16,14012033644 ns,57077304526,4.074 GHz,150192457384,2.63,14010.53 msec,1.000,57077819335,4.074 GHz,4,26460788585,334990970,14010.55 msec,1.000,19 C,34294009112,45215806,0.13%,0,21882744019,65662,65662,0,803222180,298094468,37.112,41517766428,611908846,1.47%,113048941,46981244,41.56%,3240681,41531271873,3502727,0.01%,45297,2285777,5046.20%,0,0
2,g++-11 11.4.0,binaryTrees_2.c 21,0.99,0.38,0.61,0.20,0.02,0.17,6.61,2.65,0.00,2.71,2.13,14359626226 ns,57182519844,3.983 GHz,150550586601,2.63,14356.49 msec,1.000,57160257612,3.981 GHz,12,26861347352,340065002,14356.54 msec,1.000,9 C,34155878557,46758513,0.14%,0,21716776679,65664,65664,0,793571396,295257496,37.206,41332902456,608344094,1.47%,112546114,46027766,40.90%,4365187,41403755533,3533646,0.01%,315548,306337,97.08%,0,0
3,g++-11 11.4.0,binaryTrees_2.c 21,1.00,0.38,0.61,0.20,0.02,0.17,6.60,2.63,0.01,2.74,2.16,14044113925 ns,57164665095,4.071 GHz,149535908187,2.62,14042.57 msec,1.000,57173338257,4.071 GHz,4,26523982272,335715013,14042.58 msec,1.000,10 C,33993477204,49959208,0.15%,0,21688382484,65664,65664,0,789166980,291298114,36.912,41775471197,616441983,1.48%,112695151,46402309,41.18%,3613099,41541650431,3537879,0.01%,78194,747350,955.76%,0,0
4,g++-11 11.4.0,binaryTrees_2.c 21,0.99,0.38,0.62,0.20,0.02,0.18,6.61,2.61,0.00,2.74,2.15,14205516277 ns,57185289703,4.026 GHz,149603755663,2.62,14203.81 msec,1.000,57208670807,4.028 GHz,8,26642315565,337418101,14203.80 msec,1.000,9 C,34275074101,48081287,0.14%,0,21729092941,65664,65664,0,793030507,299063494,37.711,41368579071,616758920,1.49%,112816370,46280256,41.02%,3624244,41562502350,3252670,0.01%,308490,2061089,668.12%,0,0
5,g++-11 11.4.0,binaryTrees_2.c 21,0.99,0.38,0.61,0.20,0.02,0.17,6.59,2.62,0.00,2.64,2.12,14435355477 ns,57281122375,3.969 GHz,150262630382,2.62,14433.56 msec,1.000,57318038906,3.971 GHz,10,27054388541,342498680,14433.58 msec,1.000,9 C,33966203002,48665160,0.14%,0,21705352145,65665,65665,0,805253096,290545758,36.081,41543559858,610370549,1.47%,112573584,45759052,40.65%,3867455,41714729567,3425028,0.01%,314666,194376,61.77%,0,0
6,g++-11 11.4.0,binaryTrees_2.c 21,0.99,0.38,0.62,0.20,0.02,0.16,6.60,2.62,0.01,2.67,2.13,14223417049 ns,57114326995,4.016 GHz,149562248570,2.62,14221.72 msec,1.000,57150641782,4.019 GHz,5,26786782136,339033289,14221.75 msec,1.000,7 C,33870082873,49555414,0.15%,0,21637399896,65661,65661,0,779900418,293106632,37.583,41929683361,614730184,1.47%,111961403,49333158,44.06%,3691427,41239612607,3512133,0.01%,165672,196158,118.40%,0,0
7,g++-11 11.4.0,binaryTrees_2.c 21,0.99,0.38,0.61,0.20,0.02,0.17,6.61,2.63,0.01,2.72,2.11,14417985843 ns,57091160676,3.960 GHz,148760207580,2.61,14416.19 msec,1.000,57082542630,3.960 GHz,3,26985822497,341652856,14416.23 msec,1.000,8 C,34070263765,45045843,0.13%,0,21808043324,65663,65663,0,798870378,292259198,36.584,41721272643,610488942,1.46%,109435515,44660848,40.81%,3806264,41628051097,3581669,0.01%,352199,251190,71.32%,0,0
8,g++-11 11.4.0,binaryTrees_2.c 21,0.99,0.38,0.61,0.20,0.02,0.18,6.59,2.61,0.01,2.57,2.03,15004359659 ns,57239476014,3.816 GHz,150647410855,2.63,15001.01 msec,1.000,57213555805,3.814 GHz,18,28168820870,356617050,15001.05 msec,1.000,3 C,34161723990,46684888,0.14%,0,21786154210,65664,65664,0,788758368,289183629,36.663,41645581187,612510697,1.47%,113311011,47902966,42.28%,4845935,41750529744,3460535,0.01%,273183,166201,60.84%,0,0
9,g++-11 11.4.0,binaryTrees_2.c 21,0.99,0.38,0.62,0.20,0.02,0.17,6.56,2.62,0.00,2.67,2.11,14476384573 ns,57211311664,3.953 GHz,149460641397,2.61,14474.38 msec,1.000,57234483669,3.954 GHz,9,27101869865,343007327,14474.40 msec,1.000,14 C,34030594523,48853676,0.14%,0,21775870997,65662,65662,0,800350027,295680033,36.944,41483732665,616565412,1.49%,115393478,49754083,43.12%,4038395,41383629876,3494869,0.01%,291395,668721,229.49%,0,0
10,g++-11 11.4.0,binaryTrees_2.c 21,1.00,0.38,0.62,0.20,0.02,0.16,6.60,2.65,0.01,2.38,1.80,16530885018 ns,56184501823,3.399 GHz,149494691803,2.66,16528.90 msec,1.000,56192729466,3.400 GHz,1,31291727194,396127228,16528.92 msec,1.000,19 C,33985165385,46856097,0.14%,0,21830327821,65661,65661,0,780642587,283470882,36.313,41613191846,603469969,1.45%,102049024,37710924,36.95%,4553441,41650606677,3491901,0.01%,10984,568581,5176.45%,0,0
