test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.6 4.6.4,binaryTrees_2.c 21,14.852270,1627,1692792323.169726,-,-,460,12.81,3591,1896,2.64,8531,0,35,295,150,94,236,8,2136,32,2876,0.00,0.12,0.05,0.02,0.14,0.01,4.98,0.08,81.72,13.50,0.03,0.23,73.42,58,58,98.36,300,300,102.60,99.51,1.68,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205.59,167.28,0.24,11.61,0.00,0.00
2,g++-4.6 4.6.4,binaryTrees_2.c 21,15.068034,1625,1692792338.282054,-,-,455,12.70,3582,1896,2.63,8444,0,16,87,98,72,179,0,1857,24,2780,0.00,0.10,0.02,0.01,0.10,0.00,4.59,0.11,82.30,13.20,0.02,0.16,73.92,65,65,98.27,300,300,101.70,99.53,1.65,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.66,175.83,0.24,11.71,0.00,0.00
3,g++-4.6 4.6.4,binaryTrees_2.c 21,15.041964,1592,1692792353.372149,-,-,455,12.69,3586,1896,2.63,7879,0,3,109,85,44,204,0,1507,23,2694,0.00,0.05,0.01,0.01,0.14,0.00,3.47,0.11,83.44,13.10,0.01,0.23,73.97,67,67,98.28,300,300,101.63,99.55,1.55,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215.44,176.50,0.23,11.64,0.00,0.00
4,g++-4.6 4.6.4,binaryTrees_2.c 21,15.090042,1629,1692792368.501351,-,-,455,12.75,3572,1896,2.63,23903,0,36,95,116,112,712,1,3078,1478,13213,0.00,0.05,0.02,0.01,0.39,0.00,5.79,4.76,76.12,13.67,0.01,0.53,73.04,65,65,98.17,300,300,101.98,99.11,1.58,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217.65,178.23,0.24,11.72,0.00,0.00
5,g++-4.6 4.6.4,binaryTrees_2.c 21,14.944122,1736,1692792383.483544,-,-,457,12.75,3586,1896,2.64,7932,0,6,74,93,77,263,2,1918,33,2894,0.00,0.06,0.04,0.01,0.14,0.00,4.41,0.14,82.37,13.24,0.01,0.22,73.78,64,64,98.30,300,300,102.15,99.52,1.56,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215.56,176.47,0.24,11.62,0.00,0.00
6,g++-4.6 4.6.4,binaryTrees_2.c 21,14.956882,1634,1692792398.480367,-,-,455,12.76,3569,1896,2.65,9500,0,1,120,132,87,333,0,2039,113,4020,0.00,0.06,0.02,0.02,0.17,0.00,4.28,0.66,81.97,13.15,0.01,0.24,73.83,67,67,98.21,300,300,101.82,99.49,1.59,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217.03,177.81,0.24,11.68,0.00,0.00
7,g++-4.6 4.6.4,binaryTrees_2.c 21,14.935708,1620,1692792413.453365,-,-,457,12.76,3582,1896,2.64,8000,0,26,160,148,85,188,0,1521,31,2937,0.00,0.09,0.02,0.02,0.11,0.00,3.36,0.13,83.46,13.10,0.02,0.17,73.95,66,66,98.33,300,300,101.60,99.55,1.53,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.63,177.47,0.23,11.59,0.00,0.00
8,g++-4.6 4.6.4,binaryTrees_2.c 21,14.937243,1691,1692792428.429271,-,-,456,12.77,3575,1896,2.65,7897,0,1,220,195,69,170,0,1562,18,2652,0.00,0.20,0.04,0.01,0.09,0.00,3.68,0.12,83.02,13.44,0.01,0.12,73.66,65,65,98.18,300,300,102.24,99.57,1.66,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.23,177.12,0.24,11.60,0.00,0.00
9,g++-4.6 4.6.4,binaryTrees_2.c 21,15.018568,1676,1692792443.482617,-,-,456,12.77,3572,1896,2.63,10054,0,47,185,243,215,406,5,2017,121,4170,0.00,0.04,0.04,0.04,0.19,0.00,4.52,0.62,81.72,13.10,0.03,0.22,73.88,68,68,98.11,300,300,101.58,99.52,1.65,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.81,177.39,0.25,11.66,0.00,0.00
10,g++-4.6 4.6.4,binaryTrees_2.c 21,14.962743,1626,1692792458.497079,-,-,456,12.74,3574,1896,2.64,8356,0,7,83,122,66,198,1,2019,41,3206,0.00,0.05,0.03,0.01,0.11,0.00,4.72,0.17,82.10,13.18,0.02,0.16,73.90,66,66,98.32,300,300,101.83,99.54,1.51,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.53,177.29,0.22,11.58,0.00,0.00
