test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots_Giga,FetchBubbles_Giga,SlotsRetired_Giga,SlotsIssued+RecoveryBubbles_Giga,SlotsBackend_Giga
1,2012-03-13,binaryTrees_v2_21_original,g++-4.4,binaryTrees_2.c 21,1.0,0.41,0.62,0.19,0.03,0.17,6.75,2.43,0.0,2.22,2.16,17.546095568,71508684218,4.076,173999588708,2.43,17544.15,1.0,71512146425,4.076,2,33155311679,419730637,17544.15,1.0,17.0,37900759816,55012207,0.15%,0,30318595436,65664,65664,0,807326097,296493533,36.725,52031500147,609447172,1.17%,95455030,36464379,38.20%,3797993,52013657528,3437782,0.01%,69855,635200,909.31%,0,0,16.304,3.0977599999999996,10.108479999999998,0.48911999999999994,2.77168
2,2012-03-13,binaryTrees_v2_21_original,g++-4.4,binaryTrees_2.c 21,1.0,0.41,0.62,0.19,0.03,0.17,6.74,2.42,0.01,2.22,2.16,17.584110532,71609660880,4.073,174723467016,2.44,17582.43,1.0,71621125505,4.073,3,33212591958,420447958,17582.45,1.0,13.0,37890325373,53905879,0.14%,0,29980241894,65662,65662,0,790459585,298769554,37.797,51792484285,610810380,1.18%,95733101,38387904,40.10%,3633416,51642996125,3645812,0.01%,46056,386007,838.13%,0,0,16.292,3.0954800000000002,10.101040000000001,0.48876000000000003,2.7696400000000003
3,2012-03-13,binaryTrees_v2_21_original,g++-4.4,binaryTrees_2.c 21,0.99,0.41,0.61,0.19,0.03,0.18,6.75,2.42,0.01,2.21,2.15,17.885119966,72143914247,4.034,174253056285,2.41,17883.25,1.0,72143834614,4.034,9,33503281420,424110781,17883.29,1.0,13.0,38047507188,57133879,0.15%,0,30339519219,65663,65663,0,804299302,306231326,38.074,51877454170,609875535,1.18%,93790004,38044066,40.56%,4062613,51912413009,3336971,0.01%,258051,634162,245.75%,0,0,16.136,3.0658399999999997,9.84296,0.48407999999999995,2.90448
4,2012-03-13,binaryTrees_v2_21_original,g++-4.4,binaryTrees_2.c 21,0.99,0.41,0.62,0.2,0.03,0.16,6.78,2.46,0.0,2.1,2.06,18.458534053,71130656798,3.855,174240053802,2.45,18453.69,1.0,71127270375,3.854,10,34581423619,437778598,18453.74,1.0,9.0,37832305660,54579662,0.14%,0,30364624519,65668,65668,0,828849557,305459173,36.853,51772781255,614908251,1.19%,99209778,38064367,38.37%,4700233,51564003977,3408217,0.01%,261400,899581,344.14%,0,0,15.42,3.084,9.5604,0.46259999999999996,2.4672
5,2012-03-13,binaryTrees_v2_21_original,g++-4.4,binaryTrees_2.c 21,0.99,0.41,0.61,0.19,0.03,0.17,6.74,2.42,0.0,2.11,2.06,18.607021018,71839692346,3.862,175184558481,2.44,18602.24,1.0,71833344788,3.862,2,34807449096,440649219,18602.31,1.0,7.0,37802223996,58621865,0.16%,0,30467783985,65664,65664,0,804400794,308256771,38.321,52026441834,611499580,1.18%,94494580,38979773,41.25%,4570549,51610166096,3326874,0.01%,365137,844527,231.29%,0,0,15.448,2.93512,9.42328,0.46344,2.62616
6,2012-03-13,binaryTrees_v2_21_original,g++-4.4,binaryTrees_2.c 21,0.99,0.41,0.62,0.19,0.03,0.17,6.73,2.42,0.0,2.19,2.13,18.041122885,71773728716,3.979,174118615736,2.43,18039.34,1.0,71800600165,3.98,12,33768086489,427359177,18039.33,1.0,11.0,37617521136,54215948,0.14%,0,30334381546,65664,65664,0,812153056,300876308,37.047,51973795799,609082444,1.17%,95698849,37462186,39.15%,3616571,51896906651,3311887,0.01%,340557,372414,109.35%,0,0,15.916,3.0240400000000003,9.86792,0.47748,2.7057200000000003
7,2012-03-13,binaryTrees_v2_21_original,g++-4.4,binaryTrees_2.c 21,0.99,0.41,0.61,0.19,0.03,0.17,6.71,2.43,0.0,2.09,2.04,18.711195671,71820594046,3.839,173936083207,2.42,18707.51,1.0,71826552679,3.839,11,35129104553,444619999,18707.52,1.0,7.0,37963030751,55387654,0.15%,0,30327586170,65664,65664,0,789990926,296796724,37.57,51596378401,607859533,1.18%,95994557,38591781,40.20%,5314041,51592139761,4206984,0.01%,275023,858098,312.01%,0,0,15.356,2.91764,9.36716,0.46068,2.61052
8,2012-03-13,binaryTrees_v2_21_original,g++-4.4,binaryTrees_2.c 21,0.99,0.41,0.62,0.2,0.03,0.16,6.74,2.42,0.0,2.09,2.04,18.711760725,71733234195,3.834,174444803490,2.43,18708.23,1.0,71725443468,3.834,14,35096220010,444369485,18708.26,1.0,7.0,37793812803,59010504,0.16%,0,30449744388,65665,65665,0,799217377,308744519,38.631,51744844784,615651493,1.19%,95546275,38619325,40.42%,4366242,51334637771,3417741,0.01%,310566,938570,302.21%,0,0,15.336,3.0672,9.50832,0.46008,2.45376
9,2012-03-13,binaryTrees_v2_21_original,g++-4.4,binaryTrees_2.c 21,0.99,0.41,0.62,0.2,0.03,0.16,6.75,2.44,0.0,2.2,2.13,17.796887821,71394006886,4.012,173845404797,2.43,17795.07,1.0,71422250680,4.014,10,33512278352,424241447,17795.09,1.0,11.0,37635316728,54654238,0.15%,0,30284465927,65664,65664,0,819364818,301382273,36.782,51714387337,613876671,1.19%,94771477,37746582,39.83%,3773106,51964285326,3564256,0.01%,136399,843383,618.32%,0,0,16.048,3.2096,9.94976,0.4814399999999999,2.5676799999999997
10,2012-03-13,binaryTrees_v2_21_original,g++-4.4,binaryTrees_2.c 21,0.99,0.41,0.62,0.19,0.03,0.17,6.74,2.42,0.0,2.16,2.11,18.077642527,71643988693,3.964,175079589536,2.45,18075.35,1.0,71646964264,3.964,8,34020872003,430554928,18075.41,1.0,10.0,37814398114,58097573,0.15%,0,30318581750,65663,65663,0,808405557,300952376,37.228,51872300400,616939701,1.19%,97421004,38956696,39.99%,3699583,51409333796,3384559,0.01%,192112,701356,365.08%,0,0,15.856,3.01264,9.83072,0.47568,2.69552
1,2013-04-12,binaryTrees_v2_21_original,g++-4.6,binaryTrees_2.c 21,1.0,0.4,0.62,0.2,0.03,0.14,6.88,2.49,0.0,2.36,2.16,16.866123595,68690374533,4.073,173589473048,2.53,16864.62,1.0,68692327179,4.073,5,31854136287,403254631,16864.65,1.0,18.0,38488303360,55053965,0.14%,0,29850507361,65664,65664,0,811339232,310277317,38.243,51702396642,608599374,1.18%,86667019,31484180,36.33%,3018448,51837234026,3251149,0.01%,47496,277793,584.88%,0,0,16.292,3.2584000000000004,10.101040000000001,0.48876000000000003,2.2808800000000002
2,2013-04-12,binaryTrees_v2_21_original,g++-4.6,binaryTrees_2.c 21,0.99,0.4,0.63,0.2,0.03,0.16,6.86,2.48,0.01,2.35,2.16,16.893432393,68655962427,4.065,174575085142,2.54,16891.22,1.0,68636129593,4.063,5,31828118399,402861896,16891.24,1.0,13.0,37968695664,54260427,0.14%,0,30127517989,65665,65665,0,798128723,297426139,37.265,52300070731,607246324,1.16%,90593487,35756765,39.47%,3136228,51694304887,3188910,0.01%,100325,289021,288.08%,0,0,16.26,3.2520000000000007,10.2438,0.4878,2.6016000000000004
3,2013-04-12,binaryTrees_v2_21_original,g++-4.6,binaryTrees_2.c 21,0.99,0.4,0.61,0.2,0.03,0.14,6.89,2.53,0.0,2.21,2.07,17.834471719,69054527043,3.873,171637746735,2.49,17830.87,1.0,68999110072,3.87,10,33372299918,422579395,17830.92,1.0,8.0,38223450898,56621542,0.15%,0,30099122483,65663,65663,0,806254955,310529081,38.515,50977842697,621215450,1.22%,96856156,34373297,35.49%,4345379,52248678360,3066518,0.01%,267330,383010,143.27%,0,0,15.492,3.0984000000000003,9.45012,0.46476,2.16888
4,2013-04-12,binaryTrees_v2_21_original,g++-4.6,binaryTrees_2.c 21,0.99,0.4,0.61,0.2,0.03,0.14,6.88,2.54,0.0,2.28,2.13,17.286304667,69230244934,4.005,169568991779,2.45,17284.52,1.0,69208019168,4.004,11,32508879126,411463376,17284.53,1.0,11.0,38144363882,56026747,0.15%,0,30184762790,65664,65664,0,783327166,300816943,38.402,50776773422,616531535,1.21%,93587842,32906390,35.16%,3434452,52753974938,3339031,0.01%,166540,296762,178.19%,0,0,16.02,3.204,9.7722,0.48059999999999997,2.2428000000000003
5,2013-04-12,binaryTrees_v2_21_original,g++-4.6,binaryTrees_2.c 21,0.99,0.4,0.61,0.21,0.03,0.14,6.9,2.57,0.0,2.2,2.12,17.385170387,69024342150,3.971,172590444127,2.5,17383.13,1.0,69041344006,3.972,10,32550813868,412148411,17383.15,1.0,11.0,37662302572,53122185,0.14%,0,31156689692,65662,65662,0,804857467,290480002,36.091,51619190820,625020638,1.21%,104388563,44028107,42.18%,3387190,52040995214,3010050,0.01%,236566,296264,125.24%,0,0,15.884,3.33564,9.68924,0.47652,2.2237600000000004
6,2013-04-12,binaryTrees_v2_21_original,g++-4.6,binaryTrees_2.c 21,0.99,0.4,0.62,0.2,0.03,0.15,6.89,2.5,0.0,2.22,2.04,17.999266796,68792802253,3.823,172750195864,2.51,17995.49,1.0,68775845856,3.822,19,33760524878,427371193,17995.59,1.0,6.0,38247259327,55878077,0.15%,0,29905157019,65663,65663,0,801077806,314764998,39.293,51606927936,609208695,1.18%,91379195,31834249,34.84%,4238831,52171171882,3235927,0.01%,247996,456403,184.04%,0,0,15.292,3.0584000000000002,9.48104,0.45876,2.2938
7,2013-04-12,binaryTrees_v2_21_original,g++-4.6,binaryTrees_2.c 21,0.99,0.4,0.63,0.2,0.03,0.16,6.85,2.42,0.01,2.28,2.12,17.400852006,68987487187,3.965,175424171908,2.54,17398.71,1.0,68979202593,3.965,16,32540013639,411849555,17398.74,1.0,9.0,37962726189,53365207,0.14%,0,29776599087,65663,65663,0,842013681,298955726,35.505,52799448826,597965723,1.13%,91220662,33337761,36.55%,3511927,51197810076,3369730,0.01%,254005,313883,123.57%,0,0,15.86,3.172,9.9918,0.47579999999999995,2.5376
8,2013-04-12,binaryTrees_v2_21_original,g++-4.6,binaryTrees_2.c 21,0.99,0.4,0.63,0.2,0.03,0.15,6.84,2.46,0.0,2.3,2.11,17.438103819,69071389055,3.961,176040777447,2.55,17435.98,1.0,69004105960,3.958,17,32775471387,414802611,17436.0,1.0,10.0,37955934072,57037634,0.15%,0,29559174075,65665,65665,0,815292819,303328592,37.205,52150678010,598828778,1.15%,89308867,34778327,38.94%,3373067,51274174789,3593004,0.01%,172199,296912,172.42%,0,0,15.844,3.1688,9.98172,0.47531999999999996,2.3766
