test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-5 5.5.0,binaryTrees_2.c 21,16.699553,1140,1695200269.479907,-,-,523,12.76,4098,1896,2.52,9864,0,53,327,246,210,410,3,2062,15,4168,0.00,0.18,0.04,0.02,0.18,0.00,4.37,0.07,82.32,12.95,0.04,0.24,74.02,83,83,98.76,450,300,101.00,99.61,1.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,298.02,255.11,0.19,13.34,0.00,0.00
2,g++-5 5.5.0,binaryTrees_2.c 21,16.794383,1074,1695200286.311004,-,-,518,12.68,4087,1896,2.53,22286,0,35,180,192,111,646,3,3592,1130,12169,0.00,0.06,0.04,0.01,0.40,0.01,6.18,3.97,76.54,13.64,0.01,0.65,73.02,86,86,98.54,450,300,101.68,99.18,1.11,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,307.40,263.63,0.22,13.43,0.00,0.00
3,g++-5 5.5.0,binaryTrees_2.c 21,17.551641,1133,1695200303.894931,-,-,497,12.70,3913,1896,2.52,40220,0,40,128,160,182,1239,0,6028,2898,23183,0.00,0.06,0.02,0.02,0.69,0.00,8.19,7.17,71.01,14.09,0.02,0.94,72.25,90,91,98.80,450,300,101.58,98.83,1.04,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286.92,241.15,0.21,13.88,0.00,0.00
4,g++-5 5.5.0,binaryTrees_2.c 21,17.074207,1100,1695200321.001376,-,-,510,12.69,4022,1896,2.53,22054,0,23,112,251,152,862,2,3841,1196,11443,0.00,0.03,0.05,0.02,0.46,0.00,6.50,5.68,74.45,13.61,0.02,0.71,72.97,89,89,98.58,450,300,101.71,99.17,1.01,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,303.43,258.75,0.20,13.59,0.00,0.00
5,g++-5 5.5.0,binaryTrees_2.c 21,17.865216,1139,1695200338.894504,-,-,490,12.78,3836,1896,2.52,40584,0,32,427,517,368,1896,0,5839,2895,23035,0.00,0.06,0.09,0.05,0.81,0.00,8.22,7.46,70.41,14.30,0.05,1.14,71.72,92,92,98.78,450,300,102.29,98.99,1.02,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.90,241.46,0.21,14.08,0.00,0.00
6,g++-5 5.5.0,binaryTrees_2.c 21,16.972298,1102,1695200355.897376,-,-,510,12.66,4025,1896,2.54,21561,0,38,146,168,156,694,3,3505,1317,11564,0.00,0.07,0.04,0.02,0.31,0.00,5.94,6.76,74.07,13.71,0.03,0.51,73.08,90,90,98.55,450,300,101.59,99.06,1.01,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,293.18,248.90,0.21,13.52,0.00,0.00
7,g++-5 5.5.0,binaryTrees_2.c 21,17.266934,1134,1695200373.191786,-,-,507,12.72,3987,1896,2.52,22998,0,50,258,539,667,792,0,3620,1149,12402,0.00,0.06,0.08,0.06,0.36,0.00,5.84,5.22,75.54,13.63,0.05,0.49,73.11,90,90,98.64,450,300,101.47,99.17,1.03,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,303.33,258.03,0.22,13.75,0.00,0.00
8,g++-5 5.5.0,binaryTrees_2.c 21,17.216190,1210,1695200390.439357,-,-,502,12.67,3966,1896,2.54,18869,0,25,90,222,140,411,0,2895,759,9867,0.00,0.05,0.02,0.02,0.21,0.00,5.01,3.44,78.48,13.34,0.01,0.31,73.67,83,83,98.59,450,300,101.15,99.32,1.02,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288.40,243.35,0.21,13.68,0.00,0.00
9,g++-5 5.5.0,binaryTrees_2.c 21,19.897793,1216,1695200410.370856,-,-,430,12.74,3376,1896,2.57,10967,0,39,173,171,66,342,3,2288,49,4975,0.00,0.05,0.06,0.01,0.14,0.00,3.82,0.14,83.01,13.17,0.01,0.23,73.86,80,80,98.57,450,300,101.84,99.79,0.99,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.25,184.65,0.22,15.35,0.00,0.00
10,g++-5 5.5.0,binaryTrees_2.c 21,19.765208,1162,1695200430.173271,-,-,432,12.73,3389,1896,2.58,10862,0,24,138,137,85,315,0,2204,72,4865,0.00,0.09,0.01,0.01,0.12,0.00,3.87,0.31,82.83,13.13,0.01,0.15,73.98,81,81,98.52,450,300,101.84,99.79,0.96,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.56,184.21,0.20,15.28,0.00,0.00
