test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-12 12.3.0,binaryTrees_2.c 21,19.594491,1696,1692785250.957598,-,-,468,12.70,3684,1896,2.49,10856,0,39,159,110,62,283,1,2120,13,4010,0.00,0.08,0.02,0.01,0.11,0.00,3.91,0.05,83.05,13.12,0.01,0.18,74.00,64,65,98.57,350,300,101.45,99.51,1.36,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282.32,232.36,0.27,14.41,0.00,0.00
2,g++-12 12.3.0,binaryTrees_2.c 21,19.611646,1630,1692785270.619007,-,-,466,12.66,3681,1896,2.49,10277,0,37,116,118,82,377,3,1835,11,3627,0.00,0.05,0.02,0.01,0.15,0.00,3.42,0.04,83.57,13.16,0.01,0.25,73.92,67,67,98.33,300,300,101.46,99.53,1.45,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,292.88,242.18,0.28,14.42,0.00,0.00
3,g++-12 12.3.0,binaryTrees_2.c 21,19.459690,1605,1692785290.119695,-,-,468,12.72,3681,1896,2.50,10668,0,31,106,131,124,430,4,2274,40,3980,0.00,0.06,0.03,0.01,0.14,0.00,4.29,0.07,82.60,13.22,0.02,0.23,73.81,66,66,98.41,300,300,101.92,99.53,1.41,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,292.50,242.04,0.27,14.34,0.00,0.00
4,g++-12 12.3.0,binaryTrees_2.c 21,19.801702,1615,1692785309.961943,-,-,464,12.68,3656,1896,2.48,33066,0,55,97,245,873,694,0,4754,2776,17937,0.00,0.02,0.02,0.05,0.35,0.00,6.52,7.47,72.73,13.75,0.03,0.50,73.03,68,69,98.39,300,300,101.58,98.85,1.40,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,294.83,243.43,0.27,14.52,0.00,0.00
5,g++-12 12.3.0,binaryTrees_2.c 21,19.731188,1653,1692785329.739177,-,-,467,12.71,3674,1896,2.47,20410,0,12,144,246,118,480,0,3027,780,10449,0.00,0.06,0.05,0.01,0.22,0.00,4.54,2.32,80.01,13.26,0.01,0.32,73.70,70,70,98.28,300,300,100.96,99.32,1.44,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,296.52,244.90,0.28,14.50,0.00,0.00
6,g++-12 12.3.0,binaryTrees_2.c 21,20.012951,1617,1692785349.791952,-,-,460,12.71,3621,1896,2.48,21919,0,25,134,123,129,503,3,3863,1122,11188,0.00,0.07,0.02,0.01,0.23,0.00,6.08,4.83,75.95,13.38,0.01,0.37,73.54,70,70,98.40,300,300,101.44,99.19,1.41,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.36,248.32,0.28,14.61,0.00,0.00
7,g++-12 12.3.0,binaryTrees_2.c 21,20.194771,1733,1692785370.030234,-,-,456,12.67,3599,1896,2.48,35331,0,25,132,174,107,1285,1,5494,2683,18645,0.00,0.08,0.02,0.01,0.63,0.00,7.11,6.56,72.75,13.91,0.01,0.97,72.43,68,69,98.41,300,300,101.57,98.69,1.45,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.87,238.59,0.29,14.78,0.00,0.00
8,g++-12 12.3.0,binaryTrees_2.c 21,19.926438,1665,1692785390.001398,-,-,462,12.73,3629,1896,2.48,21494,0,20,60,204,116,739,4,4042,893,10918,0.00,0.02,0.05,0.02,0.30,0.00,5.99,3.46,77.31,13.33,0.02,0.42,73.50,71,71,98.34,300,300,101.27,99.21,1.42,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,293.35,241.50,0.28,14.61,0.00,0.00
9,g++-12 12.3.0,binaryTrees_2.c 21,20.195806,1638,1692785410.237803,-,-,455,12.67,3593,1896,2.48,34707,0,45,125,167,117,1047,0,4481,2498,19103,0.00,0.03,0.05,0.01,0.43,0.00,6.10,5.94,74.60,13.91,0.02,0.70,72.71,70,70,98.44,300,300,101.62,98.73,1.43,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,289.18,236.82,0.29,14.81,0.00,0.00
10,g++-12 12.3.0,binaryTrees_2.c 21,20.441522,1578,1692785430.721277,-,-,449,12.70,3534,1896,2.49,16364,0,39,123,283,268,757,5,3253,294,7239,0.00,0.04,0.05,0.03,0.29,0.00,5.00,1.23,80.58,13.34,0.03,0.44,73.49,71,71,98.29,300,300,101.66,99.39,1.44,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.43,228.27,0.29,14.92,0.00,0.00
