test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.8 4.8.5,binaryTrees_2.c 21,18.514033,1650,1692782437.939073,-,-,464,12.75,3641,1896,2.54,10325,0,45,171,145,94,214,2,2128,25,4275,0.00,0.08,0.03,0.02,0.10,0.00,4.05,0.10,82.81,13.27,0.04,0.15,73.79,61,61,98.58,300,300,102.13,99.52,1.43,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.80,223.35,0.25,13.70,0.00,0.00
2,g++-4.8 4.8.5,binaryTrees_2.c 21,18.728872,1634,1692782456.716234,-,-,461,12.74,3620,1896,2.53,25136,0,14,300,340,116,845,0,3992,1543,13131,0.00,0.14,0.06,0.01,0.35,0.00,5.88,3.85,76.84,13.77,0.01,0.49,73.00,65,65,98.37,300,300,102.00,99.09,1.44,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,278.26,229.98,0.27,13.85,0.00,0.00
3,g++-4.8 4.8.5,binaryTrees_2.c 21,18.711322,1651,1692782475.467208,-,-,461,12.71,3628,1896,2.54,20282,0,6,68,147,194,652,0,3226,777,10514,0.00,0.03,0.03,0.03,0.27,0.00,5.26,2.62,78.96,13.37,0.04,0.43,73.46,67,68,98.41,300,300,101.54,99.27,1.37,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.91,232.36,0.25,13.81,0.00,0.00
4,g++-4.8 4.8.5,binaryTrees_2.c 21,18.608180,1624,1692782494.118701,-,-,464,12.74,3642,1896,2.54,18689,0,67,199,250,390,543,8,3229,715,8960,0.00,0.08,0.06,0.03,0.25,0.01,5.41,2.24,79.09,13.54,0.03,0.39,73.31,68,68,98.27,300,300,102.03,99.37,1.47,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,274.76,226.07,0.27,13.78,0.00,0.00
5,g++-4.8 4.8.5,binaryTrees_2.c 21,18.712145,1658,1692782512.868359,-,-,462,12.74,3625,1896,2.53,22664,0,16,134,149,152,595,0,3691,995,12144,0.00,0.05,0.02,0.02,0.28,0.00,5.63,2.96,78.19,13.43,0.03,0.35,73.45,66,66,98.35,300,300,101.78,99.25,1.45,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.36,232.61,0.27,13.84,0.00,0.00
6,g++-4.8 4.8.5,binaryTrees_2.c 21,18.905862,1652,1692782531.807163,-,-,462,12.80,3609,1896,2.51,27288,0,169,577,534,360,1230,7,5186,1496,13753,0.00,0.05,0.05,0.05,0.56,0.00,7.42,4.94,74.00,13.64,0.06,0.69,72.80,68,68,98.27,300,300,102.29,99.11,1.49,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285.65,236.22,0.28,13.98,0.00,0.00
7,g++-4.8 4.8.5,binaryTrees_2.c 21,18.936769,1648,1692782550.784646,-,-,455,12.68,3589,1896,2.54,29586,0,55,127,119,164,1080,5,4222,2207,15303,0.00,0.04,0.01,0.01,0.54,0.00,6.06,6.51,74.01,13.73,0.01,0.80,72.78,68,68,98.41,300,300,101.62,98.87,1.44,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.03,220.88,0.27,13.93,0.00,0.00
8,g++-4.8 4.8.5,binaryTrees_2.c 21,18.821412,1646,1692782569.644212,-,-,460,12.71,3616,1896,2.53,23027,0,16,113,147,110,943,0,4027,1124,11720,0.00,0.04,0.04,0.01,0.43,0.00,6.16,3.52,76.98,13.52,0.01,0.65,73.11,67,67,98.36,300,300,101.75,99.19,1.39,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.31,232.41,0.26,13.83,0.00,0.00
9,g++-4.8 4.8.5,binaryTrees_2.c 21,18.906184,1536,1692782588.588841,-,-,457,12.72,3595,1896,2.53,21940,0,12,69,176,178,822,2,3560,932,11525,0.00,0.03,0.04,0.04,0.32,0.00,5.64,3.76,77.34,13.48,0.07,0.48,73.25,68,68,98.30,300,300,101.84,99.20,1.45,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.33,232.26,0.28,13.89,0.00,0.00
10,g++-4.8 4.8.5,binaryTrees_2.c 21,18.811494,1607,1692782607.438300,-,-,458,12.75,3595,1896,2.54,21559,0,25,249,253,302,628,3,3530,1028,11111,0.00,0.14,0.04,0.04,0.26,0.00,5.61,4.58,76.48,13.69,0.05,0.36,73.16,68,68,98.25,300,300,101.94,99.18,1.48,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279.13,230.01,0.27,13.89,0.00,0.00
