test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-6 6.5.0,binaryTrees_2.c 21,13.941428,1151,1695043302.171483,-,-,523,12.77,4098,1896,2.52,8219,0,7,433,367,184,241,0,1478,5,2539,0.00,0.09,0.06,0.05,0.14,0.00,3.87,0.02,82.94,13.33,0.05,0.18,73.68,84,87,98.62,450,300,102.18,99.63,1.03,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,243.25,207.55,0.16,11.43,0.00,0.00
2,g++-6 6.5.0,binaryTrees_2.c 21,14.232319,1125,1695043316.438728,-,-,512,12.65,4050,1896,2.52,27108,0,71,129,102,137,744,0,4062,2127,14798,0.00,0.07,0.03,0.02,0.49,0.00,7.09,7.30,72.19,13.91,0.02,0.76,72.66,88,91,98.66,450,300,101.42,98.78,1.09,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,247.85,211.26,0.18,11.65,0.00,0.00
3,g++-6 6.5.0,binaryTrees_2.c 21,13.956198,1136,1695043330.426198,-,-,519,12.67,4098,1896,2.54,8144,0,77,77,77,83,346,10,1825,64,3482,0.00,0.04,0.02,0.02,0.20,0.00,4.48,0.34,82.14,13.23,0.03,0.26,73.79,87,87,98.56,450,300,101.60,99.50,1.08,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249.88,213.30,0.17,11.48,0.00,0.00
4,g++-6 6.5.0,binaryTrees_2.c 21,16.527983,1189,1695043346.985485,-,-,509,12.67,4018,1896,2.19,29259,0,39,124,163,105,1030,3,3648,1734,17012,0.00,0.09,0.05,0.01,0.50,0.00,5.83,4.98,75.74,13.91,0.02,0.77,72.63,93,93,98.72,450,300,101.58,98.97,0.94,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,275.81,232.64,0.19,13.00,0.00,0.00
5,g++-6 6.5.0,binaryTrees_2.c 21,14.090350,1150,1695043361.106492,-,-,517,12.67,4081,1896,2.52,19243,0,1,64,136,110,692,0,2858,810,10890,0.00,0.03,0.03,0.02,0.42,0.00,5.68,3.81,77.23,13.61,0.03,0.65,73.04,91,89,98.54,450,300,101.62,99.16,1.05,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,252.25,215.23,0.18,11.59,0.00,0.00
6,g++-6 6.5.0,binaryTrees_2.c 21,14.188314,1109,1695043375.325722,-,-,514,12.67,4053,1896,2.52,16694,0,52,99,148,157,573,3,2956,791,8789,0.00,0.04,0.07,0.03,0.35,0.00,6.04,4.42,76.27,13.66,0.04,0.55,73.09,90,90,98.43,450,300,101.63,99.14,1.12,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.30,213.07,0.19,11.62,0.00,0.00
7,g++-6 6.5.0,binaryTrees_2.c 21,14.272109,1118,1695043389.629327,-,-,511,12.67,4034,1896,2.52,16182,0,2,117,160,248,432,0,2344,792,8965,0.00,0.06,0.03,0.02,0.27,0.00,4.93,4.27,77.62,13.55,0.03,0.44,73.32,92,92,98.38,450,300,101.42,99.19,1.14,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.57,213.05,0.19,11.71,0.00,0.00
8,g++-6 6.5.0,binaryTrees_2.c 21,14.993394,1056,1695043404.652777,-,-,492,12.75,3858,1896,2.50,32558,0,65,242,417,356,716,0,4775,2462,18178,0.00,0.06,0.03,0.02,0.48,0.00,8.16,8.30,70.10,14.07,0.01,0.66,72.51,93,96,98.82,450,300,102.06,99.04,1.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.04,200.86,0.18,12.15,0.00,0.00
9,g++-6 6.5.0,binaryTrees_2.c 21,14.903926,1109,1695043419.587952,-,-,493,12.73,3875,1896,2.50,31102,0,11,154,159,126,766,1,4480,2370,17558,0.00,0.04,0.02,0.01,0.50,0.00,7.64,8.12,70.82,14.02,0.01,0.73,72.51,94,94,98.73,450,300,101.96,99.00,1.08,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.95,200.01,0.19,12.03,0.00,0.00
10,g++-6 6.5.0,binaryTrees_2.c 21,15.700626,1245,1695043435.317010,-,-,462,12.80,3611,1896,2.54,11659,0,83,460,483,330,553,1,2405,152,5450,0.00,0.04,0.10,0.06,0.26,0.00,5.08,0.94,80.65,13.27,0.05,0.27,73.60,79,81,98.48,450,300,101.90,99.64,1.04,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215.54,174.19,0.19,12.63,0.00,0.00
