test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-13 13.1.0,binaryTrees_2.c 21,15.373105,1592,1692795623.989646,-,-,466,12.81,3638,1896,2.63,8749,0,24,232,337,73,250,0,1884,28,3474,0.00,0.08,0.08,0.02,0.17,0.00,4.12,0.13,82.53,13.42,0.05,0.28,73.44,61,62,98.28,300,300,102.38,99.53,1.61,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222.80,183.36,0.24,11.96,0.00,0.00
2,g++-13 13.1.0,binaryTrees_2.c 21,15.331869,1590,1692795639.366037,-,-,466,12.77,3649,1896,2.64,8733,0,26,217,150,82,278,0,2119,24,2909,0.00,0.10,0.03,0.02,0.16,0.00,4.82,0.08,81.97,13.36,0.02,0.27,73.58,64,64,98.24,300,300,102.31,99.53,1.64,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.05,186.35,0.25,11.95,0.00,0.00
3,g++-13 13.1.0,binaryTrees_2.c 21,15.385114,1640,1692795654.790791,-,-,465,12.75,3647,1896,2.64,11855,0,12,140,126,123,314,3,2419,303,5117,0.00,0.04,0.02,0.02,0.19,0.00,5.05,1.21,80.66,13.15,0.02,0.27,73.82,68,68,98.17,300,300,101.73,99.48,1.58,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.18,190.19,0.25,11.94,0.00,0.00
4,g++-13 13.1.0,binaryTrees_2.c 21,15.325218,1623,1692795670.155758,-,-,465,12.77,3642,1896,2.65,8591,0,62,162,236,148,470,1,1875,60,3418,0.00,0.03,0.03,0.03,0.23,0.00,4.05,0.14,82.65,13.26,0.03,0.30,73.65,66,66,98.22,300,300,102.23,99.54,1.59,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227.08,186.92,0.25,11.95,0.00,0.00
5,g++-13 13.1.0,binaryTrees_2.c 21,15.340631,1661,1692795685.543909,-,-,465,12.75,3647,1896,2.64,16968,0,13,166,195,114,427,0,2783,822,8498,0.00,0.07,0.03,0.01,0.26,0.00,5.31,2.47,79.00,13.55,0.02,0.42,73.27,66,66,98.20,300,300,102.13,99.31,1.57,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.62,191.41,0.24,11.89,0.00,0.00
6,g++-13 13.1.0,binaryTrees_2.c 21,15.632710,1612,1692795701.213280,-,-,462,12.83,3597,1896,2.62,24768,0,29,439,472,310,819,0,4255,1837,12415,0.00,0.12,0.08,0.04,0.49,0.00,7.60,6.74,71.95,14.05,0.04,0.64,72.44,68,68,98.19,300,300,102.45,98.94,1.60,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228.49,187.49,0.25,12.12,0.00,0.00
7,g++-13 13.1.0,binaryTrees_2.c 21,15.620081,1643,1692795716.868914,-,-,460,12.77,3601,1896,2.63,24928,0,28,402,478,311,928,2,4216,1802,12309,0.00,0.14,0.08,0.05,0.52,0.00,7.18,6.52,72.59,14.06,0.05,0.72,72.41,67,68,98.17,300,300,102.21,98.87,1.64,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227.28,186.16,0.26,12.11,0.00,0.00
8,g++-13 13.1.0,binaryTrees_2.c 21,15.397643,1594,1692795732.306723,-,-,463,12.76,3627,1896,2.64,14572,0,30,284,189,102,594,0,2422,471,6840,0.00,0.20,0.02,0.02,0.36,0.00,4.89,2.53,79.13,13.69,0.02,0.58,72.94,68,68,98.00,300,300,102.16,99.34,1.73,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.05,191.64,0.27,11.97,0.00,0.00
9,g++-13 13.1.0,binaryTrees_2.c 21,15.780043,1639,1692795748.150380,-,-,457,12.80,3568,1896,2.62,26271,0,43,388,508,313,1428,1,4075,1812,13712,0.00,0.11,0.08,0.05,0.77,0.00,6.57,6.07,73.41,13.89,0.06,0.72,72.54,69,69,98.31,300,300,101.73,98.87,1.55,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.15,184.83,0.24,12.21,0.00,0.00
10,g++-13 13.1.0,binaryTrees_2.c 21,15.740215,1632,1692795763.933009,-,-,456,12.72,3584,1896,2.63,25101,0,28,134,162,119,1094,0,3890,1846,12956,0.00,0.07,0.04,0.01,0.59,0.00,6.88,6.54,73.00,13.88,0.02,0.86,72.52,68,69,98.29,300,300,101.80,98.88,1.61,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228.21,187.08,0.26,12.14,0.00,0.00
