test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.8 4.8.5,binaryTrees_6.c 21,3.622682,1192,1699626621.112037,-,-,517,12.73,4061,1896,1.92,1827,0,1,22,47,26,48,1,434,1,545,0.00,0.01,0.03,0.02,0.13,0.00,4.65,0.00,82.38,12.91,0.02,0.20,74.14,60,60,98.88,300,300,101.18,99.66,1.23,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.90,43.86,0.03,2.62,0.00,0.00
2,g++-4.8 4.8.5,binaryTrees_6.c 21,3.588561,1123,1699626624.746390,-,-,519,12.74,4077,1896,1.93,1922,0,0,34,45,39,52,0,472,2,553,0.00,0.08,0.03,0.02,0.18,0.00,5.39,0.01,81.50,13.18,0.02,0.25,73.81,62,62,98.76,300,300,101.90,99.59,1.34,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.26,44.14,0.04,2.61,0.00,0.00
3,g++-4.8 4.8.5,binaryTrees_6.c 21,3.604485,1089,1699626628.382678,-,-,520,12.78,4069,1896,1.92,2012,0,8,40,64,32,73,0,582,1,577,0.00,0.05,0.14,0.03,0.19,0.00,6.37,0.02,80.36,13.51,0.03,0.30,73.39,65,65,98.71,300,300,102.26,99.55,1.33,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.47,45.35,0.04,2.63,0.00,0.00
4,g++-4.8 4.8.5,binaryTrees_6.c 21,3.589609,1130,1699626632.005800,-,-,520,12.76,4072,1896,1.93,1823,0,6,24,43,18,83,0,406,4,531,0.00,0.02,0.02,0.02,0.22,0.00,4.47,0.04,82.39,13.13,0.03,0.30,73.78,67,69,98.65,300,300,101.98,99.59,1.36,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.28,45.22,0.04,2.61,0.00,0.00
5,g++-4.8 4.8.5,binaryTrees_6.c 21,3.603653,1144,1699626635.639905,-,-,521,12.80,4071,1896,1.92,2039,0,9,66,37,37,75,1,521,8,627,0.00,0.35,0.06,0.03,0.22,0.01,5.56,0.06,80.84,13.30,0.05,0.31,73.54,68,68,98.54,300,300,101.75,99.57,1.42,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.40,45.96,0.04,2.65,0.00,0.00
6,g++-4.8 4.8.5,binaryTrees_6.c 21,3.596215,1158,1699626639.272981,-,-,518,12.71,4070,1896,1.93,1817,0,2,15,29,24,61,0,447,1,509,0.00,0.00,0.01,0.02,0.16,0.00,4.96,0.02,82.07,13.04,0.04,0.22,73.99,66,66,98.77,300,300,101.74,99.62,1.31,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.52,45.46,0.04,2.62,0.00,0.00
7,g++-4.8 4.8.5,binaryTrees_6.c 21,3.613292,1434,1699626642.919739,-,-,519,12.76,4065,1896,1.92,1907,0,7,38,30,23,84,0,460,3,574,0.00,0.03,0.01,0.02,0.20,0.00,5.20,0.07,81.66,13.13,0.02,0.26,73.83,69,69,98.64,300,300,102.07,99.58,1.31,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.33,46.16,0.04,2.63,0.00,0.00
8,g++-4.8 4.8.5,binaryTrees_6.c 21,3.592194,1128,1699626646.549057,-,-,519,12.75,4067,1896,1.93,1883,0,5,41,55,28,63,0,490,0,482,0.00,0.02,0.05,0.02,0.18,0.00,5.43,0.00,81.50,13.20,0.03,0.26,73.76,70,71,98.60,300,300,102.04,99.62,1.35,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.29,46.17,0.04,2.61,0.00,0.00
9,g++-4.8 4.8.5,binaryTrees_6.c 21,3.594046,2023,1699626650.174376,-,-,519,12.76,4064,1896,1.93,1998,0,9,40,39,45,105,0,514,3,508,0.00,0.00,0.02,0.04,0.28,0.00,5.82,0.01,81.01,13.13,0.07,0.37,73.68,69,72,98.50,300,300,102.07,99.56,1.43,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.63,46.42,0.04,2.63,0.00,0.00
10,g++-4.8 4.8.5,binaryTrees_6.c 21,3.607900,1122,1699626653.814189,-,-,522,12.86,4061,1896,1.91,2262,0,25,168,63,37,89,0,655,4,615,0.00,0.52,0.03,0.03,0.24,0.00,7.24,0.00,79.02,13.97,0.03,0.35,72.80,71,73,98.53,300,300,102.61,99.55,1.39,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.42,47.17,0.04,2.63,0.00,0.00
