,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J
cpu_clock_msec,0.9998881556301137,0.9932180521484169,0.9899859612772267,0.8619195858835129,0.7008344825760259
task_clock_msec,0.9998881552660364,0.9932180547067264,0.9899859622818588,0.8619196273256412,0.7008345290927334
time_elapsed_sec,0.9998881517047933,0.9932184416557303,0.9899864336671541,0.8619198094299232,0.7008404097359631
ref_cycles,0.9998869348887476,0.9930322142238014,0.9897846816415438,0.861325651720937,
bus_cycles,0.9998868443396719,0.9930313313399433,0.9897836493791903,0.8613262240639281,
time,0.999540024719934,0.9942975326548769,0.9912043527172008,0.865895775846487,0.7072890642843093
TotalSlots,0.998664540821324,0.9970494041053213,0.9950932510333255,0.8583589018628064,0.7138045980983427
cpu_cycles,0.9986612727694403,0.9970448063480439,0.9950907962660529,0.8583058902111123,0.7137519597153238
mem_stores,0.9982390601008192,0.9903996769940081,0.9871120228929103,0.8532488238286339,
SlotsRetired,0.997861513373838,0.9896603777333083,0.9857528803873777,0.8669420020935511,0.7009827051232006
dTLB_loads,0.9969454913062235,0.9905614716567044,0.9868040159318544,0.8688836555637461,
L1_dcache_loads,0.9969416046519399,0.9905702151562213,0.9868151880319114,0.8688932400404643,
instructions,0.9946390958868297,0.9861377264950242,0.9818520854549924,0.872261250545256,0.7170194964083292
Pkg_J,0.9926537368480939,,0.9995061421267328,0.8664734932108705,0.7425386704819887
Cor_J,0.9893417298339651,0.9995061421267328,,0.8558900465179621,0.7451872960674948
SlotsIssued+RecoveryBubbles,0.9691911185174718,0.9421032052458618,0.9348474686217116,0.8299146482298791,
branch_misses,0.9649018322184285,0.9453867024089163,0.9388897022065847,0.8556648273371696,0.7433918395275811
branches,0.9386367562343397,0.9487448817473376,0.9489939757505537,0.8438251872426435,0.8646482503785589
SlotsBackend,0.9200480522063402,0.9344015647275278,0.9360244577992504,0.7782492517777282,
IRQ,0.8962828155346872,0.9106649659147787,0.908660334199182,0.8653385861745297,0.8154595051852137
FetchBubbles,0.8753970180628793,0.8886774769238804,0.8929386790675014,0.7271483425049458,0.8305410111413157
RAM_J,0.8602258529609887,0.8664734932108705,0.8558900465179621,,0.7869934180574453
GFX%rc6,0.764370820614367,0.7547393048149099,0.7571251059332054,,
GFX_J,0.700499162337419,0.7425386704819887,0.7451872960674948,0.7869934180574453,
C8%,-0.7310521035388822,-0.7444423593189534,-0.7478121585071359,,
CPUGFX%,-0.8074551389553564,-0.822410729266904,-0.8229852436625839,,
GFX%C0,-0.8123231898278843,-0.8263702819155558,-0.8267966015140595,,
freq_cycles_GHz,-0.8402955081747824,-0.8059380984715625,-0.7923400231684565,-0.8120742758282463,
freq_cpu_cycles_GHz,-0.8437872051494589,-0.8115749104881348,-0.7982610589938461,-0.8190999570744705,
Turbo_Utilization,-0.8672481258422134,-0.83033704028283,-0.8170685199184606,-0.8151418673437346,
Avg_MHz,-0.895195004625912,-0.8610440259561492,-0.8491431934655486,-0.8261946427091831,
time_elapsed,,0.9926537368480939,0.9893417298339651,0.8602258529609887,0.700499162337419
POLL,,,,,0.7008261063197924
CPU%c3,,,,,-0.7082911823559359
