,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J
Pkg_J,0.9038810100714622,,0.999106186476418,,
Cor_J,0.8875654037105893,0.999106186476418,,,
RAM_J,0.8793122625658949,,,,0.8063699439527624
GFX_J,0.7368863481960526,,,0.8063699439527624,
time_elapsed,,0.9038810100714622,0.8875654037105893,0.8793122625658949,0.7368863481960526
CPUGFX%,,,,0.7685934775467186,0.8102424649702746
GFX%C0,,,,0.7663549331612614,0.8099196486059325
CoreTmp,,,,-0.8449534783766645,
PkgTmp,,,,-0.8475158167600848,
IPC,,,,-0.8838241450588046,-0.7314387011147963
