version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
g++-4.4 4.4.7,nbody_2.c 5000000,7.52988,1117.2,1689861188.35837,0,0,520.7,12.74,4086.4,1896,2.34,10444.3,0,44.1,351.3,229.1,165.4,463.7,3,1881.4,448.2,5225,0,0.18,0.08,0.05,0.52,0,7.09,3.05,76.17,13.83,0.05,0.71,72.66,94,94.9,98.91,450,315,101.83,99.23,0.73,0.72,0,0,0,0,0,0,0,0,0,135.8,116.67,0.04,4.54,0,0
g++-4.6 4.6.4,nbody_2.c 5000000,7.57157,1139,1689861401.04933,0,0,519.3,12.79,4060.8,1896,2.33,16053.5,0,40.6,3610.6,546.1,212.1,637.2,1.9,2097.5,562.2,6973.7,0,0.61,0.24,0.07,0.55,0,6.84,3.67,75.12,15.54,0.08,0.71,70.87,93,93.7,99.06,450,300,102.3,99.1,0.7,0.68,0,0,0,0,0,0,0,0,0,132.97,113.69,0.05,4.57,0,0
g++-4.7 4.7.4,nbody_2.c 5000000,7.5956,1160.9,1689861613.7498,0,0,516.7,12.67,4079.2,1896,2.33,10038,0,45.3,203.2,160.5,103.9,408.7,2,1768.6,548.8,4971.8,0,0.15,0.07,0.04,0.45,0,6.79,4.32,75.41,13.66,0.05,0.6,73.03,93.3,94.2,98.9,450,300,101.18,99.19,0.75,0.73,0,0,0,0,0,0,0,0,0,134.07,114.69,0.05,4.58,0,0
g++-4.8 4.8.5,nbody_2.c 5000000,7.50559,1091.3,1689861825.60772,0,0,521.4,12.73,4094.9,1896,2.21,5703.2,0,36.1,300.3,196.8,131,251.4,2.3,1116.1,108.5,2477.8,0,0.15,0.07,0.04,0.27,0,4.9,0.73,81.01,13.4,0.04,0.36,73.47,92.9,93.3,98.92,450,300,101.6,99.51,0.74,0.73,0,0,0,0,0,0,0,0,0,131.81,112.75,0.05,4.53,0,0
g++-4.9 4.9.3,nbody_2.c 5000000,7.72589,1126.9,1689862039.5967,0,0,519.8,12.72,4084.8,1896,2.22,7765,0,26.7,216.5,131.5,79.3,332,1.8,1416.2,308.3,3737.5,0,0.14,0.06,0.03,0.34,0.01,5.74,2.56,78.31,13.52,0.05,0.49,73.22,92.8,94,98.95,450,300,101.67,99.37,0.72,0.71,0,0,0,0,0,0,0,0,0,136.31,116.68,0.05,4.66,0,0
g++-5 5.5.0,nbody_2.c 5000000,7.55131,1114.6,1689862252.00175,0,0,516.7,12.68,4075.9,1896,2.27,10010,0,28.7,204,171,171.3,345.7,4.1,1750.3,582.8,5043,0,0.15,0.07,0.04,0.38,0.01,6.68,3.55,76.32,13.74,0.04,0.56,72.98,92.3,93.1,98.94,450,300,101.39,99.19,0.77,0.75,0,0,0,0,0,0,0,0,0,132.72,113.46,0.05,4.55,0,0
g++-6 6.5.0,nbody_2.c 5000000,7.43489,1097.8,1689862463.16565,0,0,517.3,12.67,4083,1896,2.29,11454.2,0,26.7,213.4,184.8,136.6,420.9,0.9,1936,608.8,6057.8,0,0.09,0.07,0.05,0.5,0,6.89,3.52,76.09,13.72,0.05,0.73,72.82,94,94.3,98.92,450,300,101.45,99.14,0.76,0.74,0,0,0,0,0,0,0,0,0,132.53,113.63,0.05,4.48,0,0
g++-7 7.5.0,nbody_2.c 5000000,7.51042,1127.4,1689862675.05282,0,0,519.7,12.71,4090.5,1896,2.26,7935.5,0,50.1,265.4,129.3,96.4,333.1,0.7,1435.1,262.3,3928.8,0,0.15,0.05,0.03,0.39,0,5.61,1.65,79.32,13.52,0.04,0.58,73.15,93.9,94.1,98.92,450,300,101.53,99.37,0.74,0.72,0,0,0,0,0,0,0,0,0,133.96,114.83,0.05,4.53,0,0
g++-8 ,nbody_2.c 5000000,7.52515,1129.3,1689862887.36244,0,0,517.8,12.68,4081.8,1896,2.25,8426,0,44.4,172.1,116.3,85.6,329.4,2,1573,407,4101.2,0,0.13,0.05,0.03,0.38,0.01,6.14,3.25,77.23,13.59,0.03,0.54,73.15,93.1,93.9,98.9,450,300,101.48,99.29,0.76,0.74,0,0,0,0,0,0,0,0,0,132.57,113.39,0.05,4.54,0,0
g++-9 9.5.0,nbody_2.c 5000000,8.26497,1187.8,1689863106.79292,0,0,516.7,12.69,4074,1896,2.29,12773.1,0,51.3,217.7,103.6,89.9,606,1.9,2181.2,697.5,6634.5,0,0.11,0.04,0.03,0.62,0,7.06,4.02,75.3,13.72,0.04,0.9,72.66,94,94.9,98.98,450,300,101.39,99.1,0.72,0.7,0,0,0,0,0,0,0,0,0,146.68,125.65,0.05,4.99,0,0
