test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-12 12.3.0,nbody_2.c 5000000,8.789903,1175,1689863912.724524,-,-,520,12.70,4098,1896,2.18,5099,0,1,257,103,64,215,1,1101,13,1986,0.00,0.11,0.03,0.02,0.22,0.00,4.40,0.18,82.28,13.28,0.02,0.27,73.73,84,84,99.17,450,300,101.49,99.57,0.75,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,147.16,125.29,0.05,5.29,0.00,0.00
2,g++-12 12.3.0,nbody_2.c 5000000,8.994007,1057,1689863921.766535,-,-,519,12.67,4097,1896,2.14,5487,0,56,160,114,43,153,2,1178,16,2129,0.00,0.17,0.05,0.02,0.17,0.00,4.66,0.16,82.03,13.13,0.02,0.24,73.94,90,90,98.91,450,300,100.98,99.59,0.77,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.55,142.02,0.06,5.42,0.00,0.00
3,g++-12 12.3.0,nbody_2.c 5000000,8.790100,1095,1689863930.602534,-,-,521,12.71,4096,1896,2.18,5289,0,11,144,85,70,196,3,1230,25,2277,0.00,0.14,0.05,0.02,0.18,0.01,4.84,0.25,81.74,13.28,0.02,0.22,73.76,94,94,98.92,450,300,101.52,99.57,0.79,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.43,132.00,0.06,5.30,0.00,0.00
4,g++-12 12.3.0,nbody_2.c 5000000,8.844688,1056,1689863939.485923,-,-,520,12.69,4097,1896,2.17,5340,0,79,223,99,64,214,6,1208,21,2121,0.00,0.16,0.03,0.02,0.19,0.01,4.77,0.08,81.98,13.32,0.03,0.24,73.71,95,95,98.92,450,300,101.53,99.60,0.75,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.17,134.51,0.05,5.33,0.00,0.00
5,g++-12 12.3.0,nbody_2.c 5000000,8.799508,1062,1689863948.331267,-,-,527,12.88,4093,1896,2.18,5838,0,60,490,205,122,362,27,1684,45,2459,0.00,0.20,0.11,0.04,0.32,0.04,6.10,0.32,79.92,13.66,0.04,0.40,73.02,94,94,98.89,450,300,102.84,99.51,0.74,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.16,136.32,0.06,5.33,0.00,0.00
6,g++-12 12.3.0,nbody_2.c 5000000,8.791585,1020,1689863957.162450,-,-,519,12.67,4096,1896,2.19,5416,0,8,270,259,141,220,0,1262,34,2216,0.00,0.09,0.12,0.04,0.26,0.00,4.98,0.26,81.52,13.38,0.03,0.33,73.59,96,96,99.05,450,300,101.36,99.54,0.58,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.18,134.73,0.05,5.29,0.00,0.00
7,g++-12 12.3.0,nbody_2.c 5000000,8.876444,1025,1689863966.085459,-,-,518,12.64,4095,1896,2.17,9429,0,8,149,163,144,321,1,1578,316,4775,0.00,0.07,0.05,0.03,0.34,0.00,5.13,1.67,79.99,13.35,0.02,0.52,73.47,97,97,98.80,450,300,101.12,99.40,0.73,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.60,135.74,0.06,5.36,0.00,0.00
8,g++-12 12.3.0,nbody_2.c 5000000,8.861357,1113,1689863974.989176,-,-,517,12.63,4092,1896,2.18,9314,0,163,242,167,54,304,7,1719,187,4428,0.00,0.13,0.03,0.02,0.32,0.01,5.81,1.77,79.19,13.43,0.03,0.53,73.38,96,98,98.74,450,300,101.05,99.34,0.78,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.03,135.19,0.06,5.34,0.00,0.00
9,g++-12 12.3.0,nbody_2.c 5000000,9.177699,1166,1689863984.208789,-,-,504,12.63,3992,1896,2.16,16977,0,13,146,128,109,509,3,2669,1282,8921,0.00,0.09,0.03,0.03,0.57,0.00,7.62,9.95,68.91,13.91,0.03,0.79,72.64,97,97,99.08,450,300,100.99,98.74,0.73,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.56,132.10,0.05,5.53,0.00,0.00
10,g++-12 12.3.0,nbody_2.c 5000000,8.914767,1039,1689863993.161924,-,-,527,12.93,4077,1896,2.16,9965,0,136,603,214,116,581,12,2074,215,4512,0.00,0.27,0.07,0.04,0.51,0.02,6.87,1.57,77.62,13.82,0.04,0.70,72.51,97,97,98.76,450,300,102.89,99.32,0.79,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.33,137.30,0.06,5.41,0.00,0.00
