test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,g++-9 9.5.0,nbody_2.c 50000000,1.00,0.43,0.65,0.11,0.04,0.20,6.42,2.30,0.00,0.00,2.16,82914474363 ns,337417512209,4.070 GHz,776995247994,2.30,82907.67 msec,1.000,337459050106,4.070 GHz,19,156503807343,1981033951,82907.76 msec,1.000,2 C,98201005608,252905183,0.26%,0,182504360792,138,138,0,4248050,453005,10.664,273064453766,3599630,0.00%,293625,13979,4.76%,9778821,273080627775,762075,0.00%,6342947,83341,1.31%,0,0
2,g++-9 9.5.0,nbody_2.c 50000000,0.99,0.43,0.65,0.10,0.04,0.21,6.46,2.31,0.00,0.00,2.05,87242788077 ns,336145347633,3.853 GHz,777141358086,2.31,87231.35 msec,1.000,336131282683,3.853 GHz,41,164237218098,2079160424,87231.52 msec,1.000,2 C,98188618663,252720826,0.26%,0,182493411721,138,138,0,9062843,549119,6.059,273173330256,4750063,0.00%,579346,25603,4.42%,12488486,273080774110,905387,0.00%,4929562,143073,2.90%,0,0
3,g++-9 9.5.0,nbody_2.c 50000000,1.00,0.43,0.65,0.11,0.04,0.20,6.47,2.33,0.00,0.00,1.94,90814544672 ns,333123109103,3.668 GHz,776687535201,2.33,90807.59 msec,1.000,333095482486,3.668 GHz,20,171429223344,2170105394,90807.67 msec,1.000,19 C,98149427769,252981649,0.26%,0,182470497257,140,140,0,3869672,374980,9.690,273086186239,3791356,0.00%,219133,15740,7.18%,10242386,273093757668,1011225,0.00%,5239203,85782,1.64%,0,0
4,g++-9 9.5.0,nbody_2.c 50000000,1.00,0.43,0.65,0.10,0.04,0.20,6.46,2.32,0.00,0.00,1.85,95339936407 ns,334310268447,3.507 GHz,776787248124,2.32,95332.27 msec,1.000,334288677014,3.507 GHz,13,180542799079,2285487179,95332.37 msec,1.000,19 C,98156706197,252438367,0.26%,0,182492775218,136,136,0,5353438,295983,5.529,273063206340,3768594,0.00%,334911,11855,3.54%,12205705,273041228742,922053,0.00%,5773727,107881,1.87%,0,0
5,g++-9 9.5.0,nbody_2.c 50000000,1.00,0.43,0.65,0.10,0.04,0.20,6.43,2.32,0.00,0.00,1.79,98998358660 ns,335434361720,3.389 GHz,776651134082,2.31,98987.93 msec,1.000,335398502389,3.388 GHz,6,187414575446,2372478110,98988.05 msec,1.000,15 C,98150338053,253001346,0.26%,0,182421873766,136,136,0,12736728,2830422,22.223,273059671330,5789437,0.00%,939755,271095,28.85%,20013226,273043715892,943990,0.00%,5533188,131625,2.38%,0,0
6,g++-9 9.5.0,nbody_2.c 50000000,1.00,0.43,0.66,0.10,0.04,0.20,6.49,2.34,0.00,0.00,1.91,91838247653 ns,332524174476,3.621 GHz,777033134131,2.34,91825.56 msec,1.000,332541234711,3.621 GHz,14,173630463303,2197928079,91825.70 msec,1.000,14 C,98189857911,252736141,0.26%,0,182473787137,138,138,0,9125316,756586,8.291,273119777763,4866179,0.00%,556398,36075,6.48%,12802283,273057240300,948340,0.00%,5229858,159013,3.04%,0,0
7,g++-9 9.5.0,nbody_2.c 50000000,1.00,0.43,0.66,0.10,0.04,0.20,6.50,2.34,0.00,0.00,1.89,92464303583 ns,331459032515,3.585 GHz,776620404347,2.34,92456.83 msec,1.000,331483358593,3.585 GHz,2,175057500937,2216049364,92456.93 msec,1.000,6 C,98165234165,252446726,0.26%,0,182510650996,136,136,0,3409455,424003,12.436,273197630028,3666033,0.00%,222507,14373,6.46%,10096350,273092866104,1013363,0.00%,4963968,82620,1.66%,0,0
8,g++-9 9.5.0,nbody_2.c 50000000,1.00,0.45,0.62,0.11,0.05,0.23,6.30,2.22,0.00,0.00,1.89,97855169221 ns,350441693638,3.582 GHz,776612020505,2.22,97844.82 msec,1.000,350431992212,3.582 GHz,19,185115363703,2343414070,97844.97 msec,1.000,13 C,98145499926,252091060,0.26%,0,182465304948,136,136,0,8676662,524970,6.050,273155513296,4740768,0.00%,572472,20300,3.55%,12783338,273073162720,410740,0.00%,6137043,127605,2.08%,0,0
9,g++-9 9.5.0,nbody_2.c 50000000,1.00,0.43,0.65,0.10,0.04,0.21,6.46,2.31,0.00,0.00,1.89,93892544294 ns,336120489927,3.580 GHz,776231122220,2.31,93886.13 msec,1.000,336094212390,3.580 GHz,2,177779349821,2250516419,93886.22 msec,1.000,15 C,98166482209,252917703,0.26%,0,182560624156,137,137,0,6188988,359994,5.817,272967724678,4667788,0.00%,424117,15907,3.75%,13963692,273225268076,923944,0.00%,4935520,102416,2.08%,0,0
10,g++-9 9.5.0,nbody_2.c 50000000,1.00,0.43,0.66,0.10,0.04,0.20,6.49,2.34,0.00,0.00,1.89,92580368437 ns,331717607973,3.583 GHz,776656326214,2.34,92568.53 msec,1.000,331653364403,3.583 GHz,10,175078422404,2216396849,92568.67 msec,1.000,15 C,98130697911,252752135,0.26%,0,182425749362,139,139,0,8104780,682200,8.417,273146078642,4396386,0.00%,526193,24750,4.70%,12429139,273136217985,996979,0.00%,5038499,129455,2.57%,0,0
