test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.8 4.8.5,nbody_2.c 50000000,74.651474,1439,1695314605.826344,-,-,520,12.69,4096,1896,2.23,65210,0,1202,1733,1215,724,1873,4,7450,2756,30580,0.00,0.12,0.03,0.02,0.21,0.00,3.05,1.98,81.82,13.47,0.03,0.32,73.48,97,97,99.44,450,300,101.63,99.50,0.48,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1275.66,1119.10,0.24,21.41,0.00,0.00
2,g++-4.8 4.8.5,nbody_2.c 50000000,76.964942,1259,1695314682.829666,-,-,503,12.61,3990,1896,2.23,65987,0,25,633,1037,715,1605,3,8362,1354,34164,0.00,0.07,0.03,0.02,0.17,0.00,3.36,1.64,82.02,13.33,0.02,0.24,73.79,84,84,99.43,450,300,100.95,99.42,0.47,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1253.47,1090.46,0.26,21.94,0.00,0.00
3,g++-4.8 4.8.5,nbody_2.c 50000000,86.432511,1197,1695314769.299729,-,-,447,12.65,3532,1896,2.23,40210,0,202,732,792,565,1381,9,5966,89,14695,0.00,0.02,0.02,0.01,0.12,0.00,2.25,0.06,84.84,12.89,0.02,0.18,74.27,82,82,99.46,450,300,100.87,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1032.04,850.67,0.25,24.61,0.00,0.00
4,g++-4.8 4.8.5,nbody_2.c 50000000,85.927829,1408,1695314855.263188,-,-,448,12.63,3551,1896,2.24,40075,0,31,470,803,642,1090,1,5922,78,14146,0.00,0.03,0.03,0.01,0.10,0.00,2.34,0.09,84.75,12.99,0.02,0.16,74.21,82,84,99.46,450,300,101.14,99.79,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1026.23,848.43,0.23,24.44,0.00,0.00
5,g++-4.8 4.8.5,nbody_2.c 50000000,85.795999,1225,1695314941.123614,-,-,449,12.64,3554,1896,2.24,40206,0,30,222,703,596,1284,0,6227,160,15506,0.00,0.01,0.02,0.01,0.12,0.00,2.49,0.12,84.57,12.96,0.02,0.19,74.20,81,81,99.44,450,300,101.13,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1024.68,848.01,0.23,24.39,0.00,0.00
6,g++-4.8 4.8.5,nbody_2.c 50000000,86.153674,1252,1695315027.313871,-,-,450,12.64,3557,1896,2.23,40276,0,20,556,690,690,1218,3,6086,76,14564,0.00,0.05,0.02,0.02,0.11,0.00,2.42,0.06,84.66,12.85,0.01,0.16,74.34,80,80,99.49,450,300,100.75,99.79,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1029.02,852.04,0.23,24.49,0.00,0.00
7,g++-4.8 4.8.5,nbody_2.c 50000000,85.840711,1198,1695315113.187950,-,-,449,12.64,3552,1896,2.24,39468,0,34,1187,1261,569,1112,7,4591,18,11997,0.00,0.13,0.02,0.01,0.09,0.00,1.95,0.01,85.11,13.14,0.02,0.14,74.07,84,84,99.44,450,300,101.16,99.79,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1025.30,848.68,0.24,24.42,0.00,0.00
8,g++-4.8 4.8.5,nbody_2.c 50000000,85.911242,1241,1695315199.133943,-,-,449,12.64,3555,1896,2.23,39722,0,19,659,930,558,1097,0,5572,74,14042,0.00,0.07,0.02,0.01,0.10,0.00,2.24,0.05,84.85,13.06,0.01,0.17,74.12,81,81,99.43,450,300,101.13,99.79,0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1026.11,849.71,0.25,24.44,0.00,0.00
9,g++-4.8 4.8.5,nbody_2.c 50000000,85.895260,1101,1695315285.092519,-,-,450,12.61,3565,1896,2.23,39746,0,11,598,632,447,1037,0,5316,60,14085,0.00,0.04,0.02,0.01,0.09,0.00,2.19,0.04,84.98,12.85,0.01,0.15,74.38,86,86,99.47,450,300,100.72,99.78,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1030.24,853.79,0.23,24.41,0.00,0.00
10,g++-4.8 4.8.5,nbody_2.c 50000000,90.112899,1221,1695315375.239624,-,-,507,15.60,3250,1896,2.10,66560,0,1230,35387,17115,6010,8509,30,11013,59,16576,0.00,0.49,0.30,0.13,0.46,0.00,4.17,0.05,78.79,15.41,0.07,0.33,68.59,79,81,99.49,450,300,120.68,99.78,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1076.87,887.62,0.23,30.24,0.00,0.00
