version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
g++-4.4 4.4.7,nbody_2.c 50000000,80.089664,1144,1688134905.52913,-,-,682,17.54,3890,1896,2.02,286114,0,4996,21733,14428,9830,55088,90,100465,4685,57717,0,0.61,0.56,0.29,4.97,0.01,23.4,3.14,49.09,18.35,0.3,5.67,58.13,98,98,87.55,400,300,130.11,98.23,11.9,11.46,0,0,0,0,0,0,0,0,0,1604.45,1376.69,14.59,67.16,0,0
g++-4.6 4.6.4,nbody_2.c 50000000,96.794768,1226,1688135002.73389,-,-,633,20.07,3153,1896,1.95,319154,0,5943,19888,13676,10848,59126,137,115446,1441,56901,0.01,0.68,0.56,0.28,4.34,0.01,23.61,0.53,49.87,18.89,0.27,4.82,55.95,80,82,89.05,400,300,145.15,99.61,10.32,10.24,0,0,0,0,0,0,0,0,0,1340.39,1067.71,14.09,83.04,0,0
g++-4.7 4.7.4,nbody_2.c 50000000,98.807029,1299,1688135101.87427,-,-,557,18.43,3020,1896,2.1,278169,0,6333,13992,7288,5492,29107,64,64908,477,44174,0,0.4,0.34,0.13,2.06,0.01,15.39,0.23,62.99,17.2,0.12,2.15,62.1,78,78,92.76,1067,300,135.97,99.78,6.64,6.64,0,0,0,0,0,0,0,0,0,1179.6,914.24,9.37,75.02,0,0
g++-4.8 4.8.5,nbody_2.c 50000000,104.371195,1346,1688135206.59762,-,-,640,22.23,2877,1896,1.8,398891,0,7563,20948,15572,13082,69323,83,143135,970,68597,0,0.69,0.64,0.29,4.73,0.01,27.18,0.29,43.95,19.75,0.27,5.08,52.67,76,76,88.69,300,300,156.52,99.79,10.74,10.74,0,0,0,0,0,0,0,0,0,1246.51,955.41,14.96,92.77,0,0
g++-4.9 4.9.3,nbody_2.c 50000000,106.56434,1301,1688135313.57787,-,-,612,20.73,2953,1896,1.85,332112,0,6347,16261,16732,13336,68695,100,153913,1079,73023,0,0.56,0.65,0.27,4.63,0.01,28.73,0.31,44.13,19.74,0.26,5.35,53.93,77,78,89.38,383,383,150.4,99.78,10.05,10.05,0,0,0,0,0,0,0,0,0,1273.99,980.61,13.68,92.18,0,0
g++-5 5.5.0,nbody_2.c 50000000,102.936282,1349,1688135416.90725,-,-,618,21.12,2924,1896,1.88,374632,0,7485,16852,13424,11888,64095,95,142965,1046,69193,0,0.55,0.57,0.25,4.51,0.01,27.42,0.35,45.23,19.25,0.23,4.99,54.4,76,78,90.73,300,300,150.69,99.78,8.74,8.74,0,0,0,0,0,0,0,0,0,1228.71,947.29,11.48,87.59,0,0
g++-6 6.5.0,nbody_2.c 50000000,104.405469,1277,1688135521.8864,-,-,625,21.83,2861,1896,1.84,403190,0,7791,26423,18918,14221,77298,65,138737,833,62992,0,0.76,0.75,0.33,5.12,0.01,25.31,0.29,45.6,19.81,0.3,5.24,52.83,78,79,84.97,1050,300,154.37,99.78,14.38,14.38,0,0,0,0,0,0,0,0,0,1247.07,948.02,21.01,96.95,0,0
g++-7 7.5.0,nbody_2.c 50000000,103.687504,1292,1688135626.09284,-,-,602,20.61,2918,1896,1.85,264495,0,2087,58427,24827,13897,70696,102,132694,715,60524,0,0.8,0.72,0.31,4.83,0.01,25.26,0.26,47.2,19.03,0.29,5.38,54.68,80,80,84.1,300,300,147.01,99.78,15.26,15.26,0,0,0,0,0,0,0,0,0,1237.49,937.48,22.52,94.79,0,0
g++-8 ,nbody_2.c 50000000,99.329877,1207,1688135725.98316,-,-,576,19.35,2978,1896,1.96,249149,0,3747,48224,17266,8400,41571,83,91211,735,51540,0,0.62,0.44,0.21,3,0.01,20.45,0.28,55.65,17.77,0.18,3.02,59.68,82,84,91.06,400,300,140.49,99.78,8.34,8.34,0,0,0,0,0,0,0,0,0,1186.87,914.95,11.75,78.66,0,0
g++-9 9.5.0,nbody_2.c 50000000,120.534982,1657,1688135847.05203,-,-,690,25.28,2728,1896,1.75,459513,0,5457,80507,38629,20531,93883,144,171720,988,73531,0,1.02,0.89,0.4,5.4,0.02,27.78,0.29,38.94,20.65,0.33,5.65,48.09,72,73,83.56,400,300,170.7,99.78,15.81,15.81,0,0,0,0,0,0,0,0,0,1439.55,1085.97,26.05,118.32,0,0
