test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,g++-4.4 4.4.7,nbody_2.c 50000000,1.00,0.31,0.77,0.14,0.00,0.09,7.29,3.21,0.01,0.00,2.16,8917429834 ns,36362867782,4.078 GHz,115998957365,3.19,8916.43 msec,1.000,36358935605,4.078 GHz,3,16850536999,213336525,8916.44 msec,1.000,14 C,17157975634,208428,0.00%,0,17610475919,139,139,0,792934,69744,8.796,31513854723,420520,0.00%,43872,1834,4.18%,957419,31374368348,2892,0.00%,17188,9698,56.42%,0,0
2,g++-4.4 4.4.7,nbody_2.c 50000000,0.99,0.31,0.77,0.13,0.00,0.09,7.29,3.23,0.00,0.00,2.15,8965646792 ns,36181833026,4.037 GHz,116568099475,3.22,8963.57 msec,1.000,36195543168,4.038 GHz,7,16857521947,213382112,8963.61 msec,1.000,2 C,17214502145,149833,0.00%,0,17550676989,136,136,0,1095975,86943,7.933,31386231700,489592,0.00%,62678,3595,5.74%,1181300,31379936268,163,0.00%,67069,15097,22.51%,0,0
3,g++-4.4 4.4.7,nbody_2.c 50000000,0.99,0.31,0.77,0.13,0.00,0.09,7.29,3.22,0.00,0.00,2.09,9311366767 ns,36222181741,3.891 GHz,116322081238,3.21,9309.75 msec,1.000,36191450890,3.887 GHz,9,17336810079,219516345,9309.76 msec,1.000,2 C,17182367936,876573,0.01%,0,17564495842,139,139,0,1073488,67656,6.302,31407924818,515681,0.00%,77657,5120,6.59%,1202234,31389428774,364,0.00%,132139,12500,9.46%,0,0
4,g++-4.4 4.4.7,nbody_2.c 50000000,1.00,0.31,0.77,0.13,0.00,0.09,7.28,3.22,0.00,0.00,2.16,8873690381 ns,36193480001,4.079 GHz,116581317322,3.22,8872.73 msec,1.000,36190350357,4.079 GHz,3,16778487773,212397540,8872.73 msec,1.000,4 C,17204238291,66618,0.00%,0,17543865281,140,140,0,864521,65352,7.559,31370097590,354369,0.00%,37695,2991,7.93%,768508,31389852444,304,0.00%,18567,6202,33.40%,0,0
5,g++-4.4 4.4.7,nbody_2.c 50000000,1.00,0.31,0.77,0.13,0.00,0.09,7.28,3.22,0.00,0.00,2.16,8871441427 ns,36126689890,4.073 GHz,116517991559,3.22,8870.40 msec,1.000,36147442151,4.075 GHz,1,16771323964,212283298,8870.41 msec,1.000,3 C,17214956856,72770,0.00%,0,17578279824,137,137,0,622445,43371,6.968,31395582914,383678,0.00%,37881,2092,5.52%,865519,31377186055,952,0.00%,14485,5200,35.90%,0,0
6,g++-4.4 4.4.7,nbody_2.c 50000000,1.00,0.31,0.77,0.13,0.00,0.09,7.29,3.22,0.00,0.00,2.16,8876202028 ns,36210668044,4.080 GHz,116584218248,3.22,8875.32 msec,1.000,36213911674,4.080 GHz,0,16790246053,212533986,8875.32 msec,1.000,3 C,17195402163,308169,0.00%,0,17554683916,137,137,0,992019,178065,17.950,31332867313,433611,0.00%,54349,4039,7.43%,1105069,31382618078,140,0.00%,15681,9586,61.13%,0,0
7,g++-4.4 4.4.7,nbody_2.c 50000000,0.99,0.31,0.77,0.13,0.00,0.09,7.29,3.22,0.00,0.00,2.02,9564869980 ns,36187713367,3.784 GHz,116603078596,3.22,9563.10 msec,1.000,36191964703,3.785 GHz,12,17895855445,226568799,9563.12 msec,1.000,1 C,17188802010,151295,0.00%,0,17557422931,137,137,0,1325510,88850,6.703,31368448864,580639,0.00%,86588,4549,5.25%,1362575,31366677490,1024,0.00%,132758,20122,15.16%,0,0
8,g++-4.4 4.4.7,nbody_2.c 50000000,0.99,0.31,0.77,0.13,0.00,0.09,7.29,3.22,0.00,0.00,2.16,8902822834 ns,36195187503,4.066 GHz,116626027337,3.22,8901.69 msec,1.000,36188936950,4.065 GHz,2,16782809894,212413617,8901.72 msec,1.000,3 C,17207621145,91553,0.00%,0,17570926694,137,137,0,675378,64711,9.581,31380784777,401272,0.00%,66910,13805,20.63%,1049228,31310784473,1363,0.00%,47458,7570,15.95%,0,0
9,g++-4.4 4.4.7,nbody_2.c 50000000,1.00,0.31,0.77,0.14,0.01,0.09,7.29,3.19,0.00,0.00,2.16,8955520757 ns,36399948936,4.065 GHz,116740918050,3.21,8954.57 msec,1.000,36394656924,4.064 GHz,3,16891319936,213812242,8954.57 msec,1.000,3 C,17154806129,472886,0.00%,0,17525038200,138,138,0,918118,60023,6.538,31338548721,430785,0.00%,47874,4345,9.08%,1087052,31443799511,528,0.00%,44759,8558,19.12%,0,0
10,g++-4.4 4.4.7,nbody_2.c 50000000,0.99,0.31,0.77,0.13,0.00,0.09,7.29,3.22,0.00,0.00,2.00,9605239745 ns,36167081462,3.766 GHz,116573596229,3.22,9603.75 msec,1.000,36155224895,3.765 GHz,15,18051087507,228547214,9603.77 msec,1.000,3 C,17199284973,141069,0.00%,0,17552823181,139,139,0,994087,90558,9.110,31369804783,556840,0.00%,79412,6837,8.61%,1325705,31364635802,1902,0.00%,83350,15920,19.10%,0,0
