version,release_date,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 33
g++-4.4,2012-03-13,nbody_2.c 50000000,0,1690883120,271063,nbody_2_g++-4.4,0:00.17,6492,1912,1740,93.8,0.0,285,2,283,0,0,14.7,1.6,0.0,82.9,0.8,0.0,0.0,0.0,15795.0 MiB,6384.8 MiB,1587.0 MiB,7823.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13531.1 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,1,1690883121,271063,nbody_2_g++-4.4,0:01.34,6492,1912,1740,93.8,0.0,285,2,283,0,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,6384.6 MiB,1587.1 MiB,7823.3 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13530.8 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,2,1690883122,271063,nbody_2_g++-4.4,0:02.52,6492,1912,1740,100.0,0.0,285,2,283,0,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6391.7 MiB,1588.0 MiB,7815.3 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13538.0 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,3,1690883123,271063,nbody_2_g++-4.4,0:03.69,6492,1912,1740,100.0,0.0,285,2,283,0,0,12.8,0.8,0.0,86.4,0.0,0.0,0.0,0.0,15795.0 MiB,6391.0 MiB,1588.7 MiB,7815.3 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13537.2 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,4,1690883125,271063,nbody_2_g++-4.4,0:04.87,6492,1912,1740,100.0,0.0,285,2,283,0,0,13.5,0.8,0.0,85.7,0.0,0.0,0.0,0.0,15795.0 MiB,6390.7 MiB,1588.9 MiB,7815.3 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13537.0 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,5,1690883126,271063,nbody_2_g++-4.4,0:06.05,6492,1912,1740,93.8,0.0,285,2,283,0,0,12.9,1.5,0.0,85.6,0.0,0.0,0.0,0.0,15795.0 MiB,6390.5 MiB,1589.2 MiB,7815.3 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13536.8 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,6,1690883127,271063,nbody_2_g++-4.4,0:07.22,6492,1912,1740,100.0,0.0,285,2,283,0,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,6390.5 MiB,1589.2 MiB,7815.3 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13536.8 MiB,
g++-4.4,2012-03-13,nbody_2.c 50000000,7,1690883128,271063,nbody_2_g++-4.4,0:08.40,6492,1912,1740,100.0,0.0,285,2,283,0,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,6390.5 MiB,1589.2 MiB,7815.3 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13536.8 MiB,
g++-4.6,2013-04-12,nbody_2.c 50000000,0,1690883591,271543,nbody_2_g++-4.6,0:00.18,6492,1928,1756,100.0,0.0,281,2,279,0,0,14.3,2.3,0.0,83.5,0.0,0.0,0.0,0.0,15795.0 MiB,6374.0 MiB,1596.9 MiB,7824.0 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13521.2 MiB,
g++-4.6,2013-04-12,nbody_2.c 50000000,1,1690883593,271543,nbody_2_g++-4.6,0:01.35,6492,1928,1756,93.8,0.0,281,2,279,0,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,6374.3 MiB,1596.4 MiB,7824.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13521.4 MiB,
g++-4.6,2013-04-12,nbody_2.c 50000000,2,1690883594,271543,nbody_2_g++-4.6,0:02.53,6492,1928,1756,100.0,0.0,281,2,279,0,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,6381.5 MiB,1597.1 MiB,7816.4 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13528.6 MiB,
g++-4.6,2013-04-12,nbody_2.c 50000000,3,1690883595,271543,nbody_2_g++-4.6,0:03.71,6492,1928,1756,93.8,0.0,281,2,279,0,0,13.3,0.0,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,6381.2 MiB,1597.5 MiB,7816.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13528.4 MiB,
g++-4.6,2013-04-12,nbody_2.c 50000000,4,1690883596,271543,nbody_2_g++-4.6,0:04.88,6492,1928,1756,93.8,0.0,281,2,279,0,0,13.4,0.8,0.0,85.8,0.0,0.0,0.0,0.0,15795.0 MiB,6381.5 MiB,1597.3 MiB,7816.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13528.6 MiB,
g++-4.6,2013-04-12,nbody_2.c 50000000,5,1690883597,271543,nbody_2_g++-4.6,0:06.06,6492,1928,1756,100.0,0.0,281,2,279,0,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6381.2 MiB,1597.6 MiB,7816.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13528.4 MiB,
g++-4.6,2013-04-12,nbody_2.c 50000000,6,1690883598,271543,nbody_2_g++-4.6,0:07.23,6492,1928,1756,100.0,0.0,281,2,279,0,0,12.0,0.8,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6381.5 MiB,1597.3 MiB,7816.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13528.6 MiB,
g++-4.6,2013-04-12,nbody_2.c 50000000,7,1690883600,271543,nbody_2_g++-4.6,0:08.40,6492,1928,1756,100.0,0.0,281,2,279,0,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,6381.5 MiB,1597.3 MiB,7816.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13528.6 MiB,
g++-4.7,2014-06-12,nbody_2.c 50000000,0,1690884064,272015,nbody_2_g++-4.7,0:00.16,6492,1924,1752,93.8,0.0,281,2,279,0,0,15.8,3.8,0.0,80.5,0.0,0.0,0.0,0.0,15795.0 MiB,6368.6 MiB,1599.8 MiB,7826.6 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13518.4 MiB,
g++-4.7,2014-06-12,nbody_2.c 50000000,1,1690884065,272015,nbody_2_g++-4.7,0:01.34,6492,1924,1752,100.0,0.0,281,2,279,0,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6367.4 MiB,1600.7 MiB,7826.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13517.2 MiB,
g++-4.7,2014-06-12,nbody_2.c 50000000,2,1690884066,272015,nbody_2_g++-4.7,0:02.51,6492,1924,1752,100.0,0.0,281,2,279,0,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6382.9 MiB,1593.2 MiB,7818.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13532.7 MiB,
g++-4.7,2014-06-12,nbody_2.c 50000000,3,1690884067,272015,nbody_2_g++-4.7,0:03.68,6492,1924,1752,100.0,0.0,281,2,279,0,0,12.6,0.8,0.0,85.8,0.8,0.0,0.0,0.0,15795.0 MiB,6382.6 MiB,1593.4 MiB,7818.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13532.5 MiB,
g++-4.7,2014-06-12,nbody_2.c 50000000,4,1690884068,272015,nbody_2_g++-4.7,0:04.86,6492,1924,1752,93.8,0.0,281,2,279,0,0,13.0,2.3,0.0,84.0,0.8,0.0,0.0,0.0,15795.0 MiB,6382.9 MiB,1593.2 MiB,7818.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13532.7 MiB,
g++-4.7,2014-06-12,nbody_2.c 50000000,5,1690884069,272015,nbody_2_g++-4.7,0:06.04,6492,1924,1752,100.0,0.0,281,2,279,0,0,12.0,0.8,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6382.4 MiB,1593.7 MiB,7818.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13532.3 MiB,
g++-4.7,2014-06-12,nbody_2.c 50000000,6,1690884071,272015,nbody_2_g++-4.7,0:07.21,6492,1924,1752,93.8,0.0,281,2,279,0,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,6382.2 MiB,1593.9 MiB,7818.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13532.0 MiB,
g++-4.7,2014-06-12,nbody_2.c 50000000,7,1690884072,272015,nbody_2_g++-4.7,0:08.38,6492,1924,1752,100.0,0.0,281,2,279,0,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,6381.9 MiB,1594.2 MiB,7818.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13531.8 MiB,
g++-4.8,2015-06-23,nbody_2.c 50000000,0,1690884530,272527,nbody_2_g++-4.8,0:00.18,6488,1900,1724,100.0,0.0,281,2,279,0,0,14.8,1.6,0.0,83.6,0.0,0.0,0.0,0.0,15795.0 MiB,6369.0 MiB,1597.4 MiB,7828.6 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13520.7 MiB,
g++-4.8,2015-06-23,nbody_2.c 50000000,1,1690884531,272527,nbody_2_g++-4.8,0:01.35,6488,1900,1724,100.0,0.0,281,2,279,0,0,13.3,1.6,0.0,85.2,0.0,0.0,0.0,0.0,15795.0 MiB,6368.0 MiB,1598.1 MiB,7828.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13519.8 MiB,
g++-4.8,2015-06-23,nbody_2.c 50000000,2,1690884532,272527,nbody_2_g++-4.8,0:02.52,6488,1900,1724,100.0,0.0,281,2,279,0,0,12.8,0.8,0.0,86.4,0.0,0.0,0.0,0.0,15795.0 MiB,6374.9 MiB,1599.2 MiB,7820.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13526.7 MiB,
g++-4.8,2015-06-23,nbody_2.c 50000000,3,1690884533,272527,nbody_2_g++-4.8,0:03.70,6488,1900,1724,100.0,0.0,281,2,279,0,0,13.4,0.8,0.0,85.8,0.0,0.0,0.0,0.0,15795.0 MiB,6375.4 MiB,1598.7 MiB,7820.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13527.2 MiB,
g++-4.8,2015-06-23,nbody_2.c 50000000,4,1690884534,272527,nbody_2_g++-4.8,0:04.87,6488,1900,1724,100.0,0.0,281,2,279,0,0,12.0,0.8,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6374.7 MiB,1599.4 MiB,7820.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13526.5 MiB,
g++-4.8,2015-06-23,nbody_2.c 50000000,5,1690884535,272527,nbody_2_g++-4.8,0:06.04,6488,1900,1724,100.0,0.0,281,2,279,0,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6374.9 MiB,1599.2 MiB,7820.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13526.8 MiB,
g++-4.8,2015-06-23,nbody_2.c 50000000,6,1690884537,272527,nbody_2_g++-4.8,0:07.22,6488,1900,1724,100.0,0.0,281,2,279,0,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,6373.9 MiB,1600.2 MiB,7820.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13525.8 MiB,
g++-4.8,2015-06-23,nbody_2.c 50000000,7,1690884538,272527,nbody_2_g++-4.8,0:08.39,6488,1900,1724,93.8,0.0,281,2,279,0,0,13.2,1.6,0.0,85.3,0.0,0.0,0.0,0.0,15795.0 MiB,6373.9 MiB,1600.2 MiB,7820.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13525.8 MiB,
g++-4.9,2015-06-26,nbody_2.c 50000000,0,1690884988,272997,nbody_2_g++-4.9,0:00.18,6488,1904,1732,93.8,0.0,280,2,278,0,0,15.4,0.8,0.0,83.8,0.0,0.0,0.0,0.0,15795.0 MiB,6409.1 MiB,1554.7 MiB,7831.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13563.5 MiB,
g++-4.9,2015-06-26,nbody_2.c 50000000,1,1690884989,272997,nbody_2_g++-4.9,0:01.36,6488,1904,1732,100.0,0.0,280,2,278,0,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,6409.8 MiB,1553.6 MiB,7831.5 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13564.3 MiB,
g++-4.9,2015-06-26,nbody_2.c 50000000,2,1690884991,272997,nbody_2_g++-4.9,0:02.53,6488,1904,1732,93.8,0.0,281,2,279,0,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,6409.3 MiB,1562.0 MiB,7823.7 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13563.8 MiB,
g++-4.9,2015-06-26,nbody_2.c 50000000,3,1690884992,272997,nbody_2_g++-4.9,0:03.70,6488,1904,1732,100.0,0.0,281,2,279,0,0,12.0,0.8,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6410.1 MiB,1561.4 MiB,7823.5 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13564.6 MiB,
g++-4.9,2015-06-26,nbody_2.c 50000000,4,1690884993,272997,nbody_2_g++-4.9,0:04.88,6488,1904,1732,100.0,0.0,281,2,279,0,0,13.8,0.8,0.0,85.4,0.0,0.0,0.0,0.0,15795.0 MiB,6409.8 MiB,1561.6 MiB,7823.6 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13564.3 MiB,
g++-4.9,2015-06-26,nbody_2.c 50000000,5,1690884994,272997,nbody_2_g++-4.9,0:06.05,6488,1904,1732,100.0,0.0,281,2,279,0,0,11.9,1.6,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,6410.3 MiB,1561.1 MiB,7823.6 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13564.8 MiB,
