test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.7 4.7.4,nbody_2.c 50000000,9.117912,1090,1690883730.730620,-,-,515,12.56,4098,1896,3.30,4700,0,2,63,54,47,135,0,634,3,1625,0.00,0.08,0.03,0.01,0.12,0.00,2.37,0.02,84.75,12.98,0.01,0.21,74.24,87,87,99.11,300,300,100.54,99.67,0.73,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.84,138.22,0.04,5.46,0.00,0.00
2,g++-4.7 4.7.4,nbody_2.c 50000000,9.057194,1088,1690883739.890515,-,-,517,12.62,4097,1896,3.30,4860,0,10,119,66,42,119,0,883,17,1987,0.00,0.12,0.03,0.01,0.13,0.00,3.49,0.13,83.40,13.18,0.01,0.21,73.96,91,91,98.98,300,300,101.13,99.58,0.83,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163.88,141.31,0.05,5.43,0.00,0.00
3,g++-4.7 4.7.4,nbody_2.c 50000000,9.101150,1044,1690883749.071495,-,-,517,12.63,4095,1896,3.29,11807,0,1,153,75,53,372,2,1530,701,6317,0.00,0.10,0.01,0.02,0.32,0.01,4.70,4.30,77.82,13.41,0.02,0.40,73.54,96,96,98.79,300,300,101.00,99.31,0.79,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.39,145.49,0.05,5.45,0.00,0.00
4,g++-4.7 4.7.4,nbody_2.c 50000000,9.154449,1060,1690883758.325175,-,-,517,12.64,4093,1896,3.27,19071,0,17,109,72,101,876,0,2769,1058,10748,0.00,0.07,0.03,0.02,0.78,0.00,7.60,5.42,73.30,13.87,0.03,1.00,72.46,98,98,98.76,300,300,101.09,98.96,0.83,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.22,148.87,0.06,5.49,0.00,0.00
5,g++-4.7 4.7.4,nbody_2.c 50000000,9.124547,1091,1690883767.537788,-,-,517,12.64,4087,1896,3.29,10482,0,36,112,65,74,453,4,1535,315,5474,0.00,0.10,0.01,0.02,0.40,0.01,4.99,2.83,78.91,13.38,0.02,0.54,73.42,97,97,98.67,300,300,101.00,99.32,0.91,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170.63,147.41,0.07,5.48,0.00,0.00
6,g++-4.7 4.7.4,nbody_2.c 50000000,9.446580,1118,1690883777.071634,-,-,500,12.56,3983,1896,3.28,20203,0,36,120,71,146,616,3,2406,1873,11269,0.00,0.08,0.02,0.04,0.57,0.01,6.61,10.93,69.01,13.97,0.05,0.86,72.57,96,96,99.35,300,300,100.71,98.57,0.52,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.47,141.61,0.04,5.68,0.00,0.00
7,g++-4.7 4.7.4,nbody_2.c 50000000,9.279309,1091,1690883786.444633,-,-,507,12.55,4039,1896,3.29,12855,0,0,54,71,181,375,0,1580,615,7158,0.00,0.07,0.05,0.04,0.32,0.00,5.20,6.61,75.05,13.56,0.05,0.52,73.32,96,96,98.84,300,300,100.56,99.11,0.80,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.60,144.88,0.06,5.56,0.00,0.00
8,g++-4.7 4.7.4,nbody_2.c 50000000,9.317378,1019,1690883795.848091,-,-,506,12.59,4019,1896,3.29,10631,0,16,134,170,140,352,3,1407,298,5611,0.00,0.09,0.06,0.02,0.30,0.01,4.56,2.79,79.50,13.46,0.02,0.50,73.43,97,97,98.75,300,300,100.78,99.28,0.89,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.46,142.68,0.06,5.60,0.00,0.00
9,g++-4.7 4.7.4,nbody_2.c 50000000,9.316583,1046,1690883805.266011,-,-,504,12.56,4007,1896,3.30,6995,0,11,62,78,44,247,0,1009,90,3210,0.00,0.04,0.03,0.01,0.18,0.00,3.44,0.88,82.78,13.11,0.01,0.29,74.02,97,97,98.88,300,300,100.60,99.50,0.78,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.27,141.52,0.05,5.58,0.00,0.00
10,g++-4.7 4.7.4,nbody_2.c 50000000,9.317140,1154,1690883814.673124,-,-,503,12.56,4002,1896,3.30,6244,0,17,119,95,47,192,3,1077,38,2511,0.00,0.09,0.03,0.02,0.17,0.00,3.66,0.23,83.17,13.12,0.03,0.25,74.04,97,97,98.91,300,300,100.56,99.54,0.76,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.72,141.00,0.05,5.58,0.00,0.00
