test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-5 5.5.0,nbody_2.c 50000000,74.037232,1109,1695320456.205663,-,-,517,12.62,4098,1896,2.31,63527,0,71,734,1112,724,1341,4,7273,2444,32085,0.00,0.03,0.03,0.02,0.16,0.00,3.00,1.43,82.64,13.28,0.02,0.27,73.80,94,94,99.41,450,300,101.16,99.47,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1282.04,1126.61,0.25,21.11,0.00,0.00
2,g++-5 5.5.0,nbody_2.c 50000000,75.285398,1978,1695320531.532707,-,-,515,12.61,4080,1896,2.28,72386,0,104,456,935,829,1816,12,8406,2266,39312,0.00,0.01,0.02,0.02,0.18,0.00,3.42,2.41,81.24,13.19,0.02,0.28,73.89,93,96,99.34,450,300,100.67,99.38,0.49,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1316.34,1156.51,0.27,21.50,0.00,0.00
3,g++-5 5.5.0,nbody_2.c 50000000,82.071709,1256,1695320613.640095,-,-,467,12.61,3702,1896,2.31,104525,0,20,271,912,1033,2128,7,11486,10655,52414,0.00,0.01,0.02,0.02,0.22,0.00,4.03,8.09,74.92,13.48,0.02,0.33,73.56,85,86,99.62,450,300,101.07,99.36,0.43,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1135.46,962.10,0.25,23.36,0.00,0.00
4,g++-5 5.5.0,nbody_2.c 50000000,87.000402,1212,1695320700.673780,-,-,443,12.61,3517,1896,2.29,39731,0,31,455,823,541,971,0,5290,69,13871,0.00,0.02,0.03,0.01,0.08,0.00,2.17,0.05,85.00,12.88,0.02,0.13,74.36,81,82,99.36,450,300,100.82,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1039.16,855.56,0.25,24.74,0.00,0.00
5,g++-5 5.5.0,nbody_2.c 50000000,86.429683,1246,1695320787.159992,-,-,444,12.63,3514,1896,2.31,40005,0,55,630,716,516,1046,5,5816,55,14785,0.00,0.02,0.02,0.01,0.09,0.00,2.27,0.04,84.89,12.90,0.01,0.15,74.31,81,81,99.38,450,300,100.86,99.79,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1032.28,850.15,0.23,24.60,0.00,0.00
6,g++-5 5.5.0,nbody_2.c 50000000,86.109273,1191,1695320873.308417,-,-,444,12.63,3510,1896,2.31,39102,0,13,944,1031,484,840,0,4844,58,13573,0.00,0.11,0.02,0.01,0.07,0.00,2.07,0.05,85.01,13.14,0.01,0.13,74.08,82,82,99.40,450,300,101.21,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1028.48,847.06,0.25,24.48,0.00,0.00
7,g++-5 5.5.0,nbody_2.c 50000000,86.125710,1239,1695320959.470082,-,-,444,12.63,3512,1896,2.31,39083,0,57,803,957,412,859,2,4855,52,12399,0.00,0.08,0.02,0.01,0.07,0.00,2.02,0.03,85.10,13.03,0.01,0.11,74.21,86,87,99.48,450,300,101.12,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1028.61,847.44,0.24,24.49,0.00,0.00
8,g++-5 5.5.0,nbody_2.c 50000000,86.133367,1194,1695321045.639659,-,-,444,12.64,3512,1896,2.31,39301,0,55,782,792,456,1059,4,5840,115,14142,0.00,0.03,0.03,0.01,0.09,0.00,2.30,0.09,84.77,12.98,0.01,0.14,74.23,83,83,99.40,450,300,101.08,99.79,0.41,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1028.75,847.17,0.24,24.51,0.00,0.00
9,g++-5 5.5.0,nbody_2.c 50000000,86.208289,1265,1695321131.905787,-,-,443,12.63,3511,1896,2.31,39356,0,78,441,706,397,1157,1,5789,57,12604,0.00,0.02,0.02,0.01,0.11,0.00,2.28,0.03,84.88,12.94,0.01,0.17,74.26,85,86,99.52,450,300,101.13,99.79,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1029.65,847.82,0.24,24.52,0.00,0.00
10,g++-5 5.5.0,nbody_2.c 50000000,86.209280,1245,1695321218.157081,-,-,444,12.63,3512,1896,2.31,39318,0,35,296,793,634,1365,6,6087,80,13978,0.00,0.02,0.02,0.01,0.12,0.00,2.37,0.05,84.75,13.00,0.01,0.20,74.16,82,82,99.41,450,300,101.17,99.79,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1029.57,847.84,0.24,24.50,0.00,0.00
