test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,g++-8 ,nbody_2.c 50000000,0.99,0.31,0.77,0.14,0.00,0.09,7.11,3.18,0.00,0.00,2.15,7867637044 ns,31857554410,4.050 GHz,101280915313,3.18,7866.22 msec,1.000,31837541105,4.047 GHz,4,14808645993,187488780,7866.20 msec,1.000,1 C,16643521642,73965,0.00%,0,15620103536,136,136,0,820590,83174,10.136,29231667645,457809,0.00%,71562,2567,3.59%,1084810,29231576242,835,0.00%,50857,13276,26.10%,0,0
2,g++-8 ,nbody_2.c 50000000,0.99,0.31,0.77,0.14,0.00,0.09,7.11,3.18,0.00,0.00,2.08,8183490692 ns,31912376069,3.900 GHz,101494966328,3.18,8182.15 msec,1.000,31906291278,3.899 GHz,7,15309983980,193838629,8182.17 msec,1.000,2 C,16668258914,77867,0.00%,0,15601298506,136,136,0,922315,66106,7.167,29200069377,460705,0.00%,76399,5687,7.44%,1242119,29214809358,317,0.00%,106388,13498,12.69%,0,8
3,g++-8 ,nbody_2.c 50000000,0.99,0.31,0.77,0.14,0.00,0.09,7.11,3.18,0.00,0.00,2.02,8437263895 ns,31900441800,3.781 GHz,101423739282,3.18,8435.99 msec,1.000,31898868689,3.781 GHz,7,15788067174,199797532,8436.00 msec,1.000,2 C,16645164871,86616,0.00%,0,15609464327,137,137,0,974364,76730,7.875,29220353393,497813,0.00%,73100,3536,4.84%,1170711,29193734039,961,0.00%,129377,11694,9.04%,0,0
4,g++-8 ,nbody_2.c 50000000,0.99,0.31,0.77,0.14,0.00,0.09,7.11,3.18,0.00,0.00,2.14,7962415109 ns,31903918093,4.007 GHz,101523063363,3.18,7961.46 msec,1.000,31914087196,4.009 GHz,10,14897032196,188576238,7961.46 msec,1.000,1 C,16671310003,66117,0.00%,0,15614380512,141,141,0,509389,39926,7.838,29222411498,379799,0.00%,38651,2931,7.58%,900910,29219322656,241,0.00%,93917,8716,9.28%,0,0
5,g++-8 ,nbody_2.c 50000000,0.99,0.32,0.77,0.14,0.00,0.09,7.14,3.16,0.00,0.00,2.11,8027685791 ns,31956945651,3.981 GHz,100396865596,3.14,8026.65 msec,1.000,31981594917,3.984 GHz,6,15127340710,191484217,8026.65 msec,1.000,2 C,16577872237,62630,0.00%,0,15640945732,137,137,0,724065,52849,7.299,29271626307,464215,0.00%,79131,12412,15.69%,1101581,29217309268,705,0.00%,39767,7392,18.59%,0,0
6,g++-8 ,nbody_2.c 50000000,0.99,0.32,0.77,0.14,0.00,0.09,7.10,3.17,0.01,0.00,2.10,8085314436 ns,31952613914,3.953 GHz,101315827055,3.18,8084.09 msec,1.000,31951025091,3.952 GHz,6,15220654456,192702379,8084.10 msec,1.000,2 C,16701678233,61027,0.00%,0,15653787830,139,139,0,819154,65532,8.000,29270536760,410154,0.00%,59470,3832,6.44%,1172447,29280224390,225,0.00%,46750,9437,20.19%,0,0
7,g++-8 ,nbody_2.c 50000000,0.99,0.31,0.77,0.14,0.00,0.09,7.11,3.18,0.00,0.00,2.09,8146509061 ns,31952290181,3.923 GHz,101100067966,3.17,8145.43 msec,1.000,31941415540,3.921 GHz,9,15290580505,193647836,8145.46 msec,1.000,2 C,16653468017,82937,0.00%,0,15608137367,137,137,0,976795,161981,16.583,29211915495,510577,0.00%,91979,3039,3.30%,1158007,29209835947,415,0.00%,76785,12556,16.35%,0,0
8,g++-8 ,nbody_2.c 50000000,0.98,0.32,0.77,0.14,0.00,0.09,7.11,3.18,0.00,0.00,2.08,8265560365 ns,31882674760,3.858 GHz,101383183378,3.18,8264.52 msec,1.000,31897390559,3.860 GHz,7,15355397724,194336242,8264.53 msec,1.000,2 C,16654653566,81977,0.00%,0,15611039292,138,138,0,841344,178405,21.205,29227055034,477242,0.00%,54741,2222,4.06%,988802,29229225594,226,0.00%,151367,9000,5.95%,0,0
9,g++-8 ,nbody_2.c 50000000,0.99,0.31,0.77,0.14,0.00,0.09,7.11,3.18,0.00,0.00,1.93,8799237676 ns,31891220018,3.625 GHz,101339001719,3.18,8797.57 msec,1.000,31900431656,3.626 GHz,4,16562586754,209691783,8797.59 msec,1.000,2 C,16655165528,98513,0.00%,0,15606335261,139,139,0,1362432,121603,8.925,29205003261,588432,0.00%,95352,3764,3.95%,1454247,29233761088,185,0.00%,111633,19000,17.02%,0,0
10,g++-8 ,nbody_2.c 50000000,0.98,0.31,0.77,0.14,0.00,0.09,7.11,3.18,0.00,0.00,2.08,8238961283 ns,31913519925,3.874 GHz,101491893120,3.18,8237.97 msec,1.000,31911706312,3.874 GHz,3,15347078868,194288779,8237.98 msec,1.000,2 C,16666387274,80039,0.00%,0,15598427489,137,137,0,565021,51824,9.172,29197862556,407048,0.00%,39055,3651,9.35%,993012,29199207776,202,0.00%,159423,10290,6.45%,0,0
