version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
g++-4.4 4.4.7,nbody_2_original.c 50000000,,,,,,,,,,,, ,, ,,, ,,, ,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
g++-4.6 4.6.4,nbody_2_original.c 50000000,,,,,,,,,,,, ,, ,,, ,,, ,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
g++-4.7 4.7.4,nbody_2_original.c 50000000,,,,,,,,,,,, ,, ,,, ,,, ,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
g++-4.8 4.8.5,nbody_2_original.c 50000000,,,,,,,,,,,, ,, ,,, ,,, ,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
g++-4.9 4.9.3,nbody_2_original.c 50000000,,,,,,,,,,,, ,, ,,, ,,, ,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
g++-5 5.5.0,nbody_2_original.c 50000000,,,,,,,,,,,, ,, ,,, ,,, ,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
g++-6 6.5.0,nbody_2_original.c 50000000,1.00,0.49,0.57,0.00,0.02,0.41,5.86,2.05,0.00,0.00,2.16,30261407059 ns,123453093031,4.080 GHz,252553451033,2.05,30259.17 msec,1.000,123454720798,4.080 GHz,6,57233589159,724498320,30259.22 msec,1.000,10 C,21663997296,50239112,0.23%,0,62279690155,141,141,0,2215167,201207,9.083,104657443724,1413208,0.00%,141676,10836,7.65%,3125512,104699644140,1069,0.00%,31036,33601,108.26%,0,0
g++-7 7.5.0,nbody_2_original.c 50000000,1.00,0.49,0.57,0.01,0.02,0.40,5.89,2.05,0.00,0.00,2.16,30221985624 ns,123294873820,4.080 GHz,252535580564,2.05,30220.44 msec,1.000,123302815116,4.080 GHz,1,57156624134,723546557,30220.46 msec,1.000,9 C,21655196614,50234361,0.23%,0,62266691791,139,139,0,1355474,136275,10.054,104677170854,1404837,0.00%,100310,17645,17.59%,2893075,104667855369,287,0.00%,22371,31419,140.45%,0,0
g++-8 ,nbody_2_original.c 50000000,1.00,0.51,0.55,0.01,0.02,0.43,5.86,1.98,0.01,0.00,2.16,30023047071 ns,122470025060,4.079 GHz,241754423946,1.97,30021.66 msec,1.000,122458556951,4.079 GHz,5,56770980226,718672999,30021.68 msec,1.000,12 C,21654211168,50151960,0.23%,0,62254819725,142,142,0,1762859,200084,11.350,104761574862,1337059,0.00%,119663,9529,7.96%,3113018,104642823974,100,0.00%,18338,30759,167.73%,0,0
g++-9 9.5.0,nbody_2_original.c 50000000,1.00,0.47,0.59,0.02,0.02,0.37,5.95,2.12,0.01,0.00,2.16,30071208917 ns,122661393752,4.079 GHz,261849214960,2.13,30069.39 msec,1.000,122643077331,4.079 GHz,4,56860235484,719780382,30069.44 msec,1.000,8 C,21655295564,50265526,0.23%,0,62151713937,143,143,0,2492409,205667,8.252,104683351609,1342876,0.00%,132103,12464,9.44%,3130608,104798849165,287,0.00%,22007,34109,154.99%,0,0
g++-10 10.5.0,nbody_2_original.c 50000000,1.00,0.46,0.60,0.01,0.02,0.38,5.94,2.15,0.00,0.00,2.16,29595908538 ns,120654747194,4.077 GHz,259943798321,2.15,29594.35 msec,1.000,120632434324,4.076 GHz,1,55922405302,707910209,29594.37 msec,1.000,9 C,21658127429,50144568,0.23%,0,62196482840,140,140,0,1419885,327255,23.048,104512212097,1351875,0.00%,126433,8984,7.11%,2654291,104640581481,132,0.00%,31857,26238,82.36%,0,0
g++-11 11.4.0,nbody_2_original.c 50000000,1.00,0.48,0.58,0.02,0.02,0.38,5.82,2.08,0.01,0.00,2.16,30386147621 ns,123960085340,4.080 GHz,258463923609,2.08,30384.46 msec,1.000,123963343550,4.080 GHz,0,57468632642,727479788,30384.48 msec,1.000,8 C,20053109589,50185843,0.25%,0,62174308343,142,142,0,2528761,208702,8.253,104591770472,1492782,0.00%,150216,10937,7.28%,3517216,104673775211,155,0.00%,16410,36385,221.72%,0,0
g++-12 12.3.0,nbody_2_original.c 50000000,1.00,0.48,0.58,0.01,0.02,0.39,5.82,2.10,0.00,0.00,2.16,30187031840 ns,123071057794,4.077 GHz,258412282685,2.10,30185.40 msec,1.000,123038313558,4.076 GHz,3,57035367009,722004494,30185.40 msec,1.000,8 C,20055021085,50161146,0.25%,0,62204628464,140,140,0,1593580,134078,8.414,104613017290,1308085,0.00%,91702,7352,8.02%,3039738,104598127083,3035,0.00%,27150,25644,94.45%,0,0
g++-13 13.1.0,nbody_2_original.c 50000000,1.00,0.43,0.62,0.01,0.02,0.35,6.26,2.35,0.00,0.00,2.16,21626642834 ns,88169161084,4.077 GHz,207085540031,2.35,21625.34 msec,1.000,88168497431,4.077 GHz,4,40884089740,517566053,21625.38 msec,1.000,8 C,12148559825,527792,0.00%,0,46379591462,140,140,0,1071244,108162,10.097,88849399340,888746,0.00%,64412,4000,6.21%,2311521,88857485108,233,0.00%,14464,23723,164.01%,0,0
