test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-6 6.5.0,nbody_2_original.c 50000000,30.042398,1123,1695382750.465136,-,-,519,12.65,4098,1896,2.03,17510,0,64,770,299,155,334,5,2946,125,7727,0.00,0.10,0.03,0.01,0.09,0.00,3.54,0.32,83.16,13.35,0.02,0.16,73.82,91,91,99.14,300,300,101.43,99.50,0.73,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,481.28,406.61,0.14,17.92,0.00,0.00
2,g++-6 6.5.0,nbody_2_original.c 50000000,30.249162,1099,1695382780.752893,-,-,516,12.60,4098,1896,2.03,15937,0,21,345,363,146,352,1,2354,104,7635,0.00,0.13,0.06,0.01,0.09,0.00,2.58,0.44,84.02,13.36,0.01,0.15,73.88,91,91,99.23,300,300,101.03,99.55,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,501.61,424.83,0.10,18.04,0.00,0.00
3,g++-6 6.5.0,nbody_2_original.c 50000000,31.431947,1183,1695382812.220074,-,-,512,12.58,4070,1896,1.97,61672,0,28,481,740,984,1139,1,7687,5657,33488,0.00,0.09,0.03,0.03,0.38,0.00,6.61,11.60,68.52,13.94,0.03,0.63,72.82,96,96,98.94,300,300,100.94,98.81,0.73,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,522.51,443.17,0.16,18.76,0.00,0.00
4,g++-6 6.5.0,nbody_2_original.c 50000000,30.027790,1120,1695382842.281226,-,-,516,12.60,4098,1896,2.04,16178,0,35,278,324,223,542,2,2862,128,7828,0.00,0.05,0.05,0.02,0.14,0.00,3.27,0.36,83.45,13.17,0.02,0.18,74.02,92,92,99.19,300,300,100.97,99.53,0.48,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.66,429.80,0.10,17.91,0.00,0.00
5,g++-6 6.5.0,nbody_2_original.c 50000000,30.952500,1168,1695382873.267313,-,-,506,12.57,4028,1896,2.02,72196,0,45,250,467,458,2874,0,10590,7080,40097,0.00,0.03,0.03,0.03,0.77,0.00,8.15,11.92,66.30,14.14,0.03,1.05,72.20,95,98,99.06,300,300,100.85,98.42,0.71,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.08,427.16,0.15,18.49,0.00,0.00
6,g++-6 6.5.0,nbody_2_original.c 50000000,30.014252,1092,1695382903.315867,-,-,517,12.60,4098,1896,2.04,16156,0,57,316,214,163,650,1,3077,145,7830,0.00,0.05,0.04,0.01,0.16,0.00,3.29,0.43,83.35,13.14,0.02,0.21,74.03,94,94,99.21,300,300,100.98,99.57,0.49,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.56,429.66,0.10,17.91,0.00,0.00
7,g++-6 6.5.0,nbody_2_original.c 50000000,30.099797,1076,1695382933.451473,-,-,517,12.62,4098,1896,2.04,16650,0,49,329,207,218,490,9,3019,92,7204,0.00,0.05,0.01,0.02,0.14,0.00,3.28,0.24,83.59,12.91,0.01,0.13,74.32,95,95,98.92,300,300,100.60,99.66,0.73,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,506.60,430.39,0.15,17.98,0.00,0.00
8,g++-6 6.5.0,nbody_2_original.c 50000000,31.162151,1093,1695382964.646851,-,-,503,12.58,3995,1896,2.02,57348,0,34,467,619,388,1749,2,7588,4439,32498,0.00,0.09,0.05,0.02,0.53,0.00,6.20,9.58,70.76,14.04,0.03,0.82,72.53,93,97,99.41,300,300,100.83,98.65,0.47,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498.48,419.95,0.10,18.59,0.00,0.00
9,g++-6 6.5.0,nbody_2_original.c 50000000,31.571753,1102,1695382996.253252,-,-,503,12.56,4005,1896,2.00,58247,0,17,324,370,291,1823,1,7433,4676,32322,0.00,0.07,0.03,0.02,0.50,0.00,5.97,9.98,70.70,13.97,0.03,0.83,72.62,94,97,99.15,300,300,100.81,98.68,0.72,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,506.64,427.05,0.15,18.84,0.00,0.00
10,g++-6 6.5.0,nbody_2_original.c 50000000,31.067286,1078,1695383027.355091,-,-,508,12.71,3994,1896,2.02,57459,0,1283,1074,809,935,1682,4,7414,3944,30146,0.00,0.14,0.06,0.04,0.53,0.00,6.09,8.64,71.64,14.09,0.04,0.81,72.35,96,96,99.44,300,300,101.82,98.82,0.46,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,499.03,420.78,0.10,18.60,0.00,0.00
