test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,g++-8 ,nbody_2_original.c 50000000,1.00,0.33,0.76,0.01,0.00,0.23,7.12,3.05,0.00,0.00,2.16,2802386809 ns,11421052769,4.076 GHz,34805284655,3.05,2801.77 msec,1.000,11421382633,4.076 GHz,0,5297396661,67036095,2801.77 msec,1.000,22 C,650675547,14018,0.00%,0,6202637181,140,140,0,330987,158857,47.995,8553318865,97175,0.00%,7060,509,7.21%,307762,8559064121,23,0.00%,1337,2977,222.66%,0,0
2,g++-8 ,nbody_2_original.c 50000000,1.00,0.33,0.76,0.01,0.00,0.23,7.12,3.05,0.00,0.00,2.16,2803893296 ns,11421701488,4.075 GHz,34802805960,3.05,2803.10 msec,1.000,11423607253,4.075 GHz,2,5299565111,67091829,2803.12 msec,1.000,9 C,651634603,19783,0.00%,0,6208073584,144,144,0,570853,168977,29.601,8554138334,118824,0.00%,14231,1178,8.28%,343552,8553728687,87,0.00%,3384,2938,86.82%,0,0
3,g++-8 ,nbody_2_original.c 50000000,1.00,0.33,0.76,0.01,0.00,0.23,7.12,3.05,0.00,0.00,2.16,2807193287 ns,11419651598,4.069 GHz,34802611436,3.05,2806.27 msec,1.000,11429899829,4.073 GHz,0,5300089137,67095810,2806.28 msec,1.000,7 C,651440002,21116,0.00%,0,6208004935,144,144,0,541660,169481,31.289,8572600092,154189,0.00%,16306,1610,9.87%,454548,8556615244,175,0.00%,3078,5159,167.61%,0,0
4,g++-8 ,nbody_2_original.c 50000000,1.00,0.33,0.75,0.01,0.00,0.25,6.95,2.98,0.00,0.00,2.16,2851261917 ns,11611403285,4.073 GHz,34709070708,2.99,2850.67 msec,1.000,11616718830,4.075 GHz,0,5386588053,68197629,2850.67 msec,1.000,14 C,650246717,15121,0.00%,0,6209800562,144,144,0,196708,20072,10.204,8575499203,99182,0.00%,8583,1510,17.59%,362087,8576118672,100,0.00%,1983,3341,168.48%,0,0
5,g++-8 ,nbody_2_original.c 50000000,1.00,0.35,0.71,0.01,0.00,0.28,6.71,2.85,0.00,0.00,2.15,3003868871 ns,12215483937,4.067 GHz,34772502202,2.85,3003.39 msec,1.000,12205311222,4.064 GHz,1,5665753881,71679831,3003.39 msec,1.000,15 C,649967016,19125,0.00%,0,6206768620,141,141,0,148942,22909,15.381,8564830793,114502,0.00%,9839,1634,16.61%,324334,8563253625,46,0.00%,3011,3770,125.21%,0,0
6,g++-8 ,nbody_2_original.c 50000000,0.99,0.33,0.75,0.01,0.00,0.24,7.02,3.00,0.00,0.00,2.16,2853379259 ns,11591699991,4.064 GHz,34820860574,3.00,2852.58 msec,1.000,11598041533,4.066 GHz,1,5384749690,68157749,2852.59 msec,1.000,3 C,652065028,18192,0.00%,0,6217073456,144,144,0,305016,23551,7.721,8566123971,138487,0.00%,19357,1488,7.69%,420228,8538394081,186,0.00%,7024,4830,68.76%,0,0
7,g++-8 ,nbody_2_original.c 50000000,0.99,0.33,0.75,0.01,0.00,0.24,7.02,3.00,0.00,0.01,2.14,2889544840 ns,11596415532,4.014 GHz,34812173602,3.00,2888.72 msec,1.000,11594064057,4.014 GHz,5,5415847919,68573577,2888.72 msec,1.000,2 C,651772197,25034,0.00%,0,6191772373,140,140,0,402333,32848,8.164,8566022859,152116,0.00%,23127,996,4.31%,428149,8550891572,761,0.00%,9015,5237,58.09%,0,0
8,g++-8 ,nbody_2_original.c 50000000,1.00,0.33,0.75,0.01,0.00,0.24,7.03,3.00,0.00,0.00,2.16,2844521990 ns,11598210656,4.078 GHz,34846281196,3.01,2844.01 msec,1.000,11593317779,4.076 GHz,1,5374554915,68010443,2844.01 msec,1.000,8 C,650863603,14791,0.00%,0,6203176753,142,142,0,168526,28727,17.046,8548161360,122845,0.00%,12806,1213,9.47%,342692,8559792995,92,0.00%,1449,3749,258.73%,0,0
9,g++-8 ,nbody_2_original.c 50000000,0.99,0.33,0.75,0.01,0.00,0.24,7.02,3.00,0.00,0.00,2.10,2938618720 ns,11589822669,3.945 GHz,34819499602,3.00,2937.56 msec,1.000,11591416530,3.946 GHz,4,5503510782,69675962,2937.57 msec,1.000,2 C,651026022,27808,0.00%,0,6205977674,140,140,0,424662,177141,41.713,8563039531,230339,0.00%,50436,3361,6.66%,516833,8543998437,886,0.00%,8224,6068,73.78%,0,0
10,g++-8 ,nbody_2_original.c 50000000,0.98,0.33,0.76,0.01,0.00,0.23,7.12,3.04,0.00,0.00,2.09,2943887197 ns,11454906653,3.892 GHz,34882306502,3.05,2942.93 msec,1.000,11458319715,3.893 GHz,2,5484682497,69456863,2942.94 msec,1.000,2 C,651978126,32863,0.01%,0,6202078453,141,141,0,473999,58920,12.430,8560664066,245576,0.00%,51104,14111,27.61%,568248,8533895582,351,0.00%,10687,4839,45.28%,0,0
