version,release_date,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 43
g++-6,2018-10-26,nbody_2_original.c 50000000,0,1692622304,91696,nbody_2_origina,0:00.16,6524.0,1976.0,1804.0,100.0,0.0,1.0,5.0,0:00,0.0,4.0,592.0,0.0,228.0,0.0,1976.0,297,2,278,17,0,14.5,0.8,0.0,84.7,0.0,0.0,0.0,0.0,15795.0 MiB,6950.3 MiB,1636.3 MiB,7208.4 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13450.8 MiB,
g++-6,2018-10-26,nbody_2_original.c 50000000,1,1692622306,91696,nbody_2_origina,0:01.33,6524.0,1976.0,1804.0,93.8,0.0,1.0,5.0,0:01,0.0,4.0,592.0,0.0,228.0,0.0,1976.0,297,2,278,17,0,12.4,0.0,0.0,87.6,0.0,0.0,0.0,0.0,15795.0 MiB,6957.0 MiB,1637.3 MiB,7200.7 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13457.5 MiB,
g++-6,2018-10-26,nbody_2_original.c 50000000,2,1692622307,91696,nbody_2_origina,0:02.50,6524.0,1976.0,1804.0,100.0,0.0,1.0,5.0,0:02,0.0,4.0,592.0,0.0,228.0,0.0,1976.0,297,2,278,17,0,13.1,0.8,0.0,86.2,0.0,0.0,0.0,0.0,15795.0 MiB,6956.0 MiB,1638.3 MiB,7200.7 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13456.6 MiB,
g++-7,2019-11-14,nbody_2_original.c 50000000,0,1692622698,92130,nbody_2_origina,0:00.16,6528.0,1896.0,1720.0,100.0,0.0,1.0,0.0,0:00,0.0,8.0,592.0,0.0,226.0,0.0,1896.0,296,2,277,17,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,6939.8 MiB,1644.1 MiB,7211.1 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13443.0 MiB,
g++-7,2019-11-14,nbody_2_original.c 50000000,1,1692622699,92130,nbody_2_origina,0:01.33,6528.0,1896.0,1720.0,100.0,0.0,1.0,0.0,0:01,0.0,8.0,592.0,0.0,226.0,0.0,1896.0,297,2,278,17,0,13.1,0.8,0.0,86.2,0.0,0.0,0.0,0.0,15795.0 MiB,6939.3 MiB,1644.2 MiB,7211.5 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13442.6 MiB,
g++-7,2019-11-14,nbody_2_original.c 50000000,2,1692622700,92130,nbody_2_origina,0:02.50,6528.0,1896.0,1720.0,100.0,0.0,1.0,0.0,0:02,0.0,8.0,592.0,0.0,226.0,0.0,1896.0,297,2,278,17,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,6947.7 MiB,1643.8 MiB,7203.5 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13451.0 MiB,
g++-8,2021-05-14,nbody_2_original.c 50000000,0,1692623094,92532,nbody_2_origina,0:00.16,6528.0,1960.0,1784.0,100.0,0.0,1.0,3.0,0:00,0.0,8.0,592.0,0.0,224.0,0.0,1960.0,296,2,277,17,0,13.8,1.5,0.0,84.6,0.0,0.0,0.0,0.0,15795.0 MiB,6950.0 MiB,1632.7 MiB,7212.3 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13454.4 MiB,
g++-8,2021-05-14,nbody_2_original.c 50000000,1,1692623095,92532,nbody_2_origina,0:01.33,6528.0,1960.0,1784.0,100.0,0.0,1.0,3.0,0:01,0.0,8.0,592.0,0.0,224.0,0.0,1960.0,296,2,277,17,0,12.9,1.5,0.0,85.6,0.0,0.0,0.0,0.0,15795.0 MiB,6943.9 MiB,1636.9 MiB,7214.2 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13449.9 MiB,
g++-8,2021-05-14,nbody_2_original.c 50000000,2,1692623096,92532,nbody_2_origina,0:02.50,6528.0,1960.0,1784.0,100.0,0.0,1.0,3.0,0:02,0.0,8.0,592.0,0.0,224.0,0.0,1960.0,297,2,278,17,0,12.3,0.8,0.0,86.9,0.0,0.0,0.0,0.0,15795.0 MiB,6957.2 MiB,1631.6 MiB,7206.2 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13463.2 MiB,
g++-9,2022-05-27,nbody_2_original.c 50000000,0,1692623489,93762,nbody_2_origina,0:00.16,6528.0,2012.0,1840.0,93.8,0.0,1.0,0.0,0:00,0.0,8.0,592.0,0.0,223.0,0.0,2012.0,297,2,278,17,0,13.8,1.5,0.0,84.6,0.0,0.0,0.0,0.0,15795.0 MiB,6947.4 MiB,1625.6 MiB,7221.9 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13461.4 MiB,
g++-9,2022-05-27,nbody_2_original.c 50000000,1,1692623490,93762,nbody_2_origina,0:01.33,6528.0,2012.0,1840.0,100.0,0.0,1.0,4.0,0:01,0.0,8.0,592.0,0.0,223.0,0.0,2012.0,297,2,278,17,0,12.4,0.8,0.0,86.0,0.8,0.0,0.0,0.0,15795.0 MiB,6947.2 MiB,1625.7 MiB,7222.1 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13461.1 MiB,
g++-9,2022-05-27,nbody_2_original.c 50000000,2,1692623492,93762,nbody_2_origina,0:02.50,6528.0,2012.0,1840.0,100.0,0.0,1.0,4.0,0:02,0.0,8.0,592.0,0.0,223.0,0.0,2012.0,297,2,278,17,0,13.7,0.8,0.0,85.5,0.0,0.0,0.0,0.0,15795.0 MiB,6948.0 MiB,1632.9 MiB,7214.1 MiB,4096.0 MiB,4091.7 MiB,4.2 MiB,13461.9 MiB,
