test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-13 13.1.0,nbody_2_original.c 50000000,2.851639,1181,1695028520.006139,-,-,519,12.67,4095,1896,3.01,1704,0,0,50,66,38,57,0,369,3,845,0.00,0.12,0.10,0.04,0.23,0.00,4.69,0.06,82.00,13.44,0.03,0.26,73.60,79,79,99.17,450,300,101.51,99.49,0.77,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.56,41.46,0.02,1.71,0.00,0.00
2,g++-13 13.1.0,nbody_2_original.c 50000000,2.852364,1078,1695028522.897559,-,-,519,12.67,4095,1896,3.01,1738,0,3,90,74,19,48,0,381,3,704,0.00,0.24,0.06,0.03,0.16,0.00,4.56,0.11,82.09,13.44,0.04,0.16,73.69,88,92,98.76,450,300,101.35,99.53,0.93,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.80,42.71,0.02,1.71,0.00,0.00
3,g++-13 13.1.0,nbody_2_original.c 50000000,2.862188,1163,1695028525.795151,-,-,517,12.63,4096,1896,3.01,1686,0,4,77,56,24,41,1,364,8,721,0.00,0.17,0.03,0.03,0.17,0.00,5.20,0.25,81.44,13.28,0.03,0.13,73.92,93,93,98.67,450,300,101.13,99.49,0.94,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.17,42.98,0.03,1.72,0.00,0.00
4,g++-13 13.1.0,nbody_2_original.c 50000000,2.853086,1126,1695028528.683157,-,-,520,12.69,4094,1896,3.00,1870,0,0,107,48,36,93,0,583,4,676,0.00,0.16,0.06,0.04,0.25,0.00,7.39,0.05,79.27,13.51,0.03,0.36,73.41,86,86,98.88,450,300,101.67,99.48,1.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.85,42.75,0.03,1.72,0.00,0.00
5,g++-13 13.1.0,nbody_2_original.c 50000000,2.862733,1111,1695028531.580661,-,-,519,12.67,4094,1896,3.00,3913,0,1,62,32,44,117,0,704,176,2054,0.00,0.18,0.03,0.04,0.41,0.00,6.73,2.82,77.02,13.72,0.04,0.41,73.16,94,97,98.65,450,300,101.51,99.25,0.91,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.24,44.05,0.03,1.72,0.00,0.00
6,g++-13 13.1.0,nbody_2_original.c 50000000,2.895524,1107,1695028534.509746,-,-,528,12.93,4086,1896,2.93,2223,0,51,438,375,227,312,1,567,5,834,0.00,0.35,0.35,0.26,0.61,0.00,6.77,0.13,78.51,14.17,0.26,0.54,72.10,90,90,99.05,450,300,102.78,99.42,0.75,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.27,43.90,0.02,1.75,0.00,0.00
7,g++-13 13.1.0,nbody_2_original.c 50000000,2.926593,1145,1695028537.471861,-,-,510,12.69,4020,1896,2.98,4823,0,7,90,89,33,138,3,905,273,2497,0.00,0.19,0.13,0.05,0.39,0.03,8.83,7.84,69.68,14.16,0.03,0.64,72.48,95,98,98.85,450,300,101.77,98.87,0.94,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.62,43.28,0.03,1.76,0.00,0.00
8,g++-13 13.1.0,nbody_2_original.c 50000000,2.853360,1125,1695028540.360874,-,-,520,12.70,4095,1896,3.00,1773,0,2,124,66,37,74,0,447,0,742,0.00,0.25,0.08,0.03,0.15,0.00,5.71,0.00,81.00,13.56,0.04,0.17,73.53,93,93,98.73,450,300,101.58,99.51,0.96,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.05,43.89,0.03,1.72,0.00,0.00
9,g++-13 13.1.0,nbody_2_original.c 50000000,2.864057,1091,1695028543.260067,-,-,521,12.71,4096,1896,2.99,1750,0,0,70,66,33,58,0,396,5,756,0.00,0.11,0.19,0.07,0.24,0.00,4.97,0.14,81.49,13.45,0.04,0.24,73.57,92,92,98.64,450,300,101.75,99.57,0.98,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.17,44.81,0.03,1.72,0.00,0.00
10,g++-13 13.1.0,nbody_2_original.c 50000000,2.928348,1065,1695028546.223696,-,-,517,12.62,4097,1896,2.94,1697,0,0,88,159,78,69,0,321,2,644,0.00,0.08,0.13,0.05,0.25,0.00,4.12,0.05,82.65,13.15,0.05,0.26,73.92,95,95,98.59,450,300,100.84,99.65,1.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.88,45.40,0.03,1.76,0.00,0.00
