test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,g++-9 9.5.0,nbody_2.c 50000000,1.00,0.31,0.77,0.13,0.00,0.10,7.01,3.19,0.00,0.00,2.16,8051908612 ns,32772356929,4.071 GHz,104673304379,3.19,8051.03 msec,1.000,32767311651,4.070 GHz,1,15195034390,192330595,8051.04 msec,1.000,9 C,16691876636,92217,0.00%,0,16004562884,136,136,0,486886,38429,7.893,29995356662,320347,0.00%,31888,2074,6.50%,886800,29967224181,1045,0.00%,22770,5739,25.20%,0,0
2,g++-9 9.5.0,nbody_2.c 50000000,1.00,0.31,0.77,0.13,0.00,0.10,7.02,3.19,0.00,0.00,2.16,8050018982 ns,32828182491,4.078 GHz,104531201163,3.18,8049.21 msec,1.000,32830987490,4.079 GHz,0,15221774101,192695065,8049.21 msec,1.000,4 C,16665526109,86078,0.00%,0,16027740537,137,137,0,978593,74081,7.570,29986482763,436614,0.00%,48174,3823,7.94%,1266951,30001889211,1480,0.00%,10845,13480,124.30%,0,0
3,g++-9 9.5.0,nbody_2.c 50000000,0.99,0.31,0.77,0.13,0.00,0.10,7.03,3.19,0.00,0.00,2.14,8199080361 ns,32771804092,3.997 GHz,104767252578,3.20,8198.09 msec,1.000,32797371591,4.001 GHz,5,15342753910,194221308,8198.10 msec,1.000,2 C,16705948879,83619,0.00%,0,16030314216,137,137,0,399185,48639,12.185,30026141390,389462,0.00%,35574,2880,8.10%,954676,29975395283,201,0.00%,98447,9736,9.89%,0,0
4,g++-9 9.5.0,nbody_2.c 50000000,0.99,0.31,0.77,0.13,0.00,0.10,7.03,3.20,0.00,0.00,1.96,8886850830 ns,32772015119,3.688 GHz,104605041828,3.19,8885.45 msec,1.000,32764563466,3.687 GHz,10,16730797889,211778754,8885.47 msec,1.000,1 C,16673795649,102204,0.00%,0,15995192580,140,140,0,1323929,228041,17.225,29975578791,561745,0.00%,84467,7181,8.50%,1382147,29986883122,1924,0.00%,81781,13776,16.84%,0,0
5,g++-9 9.5.0,nbody_2.c 50000000,0.98,0.31,0.77,0.12,0.00,0.10,7.05,3.19,0.00,0.00,2.10,8423358566 ns,32924143058,3.909 GHz,104927536989,3.19,8422.16 msec,1.000,32890625982,3.905 GHz,5,15678603584,198467582,8422.19 msec,1.000,2 C,16700600410,81839,0.00%,0,15999979548,139,139,0,676813,52333,7.732,29943448443,447203,0.00%,51761,4211,8.14%,1001267,29986243557,2632,0.00%,141774,12271,8.66%,0,0
6,g++-9 9.5.0,nbody_2.c 50000000,0.99,0.32,0.77,0.13,0.00,0.11,7.01,3.13,0.01,0.00,2.10,8446415576 ns,33315543567,3.945 GHz,105071406994,3.16,8445.39 msec,1.000,33300935204,3.943 GHz,7,15879583769,201041200,8445.40 msec,1.000,2 C,16681803695,127294,0.00%,0,15974203240,138,138,0,912577,59642,6.536,30044338720,461515,0.00%,61832,3764,6.09%,1232783,29927766706,815,0.00%,64364,14610,22.70%,0,0
7,g++-9 9.5.0,nbody_2.c 50000000,0.99,0.31,0.77,0.13,0.00,0.10,7.03,3.20,0.00,0.00,1.93,9010349447 ns,32772681234,3.638 GHz,104664142870,3.19,9008.93 msec,1.000,32791174012,3.640 GHz,9,16965245717,214765161,9008.95 msec,1.000,3 C,16710840943,93190,0.00%,0,16002705686,137,137,0,1223007,199245,16.291,29947228841,607209,0.00%,81075,4098,5.05%,1343413,29948424520,844,0.00%,101476,13725,13.53%,0,0
8,g++-9 9.5.0,nbody_2.c 50000000,0.99,0.31,0.77,0.13,0.00,0.10,7.04,3.20,0.00,0.00,2.07,8432477147 ns,32792149741,3.889 GHz,104685447394,3.19,8431.32 msec,1.000,32777001028,3.888 GHz,12,15805375819,200082071,8431.33 msec,1.000,2 C,16706794935,186454,0.00%,0,15998990723,138,138,0,723517,55381,7.654,29950713173,374488,0.00%,37634,2418,6.43%,979289,29944151164,651,0.00%,85932,10322,12.01%,0,0
9,g++-9 9.5.0,nbody_2.c 50000000,0.98,0.31,0.77,0.13,0.00,0.10,7.04,3.19,0.00,0.00,2.07,8497259869 ns,32774014406,3.857 GHz,104728487554,3.20,8496.25 msec,1.000,32755405237,3.855 GHz,2,15830621906,200297775,8496.28 msec,1.000,2 C,16698363167,91208,0.00%,0,15984912496,139,139,0,634102,57823,9.119,29928922870,405486,0.00%,34729,1725,4.97%,980370,29984928848,242,0.00%,135371,10449,7.72%,0,0
10,g++-9 9.5.0,nbody_2.c 50000000,0.99,0.31,0.77,0.13,0.00,0.10,7.02,3.19,0.00,0.00,2.06,8468361443 ns,32773468304,3.871 GHz,104735206593,3.20,8467.24 msec,1.000,32773508183,3.871 GHz,9,15938268032,201760662,8467.27 msec,1.000,2 C,16695235270,69203,0.00%,0,15991978220,139,139,0,564846,51165,9.058,29988652671,380814,0.00%,38961,2342,6.01%,904068,29940016688,303,0.00%,55803,7456,13.36%,0,0
