test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-7 7.5.0,nbody_2.c 50000000,8.109201,1150,1695033801.452127,-,-,519,12.66,4098,1896,3.18,4590,0,2,136,80,75,168,0,882,20,1888,0.00,0.08,0.03,0.03,0.19,0.00,3.89,0.27,82.79,13.16,0.06,0.25,73.87,91,91,99.12,300,300,101.18,99.57,0.72,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.15,134.02,0.04,4.84,0.00,0.00
2,g++-7 7.5.0,nbody_2.c 50000000,8.503004,1175,1695033809.991775,-,-,499,12.65,3945,1896,3.15,16906,0,48,355,259,155,745,10,2444,1445,9130,0.00,0.15,0.04,0.06,0.73,0.00,7.29,10.04,68.87,14.04,0.06,0.81,72.45,97,97,99.21,300,300,101.28,98.68,0.77,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.68,129.50,0.05,5.09,0.00,0.00
3,g++-7 7.5.0,nbody_2.c 50000000,8.191033,1166,1695033818.218123,-,-,517,12.67,4076,1896,3.16,12484,0,0,197,158,143,496,0,1913,720,6545,0.00,0.12,0.08,0.04,0.51,0.00,6.97,6.94,72.55,13.80,0.06,0.77,72.69,97,97,98.82,300,300,101.55,99.11,0.82,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.23,138.57,0.05,4.90,0.00,0.00
4,g++-7 7.5.0,nbody_2.c 50000000,8.959200,1173,1695033827.212791,-,-,475,12.68,3743,1896,3.15,25794,0,30,236,133,281,922,2,3543,2088,14459,0.00,0.22,0.03,0.08,0.76,0.00,9.51,9.60,66.99,14.56,0.08,0.86,71.81,96,96,99.18,300,300,101.61,98.83,0.78,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.42,119.64,0.05,5.36,0.00,0.00
5,g++-7 7.5.0,nbody_2.c 50000000,8.957351,1185,1695033836.206964,-,-,476,12.75,3737,1896,3.14,24622,0,4,161,288,908,684,3,3581,1966,14336,0.00,0.12,0.05,0.09,0.75,0.01,9.87,9.06,67.20,14.47,0.05,1.03,71.70,97,97,99.20,300,300,102.07,98.94,0.75,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.03,120.36,0.05,5.36,0.00,0.00
6,g++-7 7.5.0,nbody_2.c 50000000,9.008813,1208,1695033845.251398,-,-,476,12.65,3761,1896,3.12,24890,0,38,133,493,477,586,3,3344,2027,14273,0.00,0.10,0.11,0.05,0.64,0.00,8.85,9.80,67.66,14.41,0.03,1.01,71.89,93,97,99.23,300,300,101.49,98.82,0.74,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,144.26,121.35,0.05,5.39,0.00,0.00
7,g++-7 7.5.0,nbody_2.c 50000000,8.295094,1168,1695033853.582706,-,-,508,12.59,4033,1896,3.18,10023,0,2,86,169,143,254,1,1323,397,5613,0.00,0.09,0.07,0.04,0.25,0.00,4.95,4.72,77.19,13.44,0.04,0.36,73.57,95,98,99.00,300,300,100.71,99.25,0.73,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.51,136.40,0.05,4.96,0.00,0.00
8,g++-7 7.5.0,nbody_2.c 50000000,8.445751,1108,1695033862.064612,-,-,500,12.60,3966,1896,3.17,14595,0,45,129,152,109,296,0,2008,1242,7884,0.00,0.12,0.03,0.02,0.35,0.00,6.51,11.12,69.10,13.74,0.03,0.50,73.13,97,97,98.84,300,300,100.79,98.89,0.80,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.43,132.90,0.05,5.05,0.00,0.00
9,g++-7 7.5.0,nbody_2.c 50000000,8.508848,1188,1695033870.608132,-,-,496,12.58,3944,1896,3.17,15345,0,0,184,165,79,367,0,2372,1325,8543,0.00,0.15,0.04,0.03,0.43,0.00,7.30,12.34,66.96,14.08,0.04,0.65,72.65,95,95,98.83,300,300,101.01,98.66,0.79,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.95,132.33,0.05,5.09,0.00,0.00
10,g++-7 7.5.0,nbody_2.c 50000000,9.269074,1067,1695033879.912276,-,-,498,12.59,3957,1896,2.90,16386,0,39,194,130,90,416,2,2371,1352,8811,0.00,0.17,0.08,0.03,0.42,0.00,7.04,11.96,67.57,14.08,0.03,0.66,72.64,96,96,98.82,300,300,100.97,98.80,0.78,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167.23,143.71,0.05,5.54,0.00,0.00
