test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.4 4.4.7,nbody_2.c 50000000,8.866040,1061,1692871604.988324,-,-,518,12.64,4097,1896,3.18,4548,0,3,98,104,29,92,2,853,14,1892,0.00,0.08,0.07,0.02,0.09,0.01,3.33,0.04,83.67,13.08,0.03,0.11,74.14,84,87,99.13,300,300,101.03,99.62,0.68,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151.91,129.99,0.04,4.71,0.00,0.00
2,g++-4.4 4.4.7,nbody_2.c 50000000,8.863982,1080,1692871613.889022,-,-,519,12.67,4097,1896,3.18,4808,0,25,246,124,51,119,1,794,12,1720,0.00,0.11,0.06,0.03,0.14,0.00,3.23,0.14,83.57,13.30,0.03,0.21,73.79,87,87,98.96,300,300,101.41,99.60,0.89,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.37,132.26,0.05,4.73,0.00,0.00
3,g++-4.4 4.4.7,nbody_2.c 50000000,8.857672,1060,1692871622.784129,-,-,519,12.68,4098,1896,3.18,4714,0,2,278,131,56,85,0,773,11,1568,0.00,0.14,0.02,0.02,0.10,0.00,3.30,0.08,83.62,13.22,0.03,0.17,73.91,92,92,98.84,300,300,101.52,99.64,0.89,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.21,135.14,0.05,4.74,0.00,0.00
4,g++-4.4 4.4.7,nbody_2.c 50000000,8.934486,1066,1692871631.753809,-,-,517,12.63,4096,1896,3.16,5026,0,29,131,115,57,124,6,956,19,1852,0.00,0.15,0.09,0.02,0.12,0.00,4.01,0.17,82.75,13.25,0.02,0.18,73.93,94,94,98.79,300,300,100.91,99.63,0.82,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.97,138.22,0.05,4.78,0.00,0.00
5,g++-4.4 4.4.7,nbody_2.c 50000000,8.888387,1106,1692871640.678917,-,-,518,12.66,4097,1896,3.17,5433,0,5,131,182,120,236,6,1208,52,2238,0.00,0.03,0.04,0.03,0.21,0.01,4.71,0.26,81.98,13.06,0.03,0.21,74.04,94,94,98.75,300,300,100.90,99.55,0.83,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.84,138.23,0.05,4.75,0.00,0.00
6,g++-4.4 4.4.7,nbody_2.c 50000000,9.054841,1142,1692871649.771010,-,-,510,12.58,4051,1896,3.17,15767,0,36,145,249,204,299,1,1938,1187,8862,0.00,0.12,0.10,0.03,0.32,0.00,5.46,7.32,73.93,13.83,0.02,0.46,73.10,95,95,99.10,300,300,100.75,98.95,0.59,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.60,136.67,0.04,4.76,0.00,0.00
7,g++-4.4 4.4.7,nbody_2.c 50000000,8.903462,1087,1692871658.710442,-,-,517,12.61,4095,1896,3.18,11932,0,7,157,219,58,176,0,1604,660,6750,0.00,0.13,0.09,0.01,0.19,0.00,5.51,4.75,76.60,13.73,0.01,0.30,73.34,95,95,98.79,300,300,101.12,99.27,0.78,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.82,139.22,0.05,4.74,0.00,0.00
8,g++-4.4 4.4.7,nbody_2.c 50000000,8.945042,1114,1692871667.693201,-,-,514,12.56,4095,1896,3.18,11609,0,42,103,94,55,229,1,1748,586,6022,0.00,0.04,0.03,0.01,0.26,0.00,5.95,3.26,77.80,13.40,0.01,0.43,73.60,96,96,98.70,300,300,100.72,99.30,0.80,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.97,139.38,0.05,4.77,0.00,0.00
9,g++-4.4 4.4.7,nbody_2.c 50000000,8.914053,1064,1692871676.638541,-,-,518,12.64,4093,1896,3.17,6723,0,16,267,353,186,368,0,1229,88,2905,0.00,0.05,0.11,0.06,0.29,0.00,4.34,0.70,81.75,13.18,0.05,0.34,73.79,98,98,98.70,300,300,100.88,99.52,0.80,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.44,138.77,0.06,4.76,0.00,0.00
10,g++-4.4 4.4.7,nbody_2.c 50000000,8.954461,1136,1692871685.632061,-,-,516,12.60,4093,1896,3.16,21975,0,15,88,108,106,640,0,3380,1094,12987,0.00,0.07,0.05,0.02,0.84,0.00,8.21,4.84,73.23,14.16,0.02,1.39,71.82,98,98,98.67,300,300,101.14,98.76,0.88,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163.86,141.19,0.06,4.80,0.00,0.00
