test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,g++-12 12.3.0,nbody_2_original.c 50000000,1.00,0.48,0.58,0.01,0.02,0.39,5.83,2.10,0.00,0.00,2.16,30123845133 ns,122831592843,4.078 GHz,258268205871,2.10,30121.00 msec,1.000,122849846934,4.079 GHz,3,56965826669,721086293,30121.03 msec,1.000,10 C,20057633083,50147135,0.25%,0,62222470193,140,140,0,1740615,180104,10.347,104664141826,1211142,0.00%,128978,5601,4.34%,2791701,104612432263,371,0.00%,18108,30664,169.34%,0,0
2,g++-12 12.3.0,nbody_2_original.c 50000000,1.00,0.48,0.58,0.01,0.02,0.39,5.83,2.10,0.00,0.00,2.16,30145656275 ns,122877675943,4.077 GHz,258383749017,2.10,30142.83 msec,1.000,122877845266,4.077 GHz,0,56958236210,721069934,30142.86 msec,1.000,5 C,20056467137,50151626,0.25%,0,62206452197,141,141,0,1142882,131576,11.513,104621343283,1083294,0.00%,70400,7264,10.32%,2656396,104634254375,224,0.00%,34905,34076,97.62%,0,0
3,g++-12 12.3.0,nbody_2_original.c 50000000,1.00,0.48,0.58,0.01,0.02,0.39,5.81,2.10,0.00,0.00,2.16,30221046164 ns,123253201006,4.079 GHz,258403223599,2.10,30218.42 msec,1.000,123235027946,4.078 GHz,4,57124644178,723125679,30218.45 msec,1.000,3 C,20056722786,50162187,0.25%,0,62213213028,143,143,0,1529096,166430,10.884,104623684258,1394718,0.00%,122606,19454,15.87%,2806459,104629627331,380,0.00%,25168,30562,121.43%,0,0
4,g++-12 12.3.0,nbody_2_original.c 50000000,0.98,0.48,0.58,0.01,0.02,0.39,5.81,2.10,0.00,0.00,2.08,31810820898 ns,123296551558,3.876 GHz,258481430388,2.10,31807.12 msec,1.000,123249126565,3.875 GHz,30,59325684017,750897226,31807.17 msec,1.000,2 C,20060582143,50415334,0.25%,0,62214244601,140,140,0,3807885,196973,5.173,104565868190,1940917,0.00%,250485,10655,4.25%,4355179,104654757954,1957,0.00%,222029,57159,25.74%,0,0
5,g++-12 12.3.0,nbody_2_original.c 50000000,0.98,0.48,0.58,0.01,0.02,0.39,5.83,2.10,0.00,0.00,2.08,31748603878 ns,123131971756,3.879 GHz,258532882146,2.10,31743.56 msec,1.000,123073162554,3.877 GHz,16,59193239916,749241671,31743.64 msec,1.000,2 C,20060369478,50421768,0.25%,0,62214787146,144,144,0,4251731,316643,7.447,104626202917,1882204,0.00%,278092,13634,4.90%,4543233,104680844337,1294,0.00%,189369,71712,37.87%,0,0
6,g++-12 12.3.0,nbody_2_original.c 50000000,1.00,0.48,0.58,0.01,0.02,0.39,5.82,2.10,0.00,0.00,1.92,33958681209 ns,123132391673,3.626 GHz,258333172687,2.10,33956.12 msec,1.000,123117137866,3.626 GHz,3,64295628368,813893229,33956.15 msec,1.000,17 C,20041630505,50174772,0.25%,0,62213107023,139,139,0,2315517,156933,6.777,104629166279,1608645,0.00%,137024,9124,6.66%,3838580,104592575869,2941,0.00%,15552,50268,323.23%,0,0
7,g++-12 12.3.0,nbody_2_original.c 50000000,1.00,0.48,0.58,0.01,0.02,0.39,5.83,2.10,0.00,0.00,1.86,34967282318 ns,122904665724,3.515 GHz,258438372187,2.10,34963.34 msec,1.000,122930455960,3.516 GHz,6,66211235150,838170988,34963.40 msec,1.000,16 C,20067813480,50226686,0.25%,0,62233063445,143,143,0,3038573,230484,7.585,104624616686,1685138,0.00%,199073,15034,7.55%,3957372,104614764759,464,0.00%,16382,54893,335.08%,0,0
8,g++-12 12.3.0,nbody_2_original.c 50000000,1.00,0.48,0.58,0.01,0.02,0.39,5.77,2.08,0.00,0.00,1.86,35229014851 ns,124121729434,3.524 GHz,258390186419,2.08,35225.91 msec,1.000,124111995646,3.523 GHz,6,66709957843,844481062,35225.95 msec,1.000,16 C,20060412140,50182443,0.25%,0,62224252929,142,142,0,2375827,121905,5.131,104624132634,1590664,0.00%,150590,5264,3.50%,3608008,104618627250,62,0.00%,19312,43911,227.38%,0,0
9,g++-12 12.3.0,nbody_2_original.c 50000000,1.00,0.48,0.58,0.01,0.02,0.39,5.80,2.09,0.00,0.00,1.86,35094016320 ns,123487627621,3.519 GHz,258300834360,2.09,35091.26 msec,1.000,123492808066,3.519 GHz,3,66455357600,841248648,35091.29 msec,1.000,21 C,20057232956,50169875,0.25%,0,62203767556,143,143,0,1581948,212947,13.461,104648143864,1513289,0.00%,103212,8440,8.18%,3077561,104599391483,139,0.00%,4998,40022,800.76%,0,0
10,g++-12 12.3.0,nbody_2_original.c 50000000,1.00,0.48,0.58,0.01,0.02,0.39,5.83,2.10,0.00,0.00,1.86,34892285139 ns,122899123072,3.523 GHz,258357195959,2.10,34887.92 msec,1.000,122872886723,3.522 GHz,5,66070674465,836380812,34887.98 msec,1.000,16 C,20056392295,50206661,0.25%,0,62217651075,139,139,0,3365528,255068,7.579,104631871661,1748205,0.00%,202489,12874,6.36%,4321711,104552722810,1094,0.00%,8722,65429,750.16%,0,0
