test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.4 4.4.7,nbody_2_original.c 50000000,0.001559,979,1692364391.646080,-,-,957,23.84,3805,2001,0.75,145,0,0,15,27,29,9,0,0,0,0,0.00,21.55,19.95,25.66,12.32,0.00,0.00,0.00,0.00,72.47,2.40,1.29,0.00,58,58,0.00,300,300,167.37,96.12,97.91,92.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,0.00,0.00
2,g++-4.4 4.4.7,nbody_2_original.c 50000000,0.001571,1004,1692364391.686268,-,-,1017,25.75,3800,1970,0.74,156,0,2,23,27,17,11,0,1,0,0,0.32,32.53,18.91,15.09,10.95,0.00,0.06,0.00,0.00,71.50,2.74,0.00,0.00,62,62,63.65,300,300,164.60,99.46,94.32,94.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.00,0.00,0.00
3,g++-4.4 4.4.7,nbody_2_original.c 50000000,0.001857,1133,1692364391.713847,-,-,842,21.96,3845,1890,0.71,145,0,0,11,4,7,20,0,1,0,0,0.00,21.27,7.97,9.37,35.81,0.00,2.48,0.00,0.00,61.44,11.30,5.30,0.00,59,60,53.85,300,300,123.45,89.37,42.55,41.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,0.00,0.00
4,g++-4.4 4.4.7,nbody_2_original.c 50000000,0.001804,1100,1692364391.744647,-,-,791,19.53,3851,1994,0.71,142,0,0,10,19,12,5,0,5,0,0,0.00,14.91,10.86,11.31,25.67,0.00,19.12,0.00,0.00,49.72,3.64,16.31,10.80,60,60,0.00,300,300,136.71,90.50,99.66,90.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.00,0.00,0.00,0.00
5,g++-4.4 4.4.7,nbody_2_original.c 50000000,0.001841,1070,1692364391.775144,-,-,811,20.41,3838,1962,0.67,142,0,1,4,5,5,21,0,6,0,0,0.16,8.42,5.59,9.94,41.66,0.00,15.32,0.00,0.00,41.65,13.89,16.06,7.99,59,59,0.00,300,300,135.07,90.20,97.87,90.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.00,0.00,0.00,0.00
6,g++-4.4 4.4.7,nbody_2_original.c 50000000,0.001950,1098,1692364391.806531,-,-,713,17.70,3861,1978,0.71,147,0,0,4,3,1,30,0,5,0,0,0.00,10.36,2.10,3.69,57.85,0.00,8.77,0.00,0.00,42.43,6.74,33.13,0.00,59,59,0.00,300,300,132.37,86.34,100.10,86.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00
7,g++-4.4 4.4.7,nbody_2_original.c 50000000,0.001887,1046,1692364391.837573,-,-,779,19.08,3829,2022,0.68,148,0,1,6,4,4,13,0,16,0,0,0.16,19.87,8.27,4.56,23.69,0.00,27.13,0.00,0.00,57.68,6.15,12.02,5.08,60,60,0.00,300,300,125.71,88.14,99.52,88.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.00,0.00,0.00,0.00
8,g++-4.4 4.4.7,nbody_2_original.c 50000000,0.001732,1075,1692364391.868304,-,-,818,20.75,3807,1964,0.70,144,0,1,6,11,16,10,0,2,0,0,0.17,12.70,16.34,18.76,28.46,0.00,5.25,0.00,0.00,61.73,8.91,8.61,0.00,61,61,0.00,300,300,146.49,95.08,97.84,95.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,0.00,0.00
9,g++-4.4 4.4.7,nbody_2_original.c 50000000,0.001720,1160,1692364391.898385,-,-,913,24.25,3814,1872,0.70,148,0,1,21,11,1,9,0,2,0,0,0.17,39.19,13.31,0.81,14.48,0.00,6.51,0.00,0.00,73.36,0.00,2.38,0.00,61,61,0.00,300,300,138.14,93.12,86.89,85.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.00,0.00,0.00
10,g++-4.4 4.4.7,nbody_2_original.c 50000000,0.001789,964,1692364391.929706,-,-,760,18.68,3844,2007,0.73,148,0,0,10,0,8,29,0,1,0,0,0.00,18.22,0.00,21.46,42.15,0.00,2.46,0.00,0.00,46.03,23.94,11.35,0.00,61,61,55.90,300,300,129.55,90.65,44.94,44.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,0.00,0.00
