test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,g++-13 13.1.0,nbody_2_original.c 50000000,1.00,0.33,0.76,0.01,0.00,0.23,7.08,3.06,0.00,0.00,2.16,2848454576 ns,11599797975,4.074 GHz,35485613274,3.06,2847.45 msec,1.000,11607016627,4.076 GHz,1,5381279488,68123869,2847.45 msec,1.000,12 C,751378507,19638,0.00%,0,5812561718,138,138,0,220649,17774,8.055,8609591092,132049,0.00%,17055,1377,8.07%,438499,8611110624,15,0.00%,3281,7124,217.13%,0,0
2,g++-13 13.1.0,nbody_2_original.c 50000000,1.00,0.33,0.76,0.00,0.00,0.24,6.95,3.02,0.00,0.00,2.16,2882193244 ns,11742514373,4.075 GHz,35527190201,3.03,2881.70 msec,1.000,11744274802,4.075 GHz,4,5446828801,68956898,2881.70 msec,1.000,17 C,750941409,17207,0.00%,0,5795782463,142,142,0,191610,16202,8.456,8607161123,99602,0.00%,8676,642,7.40%,297585,8613744538,93,0.00%,1769,2787,157.55%,0,0
3,g++-13 13.1.0,nbody_2_original.c 50000000,1.00,0.33,0.76,0.01,0.00,0.23,7.08,3.06,0.00,0.00,2.15,2853924394 ns,11612988125,4.070 GHz,35523334348,3.05,2853.38 msec,1.000,11614256197,4.070 GHz,1,5392353719,68259030,2853.38 msec,1.000,15 C,749775957,18391,0.00%,0,5781145752,143,143,0,265297,18340,6.913,8620364669,144436,0.00%,25714,2660,10.34%,484232,8581772240,23,0.00%,2008,4660,232.07%,0,0
4,g++-13 13.1.0,nbody_2_original.c 50000000,1.00,0.33,0.76,0.01,0.00,0.23,7.08,3.06,0.00,0.00,2.16,2855766995 ns,11619884785,4.070 GHz,35528668703,3.06,2855.24 msec,1.000,11614127590,4.068 GHz,2,5387336089,68207129,2855.26 msec,1.000,14 C,750766432,15199,0.00%,0,5808480915,145,145,0,181329,17684,9.752,8608881193,120996,0.00%,14215,1528,10.75%,323085,8612247475,23,0.00%,3227,2653,82.21%,0,0
5,g++-13 13.1.0,nbody_2_original.c 50000000,0.99,0.33,0.76,0.01,0.00,0.23,7.08,3.06,0.00,0.00,2.16,2859017332 ns,11621793777,4.066 GHz,35548411928,3.06,2858.16 msec,1.000,11626348446,4.068 GHz,1,5398374388,68281287,2858.16 msec,1.000,3 C,751904557,22421,0.00%,0,5801419450,146,146,0,394896,90605,22.944,8612370756,131613,0.00%,26886,5398,20.08%,470030,8610961473,178,0.00%,4692,3184,67.86%,0,0
6,g++-13 13.1.0,nbody_2_original.c 50000000,0.99,0.33,0.76,0.01,0.00,0.23,7.09,3.04,0.00,0.01,2.15,2891210035 ns,11652768592,4.032 GHz,35478622120,3.04,2890.12 msec,1.000,11669292562,4.038 GHz,4,5427255983,68699063,2890.13 msec,1.000,3 C,752514232,26010,0.00%,0,5817823628,144,144,0,442483,30173,6.819,8607958531,152504,0.00%,25532,1956,7.66%,486727,8606978298,1217,0.00%,11344,6913,60.94%,0,0
7,g++-13 13.1.0,nbody_2_original.c 50000000,0.99,0.33,0.76,0.01,0.00,0.23,7.06,3.04,0.00,0.00,2.13,2919644196 ns,11614472851,3.979 GHz,35496728503,3.05,2918.69 msec,1.000,11638235722,3.987 GHz,3,5467185153,69195369,2918.70 msec,1.000,1 C,751755965,30689,0.00%,0,5804735803,145,145,0,585846,40387,6.894,8637211778,168398,0.00%,29531,2134,7.23%,489551,8609906792,396,0.00%,12247,7291,59.53%,0,0
8,g++-13 13.1.0,nbody_2_original.c 50000000,1.00,0.33,0.76,0.01,0.00,0.23,7.08,3.06,0.00,0.00,2.16,2855007248 ns,11607154950,4.066 GHz,35488825713,3.05,2854.47 msec,1.000,11599036786,4.063 GHz,1,5380731760,68137253,2854.47 msec,1.000,8 C,750902952,13160,0.00%,0,5807474227,141,141,0,162384,27974,17.227,8607035280,106418,0.00%,8331,1318,15.82%,314884,8585867465,108,0.00%,3863,2668,69.07%,0,0
9,g++-13 13.1.0,nbody_2_original.c 50000000,0.99,0.33,0.76,0.01,0.00,0.23,7.08,3.06,0.00,0.00,2.09,2983511500 ns,11616821608,3.895 GHz,35507882298,3.05,2982.70 msec,1.000,11619069476,3.895 GHz,1,5567042237,70481687,2982.71 msec,1.000,1 C,751957756,32024,0.00%,0,5812361885,141,141,0,378776,66418,17.535,8604680560,165550,0.00%,26965,1693,6.28%,468476,8602881251,46,0.00%,13042,4443,34.07%,0,0
10,g++-13 13.1.0,nbody_2_original.c 50000000,1.00,0.33,0.76,0.01,0.00,0.23,7.02,3.02,0.00,0.00,2.16,2858744847 ns,11648940555,4.076 GHz,35518181169,3.05,2858.17 msec,1.000,11651763173,4.077 GHz,1,5402209959,68396034,2858.18 msec,1.000,6 C,750264400,18788,0.00%,0,5814037875,144,144,0,378428,30354,8.021,8616991048,141318,0.00%,22944,2400,10.46%,415635,8634574412,333,0.00%,1351,4505,333.46%,0,0
