test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-12 12.3.0,nbody_2_original.c 50000000,2.856531,1126,1692624411.483053,-,-,514,12.56,4095,1896,3.03,1573,0,2,72,82,18,31,0,435,3,608,0.00,0.24,0.16,0.02,0.12,0.00,5.97,0.12,80.75,13.53,0.04,0.12,73.76,72,75,99.18,300,300,100.55,99.58,0.82,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.31,40.33,0.02,1.54,0.00,0.00
2,g++-12 12.3.0,nbody_2_original.c 50000000,2.859081,1120,1692624414.380074,-,-,516,12.60,4097,1896,3.02,1568,0,2,60,58,8,25,0,336,4,682,0.00,0.16,0.11,0.02,0.10,0.00,4.68,0.10,82.17,13.15,0.02,0.15,74.08,75,78,98.88,300,300,100.41,99.62,1.07,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.69,40.60,0.03,1.55,0.00,0.00
3,g++-12 12.3.0,nbody_2_original.c 50000000,2.858636,1050,1692624417.271939,-,-,516,12.60,4096,1896,3.02,1537,0,3,64,52,21,48,0,348,5,601,0.00,0.14,0.12,0.03,0.16,0.00,4.37,0.11,82.41,13.15,0.03,0.11,74.10,78,82,98.75,300,300,100.55,99.62,1.05,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.23,41.05,0.03,1.55,0.00,0.00
4,g++-12 12.3.0,nbody_2_original.c 50000000,2.857131,1122,1692624420.158791,-,-,522,12.75,4092,1896,3.00,1831,0,5,106,238,131,135,0,557,5,604,0.00,0.11,0.17,0.08,0.36,0.00,6.74,0.10,79.62,13.41,0.04,0.34,73.46,80,80,98.35,300,300,101.69,99.59,1.43,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.89,41.77,0.04,1.58,0.00,0.00
5,g++-12 12.3.0,nbody_2_original.c 50000000,2.856836,1144,1692624423.054985,-,-,517,12.63,4097,1896,3.02,1529,0,1,68,32,28,56,0,355,6,617,0.00,0.19,0.03,0.02,0.24,0.00,4.48,0.17,82.17,13.36,0.03,0.25,73.74,82,82,98.71,300,300,101.09,99.56,1.15,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.57,41.49,0.03,1.55,0.00,0.00
6,g++-12 12.3.0,nbody_2_original.c 50000000,2.860874,1087,1692624425.956217,-,-,516,12.61,4095,1896,3.02,1694,0,83,109,53,10,43,0,350,1,662,0.01,0.22,0.10,0.02,0.12,0.00,4.37,0.00,82.50,13.33,0.02,0.16,73.88,84,84,99.17,300,300,100.90,99.59,0.77,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.15,41.98,0.02,1.54,0.00,0.00
7,g++-12 12.3.0,nbody_2_original.c 50000000,2.856398,1084,1692624428.846791,-,-,516,12.59,4096,1896,3.02,1598,0,2,99,45,18,47,0,374,2,600,0.00,0.19,0.02,0.03,0.15,0.00,5.09,0.04,81.82,13.21,0.02,0.15,74.03,84,88,98.69,300,300,100.78,99.59,1.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.73,42.59,0.02,1.54,0.00,0.00
8,g++-12 12.3.0,nbody_2_original.c 50000000,2.853033,1136,1692624431.741249,-,-,514,12.56,4098,1896,3.03,1475,0,0,53,30,33,44,0,324,3,591,0.00,0.15,0.07,0.04,0.12,0.00,4.48,0.10,82.44,13.14,0.02,0.12,74.16,85,88,98.88,300,300,100.50,99.66,0.90,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.59,42.50,0.02,1.55,0.00,0.00
9,g++-12 12.3.0,nbody_2_original.c 50000000,2.863905,1094,1692624434.633888,-,-,526,12.85,4089,1896,2.97,1868,0,31,439,315,201,205,0,393,3,601,0.00,0.12,0.22,0.20,0.54,0.00,5.06,0.05,80.90,13.48,0.23,0.44,73.00,86,86,98.64,300,300,102.05,99.51,1.20,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.17,42.98,0.03,1.58,0.00,0.00
10,g++-12 12.3.0,nbody_2_original.c 50000000,2.862936,1106,1692624437.535449,-,-,516,12.57,4097,1899,3.02,1551,0,0,46,25,15,82,0,334,2,494,0.00,0.18,0.03,0.03,0.27,0.00,4.40,0.05,82.54,13.17,0.03,0.30,73.94,88,88,98.67,300,300,100.67,99.68,1.20,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.83,42.70,0.03,1.57,0.00,0.00
