test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.4 4.4.7,nbody_2.c 5000000,7.556832,1120,1689937163.905485,-,-,517,12.63,4097,1896,2.34,4594,0,63,129,110,41,192,5,946,16,1775,0.00,0.16,0.07,0.02,0.19,0.01,4.34,0.10,82.41,13.35,0.02,0.31,73.68,86,86,99.12,450,300,101.11,99.55,0.75,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.95,110.93,0.05,4.54,0.00,0.00
2,g++-4.4 4.4.7,nbody_2.c 5000000,7.483575,1050,1689937171.433425,-,-,519,12.68,4096,1896,2.35,4260,0,0,102,67,45,145,0,908,7,1585,0.00,0.10,0.06,0.01,0.18,0.00,4.33,0.02,82.55,13.16,0.01,0.18,73.97,93,93,98.86,450,300,101.28,99.61,0.79,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.84,114.12,0.05,4.49,0.00,0.00
3,g++-4.4 4.4.7,nbody_2.c 5000000,7.483596,1163,1689937178.966001,-,-,520,12.69,4094,1896,2.35,7903,0,71,185,142,64,175,1,1368,319,3952,0.00,0.16,0.12,0.01,0.20,0.00,5.58,1.82,79.32,13.66,0.01,0.29,73.34,93,97,98.92,450,300,101.48,99.40,0.67,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.55,115.87,0.04,4.49,0.00,0.00
4,g++-4.4 4.4.7,nbody_2.c 5000000,7.499659,1057,1689937186.515361,-,-,516,12.60,4098,1896,2.36,4181,0,1,58,69,62,149,2,973,3,1512,0.00,0.06,0.03,0.01,0.18,0.00,4.73,0.07,82.26,13.05,0.02,0.28,74.06,95,95,98.80,450,300,100.81,99.60,0.80,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.28,116.15,0.05,4.49,0.00,0.00
5,g++-4.4 4.4.7,nbody_2.c 5000000,7.693764,1069,1689937194.247723,-,-,509,12.64,4027,1896,2.34,18671,0,2,67,89,84,524,3,3197,1627,9873,0.00,0.03,0.05,0.01,0.74,0.00,10.08,10.58,65.65,14.19,0.01,1.12,72.04,96,96,98.99,450,300,101.24,98.45,0.80,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.47,115.70,0.05,4.62,0.00,0.00
6,g++-4.4 4.4.7,nbody_2.c 5000000,7.531097,1287,1689937201.813259,-,-,521,12.73,4091,1896,2.34,16522,0,13,426,428,222,558,0,2814,1078,9244,0.00,0.10,0.15,0.08,0.69,0.00,9.70,6.93,69.48,14.18,0.07,1.05,71.97,97,97,98.83,450,300,101.85,98.87,0.78,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.04,118.82,0.05,4.53,0.00,0.00
7,g++-4.4 4.4.7,nbody_2.c 5000000,7.547353,1045,1689937209.407023,-,-,517,12.66,4081,1896,2.35,8724,0,136,230,97,59,355,1,1569,226,4380,0.00,0.14,0.04,0.02,0.42,0.00,6.21,2.65,77.75,13.51,0.02,0.67,73.14,97,97,99.00,450,300,101.04,99.22,0.60,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,136.35,116.95,0.04,4.53,0.00,0.00
8,g++-4.4 4.4.7,nbody_2.c 5000000,7.535372,1145,1689937216.992435,-,-,516,12.62,4093,1896,2.35,15340,0,1,98,60,75,700,0,2561,780,8492,0.00,0.08,0.04,0.02,0.96,0.00,7.83,3.84,74.48,13.91,0.03,1.55,71.90,98,98,98.89,450,300,101.21,98.95,0.71,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.91,118.74,0.04,4.51,0.00,0.00
9,g++-4.4 4.4.7,nbody_2.c 5000000,7.509101,1062,1689937224.545916,-,-,517,12.64,4086,1896,2.36,8484,0,2,86,82,59,381,0,1546,213,4347,0.00,0.08,0.04,0.03,0.42,0.00,5.86,2.46,78.36,13.48,0.03,0.64,73.20,96,96,98.80,450,300,101.24,99.25,0.79,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.69,118.41,0.05,4.50,0.00,0.00
10,g++-4.4 4.4.7,nbody_2.c 5000000,7.870608,1160,1689937232.458428,-,-,496,12.56,3944,1896,2.35,19922,0,0,79,81,127,713,2,2990,1712,10954,0.00,0.04,0.03,0.03,0.73,0.01,9.52,10.33,66.53,14.23,0.02,1.06,72.12,93,97,99.09,450,300,100.75,98.30,0.74,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.43,112.42,0.05,4.72,0.00,0.00
