test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-5 5.5.0,nbody_2.c 5000000,7.438368,1125,1689939426.050391,-,-,530,12.95,4092,1896,2.28,5991,0,135,657,168,65,245,8,1220,10,1866,0.00,0.32,0.08,0.03,0.26,0.01,5.55,0.07,80.65,13.86,0.04,0.33,72.82,82,86,99.03,300,300,103.38,99.53,0.81,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,127.19,108.57,0.04,4.51,0.00,0.00
2,g++-5 5.5.0,nbody_2.c 5000000,7.500253,1212,1689939433.596941,-,-,520,12.69,4097,1896,2.27,4399,0,0,176,83,55,186,1,957,8,1704,0.00,0.23,0.06,0.03,0.18,0.00,4.58,0.03,82.12,13.14,0.03,0.25,73.89,86,86,99.00,300,300,101.04,99.58,0.84,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,128.58,109.78,0.05,4.52,0.00,0.00
3,g++-5 5.5.0,nbody_2.c 5000000,7.454264,1093,1689939441.098037,-,-,518,12.65,4097,1896,2.29,4435,0,11,104,72,57,190,2,1061,5,1605,0.00,0.17,0.02,0.02,0.20,0.00,4.96,0.03,81.88,13.11,0.03,0.31,73.90,91,91,98.96,300,300,100.96,99.57,0.79,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.84,111.17,0.04,4.50,0.00,0.00
4,g++-5 5.5.0,nbody_2.c 5000000,7.396801,1097,1689939448.538435,-,-,519,12.68,4096,1896,2.31,4070,0,3,124,63,90,152,0,775,6,1727,0.00,0.16,0.03,0.02,0.16,0.00,3.70,0.03,83.16,13.33,0.04,0.24,73.72,93,93,98.96,300,300,101.49,99.60,0.75,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.63,112.84,0.04,4.45,0.00,0.00
5,g++-5 5.5.0,nbody_2.c 5000000,7.400305,1078,1689939455.977038,-,-,519,12.67,4096,1896,2.31,4251,0,10,113,140,55,149,6,996,14,1769,0.00,0.15,0.19,0.03,0.16,0.01,4.28,0.06,82.37,13.54,0.05,0.25,73.49,94,94,98.86,300,300,101.47,99.56,0.79,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.43,113.35,0.04,4.46,0.00,0.00
6,g++-5 5.5.0,nbody_2.c 5000000,7.404725,1030,1689939463.426568,-,-,521,12.74,4094,1896,2.30,4767,0,136,478,330,205,309,0,1101,23,1721,0.00,0.21,0.09,0.07,0.26,0.00,5.25,0.11,81.20,13.41,0.07,0.33,73.44,96,96,98.80,300,300,101.74,99.55,0.83,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.74,113.71,0.05,4.47,0.00,0.00
7,g++-5 5.5.0,nbody_2.c 5000000,7.601783,1155,1689939471.081947,-,-,510,12.62,4039,1896,2.29,17339,0,2,95,92,85,630,0,2399,1738,9468,0.00,0.09,0.06,0.03,0.66,0.00,8.09,12.31,65.96,14.13,0.05,0.95,72.25,94,98,99.08,300,300,100.95,98.53,0.58,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.18,112.84,0.03,4.58,0.00,0.00
8,g++-5 5.5.0,nbody_2.c 5000000,7.650331,1065,1689939478.774438,-,-,509,12.63,4029,1896,2.28,18035,0,3,101,103,162,780,2,2989,1747,9293,0.00,0.08,0.03,0.06,0.80,0.00,9.79,12.23,64.19,14.21,0.06,1.11,72.00,97,97,98.91,300,300,101.12,98.46,0.77,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.16,113.50,0.05,4.61,0.00,0.00
9,g++-5 5.5.0,nbody_2.c 5000000,7.465812,1141,1689939486.286089,-,-,523,12.77,4092,1896,2.28,13811,0,15,511,370,250,663,1,2093,891,7664,0.00,0.06,0.08,0.09,0.66,0.00,7.78,6.75,71.68,13.75,0.10,0.82,72.56,95,95,98.68,300,300,101.38,99.04,0.87,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.56,115.57,0.05,4.51,0.00,0.00
10,g++-5 5.5.0,nbody_2.c 5000000,7.627828,1150,1689939493.962498,-,-,507,12.59,4027,1896,2.29,18682,0,71,216,101,213,620,1,2845,1650,10069,0.00,0.12,0.03,0.06,0.64,0.01,9.38,10.48,66.49,14.27,0.09,1.09,71.96,97,97,98.95,300,300,101.00,98.40,0.74,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.12,112.57,0.04,4.59,0.00,0.00
